,,,,,,,,,,
"CUADRO No.-30
TRANSPORTE AÉREO INTERNACIONAL REGULAR
CARGA, EN TM; ENTRADA Y SALIDA POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL Y LATACUNGA, SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,,
,,,,,,,,,ÍNDICE>>,
"CIUDADES DE
 ORIGEN Y DESTINO",CARGA,,,,,,,,,
,E N T R A D A ,,,,S A L I D A ,,,,,
,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,,
TOTAL," 25,693 "," 17,228 "," 7,864 ", 601 ," 74,010 "," 50,336 "," 16,844 "," 6,830 ",,
MAASTRICHT, -   , -   , -   , -   ," 5,262 ", 23 , -   ," 5,239 ",,
LUXEMBURGO, -   , -   , -   , -   ," 1,607 ", 15 , -   ," 1,592 ",,
ÁMSTERDAM," 2,684 "," 1,923 ", 761 , -   ," 22,123 "," 21,281 ", 841 , -   ,,
ATLANTA, 23 , 23 , -   , -   , 417 , 417 , -   , -   ,,
BOGOTÁ," 1,001 ", 734 , 267 , -   ," 3,530 "," 2,961 ", 569 , -   ,,
BUENOS AIRES," 1,078 "," 1,078 ", -   , -   , 104 , 100 , 4 , -   ,,
CALI, 22 , 0 , 22 , -   , 19 , -   , 19 , -   ,,
CARACAS, 1 , 1 , -   , -   , 56 , 56 , -   , -   ,,
CURITIBA, 298 , 10 , -   , 288 , -   , -   , -   , -   ,,
DALLAS, 0 , 0 , -   , -   , -   , -   , -   , -   ,,
EL SALVADOR, 63 , 61 , 2 , -   , 319 , 318 , 1 , -   ,,
FRANKFURT, 12 , 12 , -   , -   ," 1,615 "," 1,615 ", -   , -   ,,
FORT LAUDERDALE, 0 , 0 , -   , -   , 190 , 113 , 77 , -   ,,
HOUSTON, 26 , 26 , -   , -   , 97 , 97 , -   , -   ,,
LIMA, 816 , 489 , 327 , -   ," 2,446 ", 478 ," 1,968 ", -   ,,
MADRID," 2,406 "," 2,058 ", 349 , -   ," 4,175 "," 2,667 "," 1,508 ", -   ,,
MANAOS, 183 , 0 , -   , 183 , -   , -   , -   , -   ,,
MÉXICO, 475 , 475 , -   , -   , 505 , 505 , -   , -   ,,
MIAMI," 13,121 "," 8,465 "," 4,656 ", -   ," 23,448 "," 18,109 "," 5,338 ", -   ,,
NEW YORK, 183 , 74 , 109 , -   ," 4,519 ", 362 ," 4,157 ", -   ,,
PANAMÁ," 1,936 ", 569 ," 1,367 ", -   ," 3,224 ", 948 ," 2,276 ", -   ,,
TENERIFE, 30 , 30 , -   , -   , -   , -   , -   , -   ,,
SAO PAULO, 3 , 3 , -   , -   , 75 , 75 , -   , -   ,,
SANTIAGO, 992 , 957 , 5 , 29 , 97 , 10 , 87 , -   ,,
VIRACOPOS / CAMPINAS, 337 , 237 , -   , 100 , 5 , 5 , -   , -   ,,
AGUADILLA, -   , -   , -   , -   , 133 , 133 , -   , -   ,,
HABANA, -   , -   , -   , -   , 47 , 47 , -   , -   ,,
,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
