,,,,,,,,,,
"CUADR0 No.-31
TRANSPORTE AÉREO INTERNACIONAL NO REGULAR
CARGA, EN TM; ENTRADA Y SALIDA POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL Y LATACUNGA, SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,ÍNDICE>>,
,,,,,,,,,,
"CIUDADES DE
 ORIGEN Y DESTINO",CARGA,,,,,,,,,
,E N T R A D A ,,,,S A L I D A ,,,,,
,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,,
TOTAL," 16,558 "," 12,915 "," 3,319 ", 323 ," 109,440 "," 100,967 ", 758 ," 7,715 ",,
MIAMI," 6,535 "," 3,453 "," 2,912 ", 170 ," 73,937 "," 67,597 ", 323 ," 6,017 ",,
CARACAS, 70 , 52 , 4 , 14 , 897 , -   , -   , 897 ,,
LUXEMBURGO, -   , -   , -   , -   , 529 , -   , -   , 529 ,,
ÁMSTERDAM, 29 , 29 , -   , -   ," 12,650 "," 12,493 ", -   , 157 ,,
LIMA, 288 , 177 , -   , 110 , 186 , -   , 71 , 116 ,,
BARRANQUILLA, 306 , 306 , -   , -   , -   , -   , -   , -   ,,
BOGOTÁ," 7,164 "," 7,140 ", 15 , 9 ," 9,784 "," 9,728 ", 56 , -   ,,
BUENOS AIRES, 11 , 11 , -   , -   , -   , -   , -   , -   ,,
CALI, 17 , 17 , -   , -   , -   , -   , -   , -   ,,
CIUDAD DEL ESTE, 50 , 0 , 49 , -   , -   , -   , -   , -   ,,
GUADALAJARA, 4 , 4 , -   , -   , -   , -   , -   , -   ,,
HABANA, 10 , 10 , -   , -   ," 1,055 "," 1,055 ", -   , -   ,,
MADRID, 1 , 1 , -   , -   , 91 , 91 , -   , -   ,,
MANAOS, 220 , 203 , 1 , 16 , -   , -   , -   , -   ,,
MEDELLÍN, 19 , 19 , -   , -   , 0 , -   , 0 , -   ,,
MÉXICO, 694 , 694 , -   , -   ," 3,224 "," 3,224 ", -   , -   ,,
PANAMÁ, 31 , 20 , 10 , -   , 281 , 272 , 9 , -   ,,
VIRU VIRU, 27 , 27 , -   , -   , -   , -   , -   , -   ,,
SANTIAGO, 345 , 345 , -   , -   , 22 , 22 , -   , -   ,,
TENERIFE, 12 , 12 , -   , -   , -   , -   , -   , -   ,,
VIRACOPOS / CAMPINAS, 397 , 395 , -   , 2 , 132 , 52 , 81 , -   ,,
AGUADILLA, -   , -   , -   , -   , 308 , 308 , -   , -   ,,
ACAPULCO, -   , -   , -   , -   , 37 , 37 , -   , -   ,,
CURACAO, -   , -   , -   , -   ," 2,600 "," 2,600 ", -   , -   ,,
FORTALEZA, -   , -   , -   , -   , 1 , 1 , -   , -   ,,
FRÁNCFORT, -   , -   , -   , -   , 47 , 47 , -   , -   ,,
LOS ANGELES, -   , -   , -   , -   ," 3,445 "," 3,439 ", 6 , -   ,,
PUNTA CANÁ, -   , -   , -   , -   , 2 , 2 , -   , -   ,,
ASUNCIÓN, 328 , -   , 328 , -   , -   , -   , -   , -   ,,
MARACAIBO, -   , -   , -   , -   , 213 , -   , 213 , -   ,,
ICABARU, 2 , -   , -   , 2 , -   , -   , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
,,,,,,,,,,
