,,,,,,,,,,
"CUADRO No.-32
TRANSPORTE AÉREO INTERNACIONAL 
PASAJEROS EN TRÁNSITO POR LOS AEROPUERTOS
DE QUITO Y GUAYAQUIL, SEGÚN MES",,,,,,,,,,
,,,,ÍNDICE>>,,,,,,
MESES,PASAJEROS EN TRÁNSITO,,,,,,,,,
,TOTAL,QUITO,GUAYAQUIL,,,,,,,
 TOTAL," 166,953 "," 72,213 "," 94,740 ",,,,,,,
 ENERO," 18,897 "," 10,213 "," 8,684 ",,,,,,,
 FEBRERO," 18,281 "," 11,052 "," 7,229 ",,,,,,,
 MARZO," 18,953 "," 10,882 "," 8,071 ",,,,,,,
 ABRIL," 15,854 "," 7,683 "," 8,171 ",,,,,,,
 MAYO," 15,143 "," 5,996 "," 9,147 ",,,,,,,
 JUNIO," 9,597 "," 2,598 "," 6,999 ",,,,,,,
 JULIO," 13,275 "," 3,118 "," 10,157 ",,,,,,,
 AGOSTO," 13,072 "," 3,787 "," 9,285 ",,,,,,,
 SEPTIEMBRE," 13,020 "," 5,489 "," 7,531 ",,,,,,,
 OCTUBRE," 10,798 "," 3,546 "," 7,252 ",,,,,,,
 NOVIEMBRE," 9,139 "," 3,290 "," 5,849 ",,,,,,,
 DICIEMBRE," 10,924 "," 4,559 "," 6,365 ",,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
