,,,,,,,,,,
"CUADRO No.-36
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE CARGA
ENTRADA Y SALIDA POR EL AEROPUERTO  JOSÉ JOAQUÍN OLMEDO",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
CARGA,,,,,,,,,,
E N T R A D A,,,,S A L I D A,,,,,,
          R U T A,,,      %,RUTA,,,   %,,,
MIAMI, - , GUAYAQUIL ,59.2%, GUAYAQUIL , - ,MIAMI,31.7%,,,
PANAMÁ, - , GUAYAQUIL ,17.4%, GUAYAQUIL , - ,NEW YORK,24.7%,,,
ÁMSTERDAM, - , GUAYAQUIL ,9.7%, GUAYAQUIL , - ,PANAMÁ,13.5%,,,
MADRID, - , GUAYAQUIL ,4.4%, GUAYAQUIL , - ,LIMA,11.7%,,,
LIMA, - , GUAYAQUIL ,4.2%, GUAYAQUIL , - ,MADRID,9.0%,,,
BOGOTÁ, - , GUAYAQUIL ,3.4%, GUAYAQUIL , - ,ÁMSTERDAM,5.0%,,,
NEW YORK, - , GUAYAQUIL ,1.4%, GUAYAQUIL , - ,BOGOTÁ,3.4%,,,
CALI, - , GUAYAQUIL ,0.3%, GUAYAQUIL , - ,SANTIAGO,0.5%,,,
SANTIAGO, - , GUAYAQUIL ,0.1%, GUAYAQUIL , - ,FORT LAUDERDALE,0.5%,,,
 - , - , - , - , GUAYAQUIL , - ,CALI,0.1%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
