,,,,,,,,,,,,,,
"CUADRO No.- 15
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN PROVINCIAS",,,,,,,,,,,,,,ÍNDICE>>
PROVINCIAS,TOTAL,MESES,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
TOTAL 2015,"35,706","2,872","2,577","3,023","2,967","3,096","2,957","2,961","2,892","2,875","3,039","3,001","3,446",
AZUAY,"1,373",126,99,87,109,120,96,119,124,113,112,135,133,
BOLÍVAR,183, 14 , 13 , 18 , 11 , 14 , 20 , 15 ,18,10,20,18,12,
CAÑAR,308, 27 , 21 , 21 , 28 , 17 , 26 , 35 ,24,34,26,18,31,
CARCHI,173, 16 , 12 , 18 , 11 , 14 , 21 , 18 ,12,15,10,11,15,
COTOPAXI,511, 38 , 44 , 42 , 35 , 63 , 64 , 38 ,50,34,35,30,38,
CHIMBORAZO,610, 45 , 46 , 44 , 68 , 42 , 46 , 53 ,47,42,46,59,72,
EL ORO,919, 77 , 71 , 103 , 76 , 86 , 61 , 75 ,71,58,80,80,81,
ESMERALDAS,421, 25 , 22 , 34 , 28 , 22 , 39 , 33 ,48,34,32,50,54,
GUAYAS,"6,799", 572 , 450 , 581 , 550 , 592 , 537 , 557 ,625, 584 ,591,553,607,
IMBABURA,"1,526", 68 , 109 , 148 , 157 , 138 , 101 , 123 ,105,114,168,138,157,
LOJA,688, 60 , 51 , 41 , 56 , 69 , 41 , 55 ,54,62,57,57,85,
LOS RÍOS,"1,250", 122 , 97 , 95 , 87 , 99 , 109 , 107 ,108,110,103,98,115,
MANABÍ,"1,217", 123 , 111 , 114 , 85 , 89 , 86 , 111 ,93,86,95,94,130,
MORONA SANTIAGO,156, 10 , 13 , 13 , 13 , 17 , 11 , 10 ,14,12,16,13,14,
NAPO,153, 17 , 12 , 11 , 10 , 17 , 8 , 13 ,10,11,14,17,13,
PASTAZA,119, 12 , 18 , 8 , 19 , 11 , 6 , 9 ,8,8,2,7,11,
PICHINCHA,"15,754"," 1,244 "," 1,099 "," 1,332 "," 1,334 "," 1,372 "," 1,376 "," 1,332 ",1209,1272,1329,1344,1511,
TUNGURAHUA,"1,735", 128 , 142 , 126 , 123 , 143 , 145 , 125 ,143,155,158,152,195,
ZAMORA CHINCHIPE,105, 8 , 10 , 9 , 11 , 10 , 10 , 8 ,9,5,7,5,13,
GALÁPAGOS,23, -   , 4 , 4 , 2 , 2 , 3 , 1 ,2,0,1,1,3,
SUCUMBÍOS,129, 11 , 9 , 15 , 9 , 22 , 5 , 6 ,13,4,11,13,11,
ORELLANA,144, 20 , 15 , 20 , 15 , 21 , 11 , 3 ,5,7,9,8,10,
SANTO DOMINGO DE LOS TSÁCHILAS,999, 68 , 71 , 100 , 102 , 74 , 92 , 89 ,72,74,83,69,105,
SANTA ELENA,411, 41 , 38 , 39 , 28 , 42 , 43 , 26 ,28,31,34,31,30,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,
