,,,,,,,,,,,,,,
"CUADRO No.- 16 
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR CLASE, SEGÚN PROVINCIAS",,,,,,,,,,,,,,
,,,,,,,,,,ÍNDICE>>,,,,
PROVINCIAS,TOTAL,CLASE DE ACCIDENTES,,,,,,,,,,,,
,TOTAL,ATROPELLOS,CAÍDA PASAJEROS,CHOQUES,ESTRELLAMIENTOS,ROZAMIENTOS,VOLCAMIENTOS,PÉRDIDA DE PISTA,OTROS,,,,,
TOTAL 2015,"35,706","5,140",810,"15,976","4,624","2,597","1,054","3,471","2,034",,,,,
AZUAY ,"1,373",174,15,603,167,68,26,274,46,,,,,
BOLÍVAR,183,29,1,73,26,2,17,29,6,,,,,
CAÑAR,308,40,2,141,50,3,18,42,12,,,,,
CARCHI,173,18,1,81,16,3,9,35,10,,,,,
COTOPAXI,511,78,2,215,107,6,23,44,36,,,,,
CHIMBORAZO,610,61,4,321,102,19,22,43,38,,,,,
EL ORO,919,104,5,493,89,32,18,130,48,,,,,
ESMERALDAS,421,50,5,239,35,13,9,48,22,,,,,
GUAYAS,"6,799","1,276",222,"3,015",856,429,106,574,321,,,,,
IMBABURA,"1,526",152,34,720,165,240,26,94,95,,,,,
LOJA,688,75,7,322,144,16,57,41,26,,,,,
LOS RÍOS,"1,250",141,28,588,80,104,28,203,78,,,,,
MANABÍ,"1,217",147,6,647,117,22,46,144,88,,,,,
MORONA  SANTIAGO,156,19,2,64,23,4,13,29,2,,,,,
NAPO,153,19,2,58,18,1,8,39,8,,,,,
PASTAZA,119,20,1,61,11,4,8,9,5,,,,,
PICHINCHA,"15,754","2,205",376,"6,735","2,208","1,373",489,"1,358","1,010",,,,,
TUNGURAHUA,"1,735",261,48,808,275,125,72,60,86,,,,,
ZAMORA CHINCHIPE,105,13,0,40,20,2,15,12,3,,,,,
GALÁPAGOS,23,8,0,7,2,0,0,1,5,,,,,
SUCUMBÍOS,129,13,1,68,11,4,6,23,3,,,,,
ORELLANA,144,36,1,61,9,5,10,13,9,,,,,
STO.DOMINGO DE LOS TSACHILAS,999,142,36,419,53,99,25,154,71,,,,,
SANTA ELENA,411,59,11,197,40,23,3,72,6,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,
