,,,,,,,,,,,,,,
"CUADRO No.- 17
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN CLASE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
CLASE DE ACCIDENTES,"TOTAL 
2015",MESES ,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
TOTAL 2015,"35,706","2,872","2,577","3,023","2,967","3,096","2,957","2,961","2,892","2,875","3,039","3,001","3,446",
ATROPELLOS,"5,140", 460 , 390 , 434 , 431 , 456 , 431 , 381 , 393 , 406 , 468 , 384 , 506 ,
CAÍDA PASAJEROS,810, 72 , 51 , 57 , 77 , 72 , 74 , 67 , 65 , 78 , 62 , 64 , 71 ,
CHOQUES,"15,976"," 1,287 "," 1,188 "," 1,344 "," 1,308 "," 1,351 "," 1,331 "," 1,353 "," 1,285 "," 1,270 "," 1,308 "," 1,382 "," 1,569 ",
ESTRELLAMIENTOS,"4,624", 332 , 311 , 391 , 399 , 402 , 361 , 397 , 396 , 376 , 399 , 391 , 469 ,
ROZAMIENTOS,"2,597", 239 , 188 , 215 , 230 , 228 , 207 , 199 , 219 , 229 , 205 , 212 , 226 ,
VOLCAMIENTOS,"1,054", 80 , 93 , 108 , 87 , 95 , 77 , 79 , 76 , 79 , 95 , 80 , 105 ,
PÉRDIDA DE PISTA,"3,471", 230 , 194 , 247 , 275 , 319 , 290 , 315 , 290 , 292 , 341 , 353 , 325 ,
OTROS,"2,034", 172 , 162 , 227 , 160 , 173 , 186 , 170 , 168 , 145 , 161 , 135 , 175 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
