,,,,,,,,,,,,,
"CUADRO No.- 18
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR CAUSA, SEGÚN PROVINCIAS",,,,,,,,,,,,ÍNDICE>>,
,,,,,,,,,,,,,
PROVINCIAS,TOTAL,CAUSAS DEL ACCIDENTE ,,,,,,,,,,,
,,EMBRIAGUEZ O               DROGA,MAL REBASAMIENTO E INVADIR CARRIL,EXCESO VELOCIDAD,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,IMPRUDENCIA  DEL PEATÓN,DAÑOS MECÁNICOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,FACTORES CLIMÁTICOS,MAL ESTADO DE LA VÍA,OTRAS CAUSAS,,
TOTAL 2015,"35,706","2,490","3,066","3,777","16,612","1,696",338,"6,279",458,260,730,,
AZUAY," 1,373 ", 185 , 90 , 220 , 482 , 87 , 6 , 273 , 3 , 8 , 19 ,,
BOLÍVAR, 183 , 16 , 8 , 24 , 84 , 12 , 6 , 15 , 7 , 2 , 9 ,,
CAÑAR, 308 , 32 , 18 , 38 , 152 , 14 , 3 , 30 , 5 , 4 , 12 ,,
CARCHI, 173 , 23 , 11 , 33 , 69 , 12 , 2 , 12 , 1 , 2 , 8 ,,
COTOPAXI, 511 , 66 , 29 , 27 , 256 , 42 , 3 , 63 , 1 , 1 , 23 ,,
CHIMBORAZO, 610 , 79 , 29 , 16 , 349 , 33 , 4 , 74 , 9 , 2 , 15 ,,
EL ORO, 919 , 59 , 32 , 31 , 572 , 33 , -   , 169 , 5 , 3 , 15 ,,
ESMERALDAS, 421 , 33 , 18 , 26 , 240 , 29 , 4 , 51 , 6 , 3 , 11 ,,
GUAYAS," 6,799 ", 424 , 544 , 671 ," 3,162 ", 344 , 41 ," 1,515 ", 2 , 19 , 77 ,,
IMBABURA," 1,526 ", 54 , 26 , 38 , 736 , 36 , 9 , 592 , 9 , 9 , 17 ,,
LOJA, 688 , 178 , 52 , 122 , 145 , 37 , 21 , 102 , 4 , 10 , 17 ,,
LOS RÍOS," 1,250 ", 66 , 67 , 55 , 728 , 74 , 9 , 203 , 1 , 3 , 44 ,,
MANABÍ," 1,217 ", 52 , 44 , 144 , 500 , 69 , 27 , 274 , 13 , 32 , 62 ,,
MORONA  SANTIAGO, 156 , 21 , 11 , 40 , 68 , 6 , -   , 5 , 4 , 1 , -   ,,
NAPO, 153 , 17 , 10 , 15 , 55 , 7 , 8 , 12 , 18 , 10 , 1 ,,
PASTAZA, 119 , 24 , 7 , 6 , 42 , 11 , 3 , 10 , 8 , 6 , 2 ,,
PICHINCHA," 15,754 ", 726 ," 1,872 "," 1,974 "," 7,535 ", 588 , 121 ," 2,273 ", 292 , 47 , 326 ,,
TUNGURAHUA," 1,735 ", 330 , 91 , 196 , 475 , 174 , 58 , 299 , 37 , 53 , 22 ,,
ZAMORA CHINCHIPE, 105 , 9 , 5 , 11 , 44 , 6 , 1 , 7 , 5 , 13 , 4 ,,
GALÁPAGOS, 23 , 4 , -   , -   , 10 , 5 , -   , -   , -   , 1 , 3 ,,
SUCUMBÍOS, 129 , 8 , 6 , 29 , 56 , 2 , 1 , 12 , 8 , 2 , 5 ,,
ORELLANA, 144 , 6 , 4 , 6 , 96 , 7 , -   , 18 , 2 , -   , 5 ,,
SANTO DOMINGO DE LOS TSÁCHILAS, 999 , 57 , 68 , 49 , 533 , 46 , 7 , 171 , 17 , 27 , 24 ,,
SANTA ELENA, 411 , 21 , 24 , 6 , 223 , 22 , 4 , 99 , 1 , 2 , 9 ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,
