,,,,,,,,,,,,,,,,
"CUADRO No.- 19
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN CAUSAS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>,,
CAUSAS DEL ACCIDENTE ,TOTAL ,MESES,,,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,
TOTAL 2015," 35,706 "," 2,872 "," 2,577 "," 3,023 "," 2,967 "," 3,096 "," 2,957 "," 2,961 "," 2,892 "," 2,875 "," 3,039 "," 3,001 "," 3,446 ",,,
EMBRIAGUEZ O DROGA," 2,490 ", 200 , 170 , 169 , 211 , 238 , 202 , 223 , 225 , 187 , 199 , 229 , 237 ,,,
MAL REBASAMIENTO INVADIR CARRIL," 3,066 ", 276 , 275 , 318 , 224 , 221 , 270 , 236 , 234 , 282 , 249 , 239 , 242 ,,,
EXCESO VELOCIDAD," 3,777 ", 317 , 232 , 196 , 249 , 296 , 252 , 288 , 336 , 385 , 411 , 398 , 417 ,,,
IMPERICIA E IMPRUDDENCIA DEL CONDUCTOR," 16,612 "," 1,069 "," 1,062 "," 1,396 "," 1,424 "," 1,500 "," 1,321 "," 1,466 "," 1,446 "," 1,376 "," 1,420 "," 1,391 "," 1,741 ",,,
IMPRUDENCIA  DEL PEATÓN," 1,696 ", 148 , 141 , 162 , 157 , 152 , 130 , 102 , 142 , 102 , 153 , 130 , 177 ,,,
DAÑOS MECÁNICOS, 338 , 74 , 31 , 17 , 13 , 22 , 24 , 24 , 33 , 28 , 18 , 22 , 32 ,,,
NO RESPETA LAS SEÑALES DE TRÁNSITO," 6,279 ", 558 , 549 , 560 , 531 , 560 , 656 , 532 , 409 , 431 , 493 , 510 , 490 ,,,
FACTORES CLIMÁTICOS, 458 , 50 , 46 , 107 , 69 , 35 , 26 , 27 , 8 , 3 , 34 , 22 , 31 ,,,
MAL ESTADO DE LA VÍA, 260 , 21 , 22 , 26 , 19 , 28 , 17 , 18 , 18 , 18 , 20 , 18 , 35 ,,,
OTRAS CAUSAS, 730 , 159 , 49 , 72 , 70 , 44 , 59 , 45 , 41 , 63 , 42 , 42 , 44 ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,,,
