,,,,,,,,,,,
"CUADRO No.- 20
ACCIDENTES DE TRÁNSITO
NÚMERO DE VÍCTIMAS, SEGÚN PROVINCIAS",,,,,,,,,,,
,,,,ÍNDICE>>,,,,,,,
PROVINCIAS,"TOTAL
2015",V  Í  C  T  I  M  A  S,,,,,,,,,
,,MUERTOS ,HERIDOS ,,,,,,,,
TOTAL," 27,372 "," 2,138 "," 25,234 ",,,,,,,,
AZUAY , 937 , 71 , 866 ,,,,,,,,
BOLÍVAR, 221 , 33 , 188 ,,,,,,,,
CAÑAR, 408 , 61 , 347 ,,,,,,,,
CARCHI, 222 , 29 , 193 ,,,,,,,,
COTOPAXI, 488 , 113 , 375 ,,,,,,,,
CHIMBORAZO, 446 , 82 , 364 ,,,,,,,,
EL ORO, 786 , 89 , 697 ,,,,,,,,
ESMERALDAS, 477 , 85 , 392 ,,,,,,,,
GUAYAS," 6,045 ", 477 ," 5,568 ",,,,,,,,
IMBABURA, 781 , 58 , 723 ,,,,,,,,
LOJA, 590 , 76 , 514 ,,,,,,,,
LOS RÍOS," 1,244 ", 163 ," 1,081 ",,,,,,,,
MANABÍ," 1,440 ", 145 ," 1,295 ",,,,,,,,
MORONA  SANTIAGO, 234 , 26 , 208 ,,,,,,,,
NAPO, 145 , 27 , 118 ,,,,,,,,
PASTAZA, 183 , 14 , 169 ,,,,,,,,
PICHINCHA," 9,813 ", 327 ," 9,486 ",,,,,,,,
TUNGURAHUA," 1,096 ", 90 ," 1,006 ",,,,,,,,
ZAMORA CHINCHIPE, 123 , 12 , 111 ,,,,,,,,
GALÁPAGOS, 26 , 4 , 22 ,,,,,,,,
SUCUMBÍOS, 139 , 24 , 115 ,,,,,,,,
ORELLANA, 150 , 25 , 125 ,,,,,,,,
SANTO DOMINGO DE LOS TSÁCHILAS, 988 , 75 , 913 ,,,,,,,,
SANTA ELENA, 390 , 32 , 358 ,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,
