,,,,,,
"CUADRO No.-21
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS (NACIONAL Y EXTRANJEROS), SEGÚN FILIAL Y RUTA ",,,,,,
,,,,ÍNDICE>>,,
RUTAS, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,,
,, NACIONALES,EXTRANJEROS,,,
TOTAL ," 131,319 "," 97,972 "," 33,347 ",,,
CENTRO," 23,714 "," 19,840 "," 3,874 ",,,
QUITO -  BOLICHE," 14,835 "," 12,662 "," 2,173 ",,,
QUITO -  BOLICHE - QUITO," 8,879 "," 7,178 "," 1,701 ",,,
LITORAL," 16,784 "," 16,159 ", 625 ,,,
BUCAY  - DURÁN," 3,991 "," 3,878 ", 113 ,,,
DURÁN - ALAUSÍ, 102 , 92 , 10 ,,,
DURÁN - BUCAY," 8,971 "," 8,589 ", 382 ,,,
DURÁN - BUCAY - DURÁN," 3,720 "," 3,600 ", 120 ,,,
NORTE," 19,118 "," 15,894 "," 3,224 ",,,
IBARRA - OTAVALO - IBARRA, 265 , 83 , 182 ,,,
OTAVALO - SALINAS," 4,271 "," 3,902 ", 369 ,,,
OTAVALO - SALINAS - OTAVALO," 13,872 "," 11,270 "," 2,602 ",,,
SALINAS - OTAVALO, 710 , 639 , 71 ,,,
SUR," 71,703 "," 46,079 "," 25,624 ",,,
ALAUSÍ - SIBAMBE - ALAUSÍ," 60,293 "," 35,563 "," 24,730 ",,,
RIOBAMBA - COLTA - RIOBAMBA," 11,410 "," 10,516 ", 894 ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,,
