"CUADRO No.-22        
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR MES, SEGÚN FILIAL Y RUTA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>,
RUTAS,MES ,,,,,,,,,,,,,,
,TOTAL,ENERO ,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
TOTAL ," 131,319 "," 10,745 "," 13,149 "," 11,797 "," 13,027 "," 12,919 "," 9,844 "," 14,691 "," 15,966 "," 6,867 "," 8,882 "," 8,001 "," 5,431 ",,
CENTRO," 23,714 "," 2,735 "," 2,880 "," 2,478 "," 2,698 "," 3,225 "," 2,645 "," 3,412 "," 1,911 ", 356 , 487 , 393 , 494 ,,
QUITO -  BOLICHE," 14,835 "," 2,735 "," 2,880 "," 2,478 "," 2,698 "," 3,223 ", 184 , 506 , 131 , -   , -   , -   , -   ,,
QUITO -  BOLICHE - QUITO," 8,879 ", -   , -   , -   , -   , 2 ," 2,461 "," 2,906 "," 1,780 ", 356 , 487 , 393 , 494 ,,
LITORAL," 16,784 "," 1,256 "," 1,815 "," 1,902 "," 1,870 "," 1,595 ", 937 ," 1,392 "," 1,686 ", 964 ," 1,261 "," 1,133 ", 973 ,,
BUCAY  - DURÁN," 3,991 ", 355 , 653 , 642 , 612 , 475 , 100 , 379 , 449 , 96 , 150 , 80 , -   ,,
DURÁN - ALAUSÍ, 102 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 102 ,,
DURÁN - BUCAY," 8,971 ", 901 ," 1,162 "," 1,260 "," 1,258 "," 1,120 ", 837 ," 1,013 "," 1,237 ", 153 , 30 , -   , -   ,,
DURÁN - BUCAY - DURÁN," 3,720 ", -   , -   , -   , -   , -   , -   , -   , -   , 715 ," 1,081 "," 1,053 ", 871 ,,
NORTE," 19,118 "," 1,667 "," 2,008 "," 1,573 "," 1,824 "," 1,749 "," 1,465 "," 1,696 "," 2,520 "," 1,032 "," 1,441 "," 1,369 ", 774 ,,
IBARRA - OTAVALO - IBARRA, 265 , -   , -   , -   , -   , -   , -   , 23 , 83 , 105 , 51 , 3 , -   ,,
OTAVALO - SALINAS," 4,271 ", 93 , 642 , 517 , 467 , 413 , 357 , 316 , 429 , 202 , 310 , 277 , 248 ,,
OTAVALO - SALINAS - OTAVALO," 13,872 "," 1,574 "," 1,366 "," 1,056 "," 1,346 "," 1,267 "," 1,051 "," 1,248 "," 1,700 ", 703 , 951 ," 1,084 ", 526 ,,
SALINAS - OTAVALO, 710 , -   , -   , -   , 11 , 69 , 57 , 109 , 308 , 22 , 129 , 5 , -   ,,
SUR," 71,703 "," 5,087 "," 6,446 "," 5,844 "," 6,635 "," 6,350 "," 4,797 "," 8,191 "," 9,849 "," 4,515 "," 5,693 "," 5,106 "," 3,190 ",,
ALAUSÍ - SIBAMBE - ALAUSÍ," 60,293 "," 4,210 "," 5,254 "," 4,766 "," 5,424 "," 5,203 "," 3,736 "," 6,880 "," 8,559 "," 3,960 "," 4,958 "," 4,506 "," 2,837 ",,
RIOBAMBA - COLTA - RIOBAMBA," 11,410 ", 877 ," 1,192 "," 1,078 "," 1,211 "," 1,147 "," 1,061 "," 1,311 "," 1,290 ", 555 , 735 , 600 , 353 ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,,,,,,,,,,,
