,,,,,,,,,,,,,,
"CUADRO No.-23
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR SEXO, SEGÚN GRUPOS DE EDAD.",,,,,,,,,,,,,,
,,,,,ÍNDICE>>,,,,,,,,,
RANGOS DE EDAD,PASAJEROS TRANSPORTADOS,,,,,,,,,,,,,
,TOTAL,HOMBRE,MUJER,NO INFORMA,,,,,,,,,,
 TOTAL ," 131,319 "," 54,916 "," 71,537 "," 4,866 ",,,,,,,,,,
 DE 0 A 9 AÑOS  ," 11,292 "," 5,570 "," 5,270 ", 452 ,,,,,,,,,,
 DE 10 A 19 AÑOS ," 17,095 "," 7,829 "," 8,502 ", 764 ,,,,,,,,,,
 DE 20 A 29 AÑOS ," 17,757 "," 7,104 "," 10,244 ", 409 ,,,,,,,,,,
 DE 30 A 39 AÑOS ," 17,925 "," 7,679 "," 9,751 ", 495 ,,,,,,,,,,
 DE 40 A 49 AÑOS ," 15,282 "," 6,210 "," 8,608 ", 464 ,,,,,,,,,,
 DE 50 A 59 AÑOS ," 17,704 "," 6,756 "," 10,295 ", 653 ,,,,,,,,,,
 DE 60 A 69 AÑOS ," 19,272 "," 7,579 "," 10,907 ", 786 ,,,,,,,,,,
 DE 70 Y MÁS ," 11,846 "," 4,909 "," 6,484 ", 453 ,,,,,,,,,,
 NO INFORMA ," 3,146 "," 1,280 "," 1,476 ", 390 ,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,,,,,,,,,,
