,,,,,,,
"CUADRO No.-24
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR SEXO, SEGÚN FILIAL Y RUTA ",,,,,,,
,,,,,ÍNDICE>>,,
RUTAS, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,,,
,,HOMBRE,MUJER,NO INFORMA,,,
TOTAL ," 131,319 "," 54,916 "," 71,537 "," 4,866 ",,,
CENTRO," 23,714 "," 9,421 "," 12,686 "," 1,607 ",,,
QUITO -  BOLICHE," 14,835 "," 6,010 "," 7,855 ", 970 ,,,
QUITO -  BOLICHE - QUITO," 8,879 "," 3,411 "," 4,831 ", 637 ,,,
LITORAL," 16,784 "," 6,684 "," 9,916 ", 184 ,,,
BUCAY  - DURÁN," 3,991 "," 1,688 "," 2,265 ", 38 ,,,
DURÁN - ALAUSÍ, 102 , 36 , 66 , -   ,,,
DURÁN - BUCAY," 8,971 "," 3,431 "," 5,406 ", 134 ,,,
DURÁN - BUCAY - DURÁN," 3,720 "," 1,529 "," 2,179 ", 12 ,,,
NORTE," 19,118 "," 7,587 "," 10,757 ", 774 ,,,
IBARRA - OTAVALO - IBARRA, 265 , 124 , 137 , 4 ,,,
OTAVALO - SALINAS," 4,271 "," 1,752 "," 2,351 ", 168 ,,,
OTAVALO - SALINAS - OTAVALO," 13,872 "," 5,446 "," 7,829 ", 597 ,,,
SALINAS - OTAVALO, 710 , 265 , 440 , 5 ,,,
SUR," 71,703 "," 31,224 "," 38,178 "," 2,301 ",,,
ALAUSÍ - SIBAMBE - ALAUSÍ," 60,293 "," 26,459 "," 31,869 "," 1,965 ",,,
RIOBAMBA - COLTA - RIOBAMBA," 11,410 "," 4,765 "," 6,309 ", 336 ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
