"CUADRO No.-25
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR GRUPOS DE EDAD, SEGÚN FILIAL Y RUTA",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ÍNDICE>>,,,,,,,,,
RUTAS, NÚMERO DE PASAJEROS,RANGO DE EDAD DEL PASAJERO,,,,,,,,,,,,,,,,,,
,,DE 0 A 9 AÑOS ,DE 10 A 19 AÑOS,DE 20 A 29 AÑOS,DE 30 A 39 AÑOS,DE 40 A 49 AÑOS,DE 50 A 59 AÑOS,DE 60 A 69 AÑOS,DE 70 Y MÁS,NO INFORMA,,,,,,,,,,
TOTAL ," 131,319 "," 11,292 "," 17,095 "," 17,757 "," 17,925 "," 15,282 "," 17,704 "," 19,272 "," 11,846 "," 3,146 ",,,,,,,,,,
CENTRO," 23,714 "," 2,542 "," 3,973 "," 3,331 "," 3,546 "," 2,822 "," 2,680 "," 2,446 "," 1,694 ", 680 ,,,,,,,,,,
QUITO -  BOLICHE," 14,835 "," 1,418 "," 2,786 "," 2,135 "," 2,136 "," 1,665 "," 1,551 "," 1,484 "," 1,045 ", 615 ,,,,,,,,,,
QUITO -  BOLICHE - QUITO," 8,879 "," 1,124 "," 1,187 "," 1,196 "," 1,410 "," 1,157 "," 1,129 ", 962 , 649 , 65 ,,,,,,,,,,
LITORAL," 16,784 "," 1,807 "," 2,608 "," 2,051 "," 2,171 "," 1,881 "," 1,726 "," 1,940 "," 1,504 "," 1,096 ",,,,,,,,,,
BUCAY  - DURÁN," 3,991 ", 496 , 576 , 604 , 544 , 500 , 380 , 355 , 314 , 222 ,,,,,,,,,,
DURÁN - ALAUSÍ, 102 , 5 , 8 , 12 , 4 , 9 , 11 , 8 , 5 , 40 ,,,,,,,,,,
DURÁN - BUCAY," 8,971 "," 1,005 "," 1,201 "," 1,012 "," 1,112 ", 996 , 978 ," 1,165 ", 865 , 637 ,,,,,,,,,,
DURÁN - BUCAY - DURÁN," 3,720 ", 301 , 823 , 423 , 511 , 376 , 357 , 412 , 320 , 197 ,,,,,,,,,,
NORTE," 19,118 "," 1,381 "," 2,433 "," 2,285 "," 2,267 "," 2,088 "," 2,593 "," 3,361 "," 2,394 ", 316 ,,,,,,,,,,
IBARRA - OTAVALO - IBARRA, 265 , 8 , 14 , 13 , 18 , 25 , 47 , 81 , 56 , 3 ,,,,,,,,,,
OTAVALO - SALINAS," 4,271 ", 327 , 351 , 454 , 502 , 431 , 660 , 799 , 730 , 17 ,,,,,,,,,,
OTAVALO - SALINAS - OTAVALO," 13,872 ", 976 ," 1,974 "," 1,769 "," 1,671 "," 1,534 "," 1,793 "," 2,353 "," 1,506 ", 296 ,,,,,,,,,,
SALINAS - OTAVALO, 710 , 70 , 94 , 49 , 76 , 98 , 93 , 128 , 102 , -   ,,,,,,,,,,
SUR," 71,703 "," 5,562 "," 8,081 "," 10,090 "," 9,941 "," 8,491 "," 10,705 "," 11,525 "," 6,254 "," 1,054 ",,,,,,,,,,
ALAUSÍ - SIBAMBE - ALAUSÍ," 60,293 "," 3,676 "," 6,214 "," 8,237 "," 8,247 "," 7,277 "," 9,568 "," 10,500 "," 5,593 ", 981 ,,,,,,,,,,
RIOBAMBA - COLTA - RIOBAMBA," 11,410 "," 1,886 "," 1,867 "," 1,853 "," 1,694 "," 1,214 "," 1,137 "," 1,025 ", 661 , 73 ,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,,,,,,,,,,,,,,,,
