"CUADRO No.-26
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS  POR SEXO, SEGÚN PAÍS DE ORIGEN",,,,,
,,,,,ÍNDICE>>
PAÍS DE ORIGEN, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,
,,HOMBRES,MUJERES,NO INFORMA,
TOTAL ," 131,319 "," 54,916 "," 71,537 "," 4,866 ",
ECUADOR," 97,972 "," 40,040 "," 54,542 "," 3,390 ",
ESTADOS UNIDOS," 6,091 "," 2,811 "," 3,088 ", 192 ,
FRANCIA," 4,475 "," 1,895 "," 2,114 ", 466 ,
ALEMANIA," 4,170 "," 1,946 "," 2,062 ", 162 ,
PAÍSES BAJOS," 1,829 ", 865 , 917 , 47 ,
COLOMBIA," 1,389 ", 571 , 767 , 51 ,
ARGENTINA," 1,386 ", 559 , 813 , 14 ,
REINO UNIDO," 1,352 ", 617 , 707 , 28 ,
CANADÁ," 1,342 ", 586 , 675 , 81 ,
ESPAÑA," 1,298 ", 634 , 641 , 23 ,
SUIZA," 1,224 ", 555 , 637 , 32 ,
ITALIA," 1,009 ", 477 , 527 , 5 ,
BRASIL, 841 , 341 , 483 , 17 ,
BÉLGICA, 822 , 386 , 430 , 6 ,
AUSTRALIA, 765 , 337 , 377 , 51 ,
MÉXICO, 489 , 226 , 248 , 15 ,
VENEZUELA, 471 , 214 , 245 , 12 ,
CHILE, 462 , 202 , 247 , 13 ,
AUSTRIA, 389 , 188 , 185 , 16 ,
COSTA RICA, 289 , 104 , 184 , 1 ,
PERÚ, 250 , 107 , 137 , 6 ,
URUGUAY, 247 , 82 , 164 , 1 ,
POLONIA, 191 , 93 , 88 , 10 ,
PUERTO RICO, 172 , 70 , 102 , -   ,
SUECIA, 170 , 78 , 88 , 4 ,
RUSIA, 163 , 68 , 91 , 4 ,
DINAMARCA, 153 , 73 , 79 , 1 ,
TAIWÁN, 138 , 10 , 6 , 122 ,
NUEVA ZELANDA, 122 , 50 , 71 , 1 ,
REPÚBLICA CHECA, 121 , 64 , 57 , -   ,
ISRAEL, 120 , 61 , 57 , 2 ,
JAPÓN, 97 , 47 , 40 , 10 ,
CUBA, 97 , 54 , 43 , -   ,
CHINA, 89 , 39 , 49 , 1 ,
PORTUGAL, 74 , 30 , 42 , 2 ,
GRECIA, 72 , 20 , 27 , 25 ,
NORUEGA, 65 , 38 , 27 , -   ,
PANAMÁ, 62 , 25 , 36 , 1 ,
IRLANDA, 56 , 30 , 25 , 1 ,
OTROS, 795 , 323 , 419 , 53 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2015 ,,,,,
