,,,,,,,,,,
"CUADRO No.-39
TRANSPORTE MARÍTIMO INTERNACIONAL
 NÚMERO DE NAVES ARRIBADAS POR PUERTO, SEGÚN BANDERAS",,,,,,,,,ÍNDICE>>,
,,,,,,,,,,
BANDERAS,  TOTAL,    ENTIDADES    PORTUARIAS,,,,,,,,
,,APE,APG,APM,APPB,SUINBA,SUINLI,SUINSA,,
 TOTAL," 2,731 ", 227 , 921 , 441 , 376 , 375 , 321 , 70 ,,
ALEMANIA, 22 , 7 , 9 , -   , 5 , -   , 1 , -   ,,
ANTIGUA Y BARBUDA, 182 , 42 , 125 , 5 , 3 , -   , 7 , -   ,,
ANTILLAS HOLANDESAS, 10 , -   , -   , -   , 10 , -   , - , -   ,,
ARABIA SAUDITA, 2 , -   , -   , -   , 2 , -   , - , -   ,,
BAHAMAS, 171 , 13 , 15 , 18 , 108 , 12 , 5 , -   ,,
BAHEMENA, 58 , -   , 58 , -   , -   , -   , - , -   ,,
BARBADOS, 1 , -   , -   , -   , 1 , -   , - , -   ,,
BÉLICE, 2 , -   , -   , 2 , -   , -   , - , -   ,,
BÉLGICA, 1 , -   , 1 , -   , -   , -   , - , -   ,,
BERMUDAS, 5 , -   , -   , 3 , -   , 1 , 1 , -   ,,
BOLIVIA, 2 , -   , -   , 2 , -   , -   , - , -   ,,
BRASIL, 1 , -   , 1 , -   , -   , -   , - , -   ,,
CANADÁ, 1 , -   , -   , 1 , -   , -   , - , -   ,,
CHILE, 12 , -   , 10 , 1 , -   , -   , 1 , -   ,,
CHINA, 52 , -   , 51 , -   , -   , -   , 1 , -   ,,
CHIPRE, 61 , 1 , 40 , -   , 4 , 8 , 6 , 2 ,,
COLOMBIA, 94 , -   , -   , 94 , -   , -   , - , -   ,,
COREA DEL SUR, 4 , 2 , -   , 1 , -   , -   , 1 , -   ,,
CROACIA, 2 , -   , 1 , 1 , -   , -   , - , -   ,,
DANESA, 10 , -   , 10 , -   , -   , -   , - , -   ,,
DINAMARCA, 28 , 2 , -   , 1 , -   , 9 , 12 , 4 ,,
ECUADOR, 27 , 1 , -   , -   , -   , 26 , - , -   ,,
EL SALVADOR, 4 , -   , -   , 4 , -   , -   , - , -   ,,
ESPAÑA, 9 , -   , -   , 9 , -   , -   , - , -   ,,
ESTADOS UNIDOS, 20 , -   , 1 , 18 , -   , 1 , - , -   ,,
FILIPINAS, 12 , 4 , 3 , 2 , -   , -   , 3 , -   ,,
FRANCIA, 2 , -   , 2 , -   , -   , -   , - , -   ,,
GIBRALTAR, 8 , -   , -   , 1 , -   , -   , 7 , -   ,,
GRAN BRETAÑA, 42 , -   , 22 , 16 , -   , 2 , 1 , 1 ,,
GRECIA, 32 , -   , 8 , -   , -   , 22 , 1 , 1 ,,
GUATEMALA, 9 , -   , -   , 9 , -   , -   , - , -   ,,
HOLANDA, 23 , 3 , 4 , 13 , 1 , -   , 2 , -   ,,
HONG KONG, 34 , 7 , -   , 4 , 1 , 4 , 17 , 1 ,,
ISLA DEL HOMBRE, 9 , -   , 1 , -   , -   , 7 , 1 , -   ,,
ISLAS BERMUDAS, 6 , -   , 6 , -   , -   , -   , - , -   ,,
ISLAS CAIMÁN, 16 , 2 , 2 , 2 , 5 , -   , 5 , -   ,,
ISLAS COOK, 4 , -   , 1 , -   , 3 , -   , - , -   ,,
ISLAS MARSHALL, 279 , 11 , 41 , 22 , 8 , 121 , 54 , 22 ,,
ITALIA, 13 , -   , 1 , -   , -   , 5 , 5 , 2 ,,
JAPÓN, 16 , 1 , 15 , -   , -   , -   , - , -   ,,
KINGSTON, 1 , -   , 1 , -   , -   , -   , - , -   ,,
KIRIBATI, 2 , -   , -   , 2 , -   , -   , - , -   ,,
