,,,,,,,,,,,,,,
"CUADRO No.-40
TRANSPORTE MARÍTIMO INTERNACIONAL
 TONELAJE DE REGISTRO NETO DE LAS NAVES ENTRADAS Y SALIDAS,
POR MESES",,,,,,,,,,,,,,ÍNDICE>>
,,,,,,,,,,,,,,
ENTIDADES PORTUARIAS,TOTAL,MESES,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
ENTRADAS TOTAL," 22,869,556 "," 2,206,788 "," 2,039,599 "," 1,959,145 "," 2,054,493 "," 1,542,108 "," 1,871,494 "," 2,089,508 "," 1,977,653 "," 1,729,860 "," 1,939,831 "," 1,728,383 "," 1,730,693 ",
APE," 2,630,945 "," 402,720 "," 216,519 "," 234,290 "," 268,006 "," 172,229 "," 124,273 "," 229,803 "," 211,429 "," 177,909 "," 161,970 "," 252,197 "," 179,600 ",
APG, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APM," 2,388,880 "," 318,884 "," 238,836 "," 202,300 "," 286,138 "," 102,415 "," 151,033 "," 195,693 "," 170,388 "," 127,715 "," 209,532 "," 206,167 "," 179,779 ",
APPB," 2,007,629 "," 161,344 "," 161,042 "," 191,321 "," 160,158 "," 143,657 "," 155,331 "," 198,786 "," 151,505 "," 179,329 "," 180,799 "," 144,574 "," 179,783 ",
SUINBA," 9,868,811 "," 860,140 "," 828,056 "," 959,780 "," 769,868 "," 778,648 "," 787,683 "," 943,280 "," 899,923 "," 713,975 "," 731,534 "," 794,662 "," 801,262 ",
SUINLI," 5,031,374 "," 394,479 "," 478,426 "," 288,226 "," 485,227 "," 233,667 "," 595,285 "," 471,820 "," 440,883 "," 478,984 "," 581,192 "," 262,276 "," 320,909 ",
SUINSA," 941,917 "," 69,221 "," 116,720 "," 83,228 "," 85,096 "," 111,492 "," 57,889 "," 50,127 "," 103,525 "," 51,948 "," 74,804 "," 68,507 "," 69,360 ",
SALIDAS TOTAL," 22,869,556 "," 2,206,788 "," 2,039,599 "," 1,959,145 "," 2,054,493 "," 1,542,108 "," 1,871,494 "," 2,089,508 "," 1,977,653 "," 1,729,860 "," 1,939,831 "," 1,728,383 "," 1,730,693 ",
APE," 2,630,945 "," 402,720 "," 216,519 "," 234,290 "," 268,006 "," 172,229 "," 124,273 "," 229,803 "," 211,429 "," 177,909 "," 161,970 "," 252,197 "," 179,600 ",
APG, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APM," 2,388,880 "," 318,884 "," 238,836 "," 202,300 "," 286,138 "," 102,415 "," 151,033 "," 195,693 "," 170,388 "," 127,715 "," 209,532 "," 206,167 "," 179,779 ",
APPB," 2,007,629 "," 161,344 "," 161,042 "," 191,321 "," 160,158 "," 143,657 "," 155,331 "," 198,786 "," 151,505 "," 179,329 "," 180,799 "," 144,574 "," 179,783 ",
SUINBA," 9,868,811 "," 860,140 "," 828,056 "," 959,780 "," 769,868 "," 778,648 "," 787,683 "," 943,280 "," 899,923 "," 713,975 "," 731,534 "," 794,662 "," 801,262 ",
SUINLI," 5,031,374 "," 394,479 "," 478,426 "," 288,226 "," 485,227 "," 233,667 "," 595,285 "," 471,820 "," 440,883 "," 478,984 "," 581,192 "," 262,276 "," 320,909 ",
SUINSA," 941,917 "," 69,221 "," 116,720 "," 83,228 "," 85,096 "," 111,492 "," 57,889 "," 50,127 "," 103,525 "," 51,948 "," 74,804 "," 68,507 "," 69,360 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,,,,,,
