,,,,,,,,,,,,,,
"CUADRO No.-43
TRAFICO MARÍTIMO INTERNACIONAL
NÚMERO DE PASAJEROS ENTRADOS Y SALIDOS POR MESES, SEGÚN PUERTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
"ENTIDADES DE
 PUERTO",    TOTAL,MESES,,,,,,,,,,,,
,,  ENERO, FEBRERO,  MARZO,  ABRIL,  MAYO,  JUNIO,  JULIO, AGOSTO,SEPTIEMBRE, OCTUBRE,NOVIEMBRE, DICIEMBRE,
ENTRADAS TOTAL," 22,942 "," 7,576 "," 1,225 "," 3,582 "," 3,640 ", -   , -   , -   ," 1,903 ", -   ," 1,396 "," 1,585 "," 2,035 ",
APE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APG," 4,841 "," 2,828 ", 625 , 773 , -   , -   , -   , -   , -   , -   , 315 , 300 , -   ,
APM," 18,101 "," 4,748 ", 600 ," 2,809 "," 3,640 ", -   , -   , -   ," 1,903 ", -   ," 1,081 "," 1,285 "," 2,035 ",
SALIDAS TOTAL," 22,942 "," 7,576 "," 1,225 "," 3,582 "," 3,640 ", -   , -   , -   ," 1,903 ", -   ," 1,396 "," 1,585 "," 2,035 ",
APE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APG," 4,841 "," 2,828 ", 625 , 773 , -   , -   , -   , -   , -   , -   , 315 , 300 , -   ,
APM," 18,101 "," 4,748 ", 600 ," 2,809 "," 3,640 ", -   , -   , -   ," 1,903 ", -   ," 1,081 "," 1,285 "," 2,035 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,,,,,,
