,,,,,,,,
"             CUADRO No.-45
   TRANSPORTE MARÍTIMO INTERNACIONAL
NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA , SEGÚN BANDERAS",,,,,,,,
,,,,,,,,ÍNDICE>>
BANDERAS,,,,BANDERAS,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",
TOTAL," 22,869,556 "," 71,632,712 "," 13,125,083 ",TOTAL," 22,869,556 "," 71,632,712 "," 30,755,092 ",
ALEMANIA," 33,796 "," 134,011 "," 12,352 ",ALEMANIA," 33,796 "," 134,011 "," 34,489 ",
ANTIGUA Y BARBUDA," 358,063 "," 2,266,965 "," 436,538 ",ANTIGUA Y BARBUDA," 358,063 "," 2,266,965 "," 268,280 ",
ANTILLAS HOLANDESAS," 78,133 "," 147,857 ", 143 ,ANTILLAS HOLANDESAS," 78,133 "," 147,857 "," 57,663 ",
ARABIA SAUDITA," 10,321 "," 19,838 ", -   ,ARABIA SAUDITA," 10,321 "," 19,838 "," 11,632 ",
BAHAMAS," 1,639,713 "," 3,801,051 "," 189,377 ",BAHAMAS," 1,639,713 "," 3,801,051 "," 1,687,698 ",
BAHEMENA, -   ," 1,312,588 "," 191,533 ",BAHEMENA, -   ," 1,312,588 "," 222,991 ",
BARBADOS," 5,406 "," 10,519 "," 7,991 ",BARBADOS," 5,406 "," 10,519 "," 6,569 ",
BÉLICE," 11,270 "," 3,950 ", -   ,BÉLICE," 11,270 "," 3,950 ", -   ,
BÉLGICA, -   ," 23,432 "," 13,096 ",BÉLGICA, -   ," 23,432 ", -   ,
BERMUDAS," 83,060 "," 158,214 "," 2,493 ",BERMUDAS," 83,060 "," 158,214 "," 46,842 ",
BOLIVIA, 524 ," 1,747 ", -   ,BOLIVIA, 524 ," 1,747 ", 9 ,
BRASIL, -   ," 3,729 ", -   ,BRASIL, -   ," 3,729 ", -   ,
CANADÁ, 179 , 369 , -   ,CANADÁ, 179 , 369 , -   ,
