,,,,,,,,,,,,
"CUADRO No.-46
TRANSPORTE MARÍTIMO INTERNACIONAL
ESMERALDAS (APE): NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA, SEGÚN BANDERAS",,,,,,,,,,,,
,,,,,,,,ÍNDICE>>,,,,
BANDERAS,,,,BANDERAS,,,,,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,,,,
TOTAL," 2,630,945 "," 5,873,258 "," 502,430 ",TOTAL," 2,630,945 "," 5,873,258 "," 223,080 ",,,,,
ALEMANIA, -   , -   , -   ,ALEMANIA, -   , -   , -   ,,,,,
ANTIGUA Y BARBUDA," 253,284 "," 537,346 "," 55,573 ",ANTIGUA Y BARBUDA," 253,284 "," 537,346 "," 5,513 ",,,,,
BAHAMAS," 243,666 "," 613,638 "," 17,001 ",BAHAMAS," 243,666 "," 613,638 "," 3,216 ",,,,,
CHIPRE," 5,894 "," 12,993 ", 32 ,CHIPRE," 5,894 "," 12,993 ", -   ,,,,,
COREA DEL SUR," 41,464 "," 122,675 ", 950 ,COREA DEL SUR," 41,464 "," 122,675 ", -   ,,,,,
DINAMARCA," 4,596 "," 9,504 ", -   ,DINAMARCA," 4,596 "," 9,504 "," 7,486 ",,,,,
ECUADOR," 12,566 "," 41,886 ", 187 ,ECUADOR," 12,566 "," 41,886 ", -   ,,,,,
FILIPINAS," 27,216 "," 51,661 ", -   ,FILIPINAS," 27,216 "," 51,661 "," 42,176 ",,,,,
HOLANDA," 14,987 "," 28,674 "," 2,726 ",HOLANDA," 14,987 "," 28,674 ", 947 ,,,,,
HONG KONG," 106,218 "," 204,877 "," 71,916 ",HONG KONG," 106,218 "," 204,877 ", 589 ,,,,,
ISLAS CAIMÁN," 28,164 "," 51,740 "," 10,512 ",ISLAS CAIMÁN," 28,164 "," 51,740 ", -   ,,,,,
ISLAS MARSHALL," 112,607 "," 227,446 "," 25,717 ",ISLAS MARSHALL," 112,607 "," 227,446 "," 27,960 ",,,,,
JAPÓN," 15,519 "," 51,731 ", 190 ,JAPÓN," 15,519 "," 51,731 ", -   ,,,,,
LIBERIA," 405,675 "," 500,290 "," 53,240 ",LIBERIA," 405,675 "," 500,290 "," 14,117 ",,,,,
MÉXICO," 1,269 "," 4,229 ", 358 ,MÉXICO," 1,269 "," 4,229 ", -   ,,,,,
MALTA," 110,802 "," 225,218 "," 17,238 ",MALTA," 110,802 "," 225,218 "," 14,864 ",,,,,
NORUEGA, -   , -   , -   ,NORUEGA, -   , -   , -   ,,,,,
PANAMÁ," 678,470 "," 1,936,612 "," 111,381 ",PANAMÁ," 678,470 "," 1,936,612 "," 59,749 ",,,,,
SINGAPUR," 337,181 "," 753,247 "," 95,233 ",SINGAPUR," 337,181 "," 753,247 "," 29,565 ",,,,,
SUIZA," 29,757 "," 57,872 "," 9,264 ",SUIZA," 29,757 "," 57,872 ", -   ,,,,,
TURQUÍA," 18,500 "," 30,651 "," 9,806 ",TURQUÍA," 18,500 "," 30,651 ", -   ,,,,,
UCRANIA," 23,559 "," 61,328 ", 670 ,UCRANIA," 23,559 "," 61,328 ", -   ,,,,,
OTROS PAÍSES," 159,551 "," 349,640 "," 20,436 ",OTROS PAÍSES," 159,551 "," 349,640 "," 16,900 ",,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,,,,
