,,,,,,,,
"CUADRO No.-47
TRANSPORTE  MARÍTIMO INTERNACIONAL
MANTA (APM): NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA, SEGÚN BANDERAS",,,,,,,,
,,,,,,,,ÍNDICE>>
BANDERAS,,,,BANDERAS,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",
TOTAL," 2,388,880 "," 5,953,807 "," 732,463 ",TOTAL," 2,388,880 "," 5,953,807 "," 66,273 ",
ANTIGUA Y BARBUDA," 49,314 "," 157,272 ", 972 ,ANTIGUA Y BARBUDA," 49,314 "," 157,272 ", 366 ,
BAHAMAS," 338,143 "," 772,772 "," 14,227 ",BAHAMAS," 338,143 "," 772,772 ", -   ,
BÉLICE," 11,270 "," 3,950 ", -   ,BÉLICE," 11,270 "," 3,950 ", -   ,
BERMUDAS," 52,165 "," 93,313 "," 2,493 ",BERMUDAS," 52,165 "," 93,313 ", -   ,
BOLIVIA, 524 ," 1,747 ", -   ,BOLIVIA, 524 ," 1,747 ", 9 ,
CANADÁ, 179 , 369 , -   ,CANADÁ, 179 , 369 , -   ,
CHILE, 187 , 623 , -   ,CHILE, 187 , 623 , -   ,
COLOMBIA," 35,964 "," 98,253 "," 4,841 ",COLOMBIA," 35,964 "," 98,253 ", 375 ,
COREA DEL SUR, 404 , 536 , 598 ,COREA DEL SUR, 404 , 536 , -   ,
CROACIA, 180 , 258 , -   ,CROACIA, 180 , 258 , -   ,
DINAMARCA," 2,298 "," 4,752 ", -   ,DINAMARCA," 2,298 "," 4,752 "," 1,995 ",
EL SALVADOR," 3,068 "," 10,228 "," 4,989 ",EL SALVADOR," 3,068 "," 10,228 ", 535 ,
ESPAÑA," 7,466 "," 23,432 "," 8,134 ",ESPAÑA," 7,466 "," 23,432 ", 863 ,
ESTADOS UNIDOS," 55,121 "," 178,094 "," 9,466 ",ESTADOS UNIDOS," 55,121 "," 178,094 ", 79 ,
FILIPINAS," 31,711 "," 53,296 "," 23,873 ",FILIPINAS," 31,711 "," 53,296 ", -   ,
GIBRALTAR," 14,551 "," 47,053 ", 490 ,GIBRALTAR," 14,551 "," 47,053 ", -   ,
GRAN BRETAÑA," 215,007 "," 640,545 "," 25,765 ",GRAN BRETAÑA," 215,007 "," 640,545 ", -   ,
GUATEMALA," 5,551 "," 18,340 "," 5,992 ",GUATEMALA," 5,551 "," 18,340 ", -   ,
HOLANDA," 198,471 "," 406,748 "," 4,656 ",HOLANDA," 198,471 "," 406,748 "," 2,572 ",
HONG KONG," 40,274 "," 74,081 "," 55,390 ",HONG KONG," 40,274 "," 74,081 ", -   ,
ISLAS CAIMÁN," 12,252 "," 23,256 "," 8,608 ",ISLAS CAIMÁN," 12,252 "," 23,256 "," 5,000 ",
ISLAS MARSHALL," 242,300 "," 511,821 "," 129,103 ",ISLAS MARSHALL," 242,300 "," 511,821 "," 17,917 ",
KIRIBATI," 3,390 "," 8,476 "," 3,169 ",KIRIBATI," 3,390 "," 8,476 ", 71 ,
LIBERIA," 18,651 "," 60,387 ", 151 ,LIBERIA," 18,651 "," 60,387 ", -   ,
MALTA," 44,536 "," 99,189 "," 33,449 ",MALTA," 44,536 "," 99,189 "," 15,073 ",
NICARAGUA," 7,022 "," 22,860 "," 1,759 ",NICARAGUA," 7,022 "," 22,860 ", 233 ,
NORUEGA, -   ," 12,184 "," 4,717 ",NORUEGA, -   ," 12,184 ", -   ,
PANAMÁ," 810,091 "," 2,156,983 "," 302,771 ",PANAMÁ," 810,091 "," 2,156,983 "," 18,710 ",
PERÚ," 1,400 "," 6,172 ", 785 ,PERÚ," 1,400 "," 6,172 ", -   ,
PORTUGAL," 5,272 "," 11,880 "," 7,769 ",PORTUGAL," 5,272 "," 11,880 ", -   ,
SINGAPUR," 159,632 "," 388,561 "," 64,420 ",SINGAPUR," 159,632 "," 388,561 "," 1,009 ",
SUIZA," 12,620 "," 29,718 ", -   ,SUIZA," 12,620 "," 29,718 "," 1,092 ",
VANUATU," 4,485 "," 13,282 "," 4,820 ",VANUATU," 4,485 "," 13,282 ", 241 ,
VENEZUELA," 5,382 "," 23,378 "," 9,056 ",VENEZUELA," 5,382 "," 23,378 ", 133 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,
