,,,,,,,,,
"CUADRO No.-48
TRANSPORTE MARÍTIMO INTERNACIONAL
GUAYAQUIL (APG): NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA, SEGÚN BANDERAS",,,,,,,,,
,,,,,,,,ÍNDICE>>,
BANDERAS,,,,BANDERAS,,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,
TOTAL, -   ," 25,949,412 "," 5,214,770 ",TOTAL, -   ," 25,949,412 "," 5,116,280 ",,
ALEMANIA, -   ," 68,671 "," 12,328 ",ALEMANIA, -   ," 68,671 "," 8,752 ",,
ANTIGUA Y BARBUDA, -   ," 1,448,495 "," 378,100 ",ANTIGUA Y BARBUDA, -   ," 1,448,495 "," 262,401 ",,
BAHAMAS, -   ," 293,216 "," 116,137 ",BAHAMAS, -   ," 293,216 "," 60,087 ",,
BAHEMENA, -   ," 1,312,588 "," 191,533 ",BAHEMENA, -   ," 1,312,588 "," 222,991 ",,
BÉLGICA, -   ," 23,432 "," 13,096 ",BÉLGICA, -   ," 23,432 ", -   ,,
BRASIL, -   ," 3,729 ", -   ,BRASIL, -   ," 3,729 ", -   ,,
CHILE, -   ," 169,712 "," 76,556 ",CHILE, -   ," 169,712 "," 33,672 ",,
CHINA, -   ," 1,610,504 "," 427,086 ",CHINA, -   ," 1,610,504 "," 403,845 ",,
CHIPRE, -   ," 772,339 "," 165,512 ",CHIPRE, -   ," 772,339 "," 122,247 ",,
CROACIA, -   ," 30,092 "," 10,913 ",CROACIA, -   ," 30,092 ", -   ,,
DANESA, -   ," 266,651 "," 48,755 ",DANESA, -   ," 266,651 "," 103,893 ",,
ESTADOS UNIDOS, -   ," 57,623 ", 804 ,ESTADOS UNIDOS, -   ," 57,623 ", -   ,,
FILIPINAS, -   ," 72,592 "," 35,189 ",FILIPINAS, -   ," 72,592 ", -   ,,
FRANCIA, -   ," 21,888 ", -   ,FRANCIA, -   ," 21,888 ", -   ,,
GRAN BRETAÑA, -   ," 951,198 "," 89,099 ",GRAN BRETAÑA, -   ," 951,198 "," 156,804 ",,
GRECIA, -   ," 290,960 "," 63,813 ",GRECIA, -   ," 290,960 "," 30,913 ",,
HOLANDA, -   ," 61,031 "," 14,362 ",HOLANDA, -   ," 61,031 ", 620 ,,
ISLA DEL HOMBRE, -   ," 9,177 "," 10,963 ",ISLA DEL HOMBRE, -   ," 9,177 ", -   ,,
ISLAS BERMUDAS, -   ," 116,094 ", 64 ,ISLAS BERMUDAS, -   ," 116,094 "," 18,139 ",,
ISLAS CAIMÁN, -   ," 35,659 "," 6,282 ",ISLAS CAIMÁN, -   ," 35,659 ", -   ,,
ISLAS COOK, -   ," 10,374 ", -   ,ISLAS COOK, -   ," 10,374 "," 1,152 ",,
ISLAS MARSHALL, -   ," 1,335,051 "," 415,816 ",ISLAS MARSHALL, -   ," 1,335,051 "," 107,283 ",,
ITALIA, -   ," 22,988 "," 5,500 ",ITALIA, -   ," 22,988 ", -   ,,
JAPÓN, -   ," 474,855 "," 141,325 ",JAPÓN, -   ," 474,855 "," 170,821 ",,
KINGSTON, -   ," 7,460 ", 534 ,KINGSTON, -   ," 7,460 ", -   ,,
LIBERIA, -   ," 9,499,637 "," 1,462,733 ",LIBERIA, -   ," 9,499,637 "," 2,338,423 ",,
MALTA, -   ," 354,565 "," 146,130 ",MALTA, -   ," 354,565 "," 28,996 ",,
NORUEGA, -   ," 215,104 "," 44,665 ",NORUEGA, -   ," 215,104 ", -   ,,
PANAMÁ, -   ," 3,592,335 "," 839,261 ",PANAMÁ, -   ," 3,592,335 "," 371,343 ",,
PORTUGAL, -   ," 537,746 "," 109,195 ",PORTUGAL, -   ," 537,746 "," 103,558 ",,
SINGAPUR, -   ," 1,921,956 "," 343,749 ",SINGAPUR, -   ," 1,921,956 "," 553,605 ",,
SUECIA, -   ," 173,742 "," 1,451 ",SUECIA, -   ," 173,742 "," 3,401 ",,
TAILANDIA, -   ," 42,747 "," 11,260 ",TAILANDIA, -   ," 42,747 ", -   ,,
TURQUÍA, -   ," 43,581 "," 29,926 ",TURQUÍA, -   ," 43,581 ", -   ,,
VANUATU, -   ," 101,620 "," 2,632 ",VANUATU, -   ," 101,620 "," 13,335 ",,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,
