,,,,,,,,
"CUADRO No.-51
TRANSPORTE MARÍTIMO INTERNACIONAL
SUPERINTENDENCIA PETROLERA DE
LA LIBERTAD (SUINLI) : NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA, SEGÚN BANDERAS",,,,,,,,
,,,,,,,,ÍNDICE>>
BANDERAS,,,,BANDERAS,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",
TOTAL," 5,031,374 "," 9,848,250 "," 3,539,736 ",TOTAL," 5,031,374 "," 9,848,250 ", -   ,
ALEMANIA," 3,966 "," 8,255 ",0,ALEMANIA," 3,966 "," 8,255 ", -   ,
ANTIGUA Y BARBUDA," 44,882 "," 97,953 ", -   ,ANTIGUA Y BARBUDA," 44,882 "," 97,953 ", -   ,
BAHAMAS," 91,983 "," 167,209 ",0,BAHAMAS," 91,983 "," 167,209 ", -   ,
BERMUDAS," 9,972 "," 23,312 ", -   ,BERMUDAS," 9,972 "," 23,312 ", -   ,
CHILE," 4,830 "," 9,549 ",0,CHILE," 4,830 "," 9,549 ", -   ,
CHINA," 36,935 "," 64,769 "," 6,185 ",CHINA," 36,935 "," 64,769 ", -   ,
CHIPRE," 68,513 "," 145,831 ",69071.3,CHIPRE," 68,513 "," 145,831 ", -   ,
COREA DEL SUR," 16,065 "," 28,171 ",0,COREA DEL SUR," 16,065 "," 28,171 ", -   ,
DINAMARCA," 163,416 "," 297,761 "," 215,242 ",DINAMARCA," 163,416 "," 297,761 ", -   ,
FILIPINAS," 47,504 "," 78,663 ", -   ,FILIPINAS," 47,504 "," 78,663 ", -   ,
GIBRALTAR," 75,285 "," 250,971 "," 116,696 ",GIBRALTAR," 75,285 "," 250,971 ", -   ,
GRAN BRETAÑA," 9,972 "," 23,312 ",38296,GRAN BRETAÑA," 9,972 "," 23,312 ", -   ,
GRECIA," 58,745 "," 91,373 "," 6,245 ",GRECIA," 58,745 "," 91,373 ", -   ,
HOLANDA," 50,520 "," 90,186 ", -   ,HOLANDA," 50,520 "," 90,186 ", -   ,
HONG KONG," 389,710 "," 679,872 "," 57,938 ",HONG KONG," 389,710 "," 679,872 ", -   ,
ISLA DEL HOMBRE," 12,013 "," 22,409 ", -   ,ISLA DEL HOMBRE," 12,013 "," 22,409 ", -   ,
ISLAS CAIMÁN," 55,775 "," 104,057 ", 994 ,ISLAS CAIMÁN," 55,775 "," 104,057 ", -   ,
ISLAS MARSHALL," 924,536 "," 1,771,453 "," 557,141 ",ISLAS MARSHALL," 924,536 "," 1,771,453 ", -   ,
ITALIA," 47,819 "," 104,136 "," 72,397 ",ITALIA," 47,819 "," 104,136 ", -   ,
LÍBANO," 14,354 "," 30,221 "," 21,637 ",LÍBANO," 14,354 "," 30,221 ", -   ,
LIBERIA," 668,000 "," 1,495,659 "," 839,283 ",LIBERIA," 668,000 "," 1,495,659 ", -   ,
MALTA," 369,443 "," 671,472 "," 577,565 ",MALTA," 369,443 "," 671,472 ", -   ,
MONROVIA, -   , -   , -   ,MONROVIA, -   , -   , -   ,
NORUEGA," 285,372 "," 712,152 "," 501,279 ",NORUEGA," 285,372 "," 712,152 ", -   ,
PANAMÁ," 1,158,512 "," 2,032,574 "," 224,926 ",PANAMÁ," 1,158,512 "," 2,032,574 ", -   ,
PORTUGAL," 17,086 "," 35,736 ", -   ,PORTUGAL," 17,086 "," 35,736 ", -   ,
QATAR," 53,448 "," 152,448 "," 94,287 ",QATAR," 53,448 "," 152,448 ", -   ,
REINO UNIDO," 49,348 "," 107,147 "," 38,197 ",REINO UNIDO," 49,348 "," 107,147 ", -   ,
RUSIA," 5,272 "," 11,880 ", -   ,RUSIA," 5,272 "," 11,880 ", -   ,
SEYCHELLES," 13,057 "," 27,007 "," 13,578 ",SEYCHELLES," 13,057 "," 27,007 ", -   ,
SINGAPUR," 255,046 "," 458,539 "," 88,778 ",SINGAPUR," 255,046 "," 458,539 ", -   ,
TAILANDIA," 11,230 "," 22,641 ", -   ,TAILANDIA," 11,230 "," 22,641 ", -   ,
TURQUÍA," 18,765 "," 31,532 ", -   ,TURQUÍA," 18,765 "," 31,532 ", -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,
,,,,,,,,
