,,,,,,,,
"CUADRO No.-52
TRANSPORTE MARÍTIMO INTERNACIONAL
EL SALITRAL (SUINSA): NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA, SEGÚN BANDERAS",,,,,,,,
,,,,,,,,ÍNDICE>>
,,,,,,,,
BANDERAS,,,,BANDERAS,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",
TOTAL," 941,917 "," 1,975,718 "," 1,004,074 ",TOTAL," 941,917 "," 1,975,718 ", -   ,
CHIPRE," 21,479 "," 49,104 "," 10,984 ",CHIPRE," 21,479 "," 49,104 ", -   ,
DINAMARCA," 53,810 "," 111,308 "," 39,971 ",DINAMARCA," 53,810 "," 111,308 ", -   ,
HONG KONG," 12,026 "," 29,266 "," 17,357 ",HONG KONG," 12,026 "," 29,266 ", -   ,
GRAN BRETAÑA," 9,972 "," 23,312 "," 13,146 ",GRAN BRETAÑA," 9,972 "," 23,312 ", -   ,
GRECIA," 12,984 "," 27,612 "," 18,976 ",GRECIA," 12,984 "," 27,612 ", -   ,
ISLAS MARSHALL," 291,894 "," 628,035 "," 383,745 ",ISLAS MARSHALL," 291,894 "," 628,035 ", -   ,
ITALIA," 24,876 "," 55,284 "," 18,932 ",ITALIA," 24,876 "," 55,284 ", -   ,
LIBERIA," 220,719 "," 468,053 "," 212,355 ",LIBERIA," 220,719 "," 468,053 ", -   ,
MALTA," 47,454 "," 85,436 "," 29,083 ",MALTA," 47,454 "," 85,436 ", -   ,
NORUEGA," 20,980 "," 45,440 "," 16,258 ",NORUEGA," 20,980 "," 45,440 ", -   ,
PANAMÁ," 127,274 "," 228,673 "," 152,683 ",PANAMÁ," 127,274 "," 228,673 ", -   ,
QATAR," 26,724 "," 76,224 "," 23,526 ",QATAR," 26,724 "," 76,224 ", -   ,
REINO UNIDO," 44,106 "," 90,723 "," 38,898 ",REINO UNIDO," 44,106 "," 90,723 ", -   ,
SEYCHELLES," 13,057 "," 27,007 "," 21,550 ",SEYCHELLES," 13,057 "," 27,007 ", -   ,
SINGAPUR," 14,562 "," 30,241 "," 6,609 ",SINGAPUR," 14,562 "," 30,241 ", -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,
