,,,,,,,,,,,,,,
 CUADRO No.-53,,,,,,,,,,,,,,
TRANSPORTE MARÍTIMO INTERNACIONAL,,,,,,,,,,,,,,
NÚMERO DE CONTENEDORES CON CARGA MOVILIZADAS SEGÚN LAS AGENCIAS NAVIERAS ,,,,,,,,ÍNDICE>>,,,,,,
(CANTIDAD EN UNIDADES),,,,,,,,,,,,,,
AGENCIAS NAVIERAS,TOTAL,IMPORTACIÓN,,EXPORTACIÓN,,TOTAL,,,,,,,,
,,CONT'20,CONT'40,CONT'20,CONT'40,CONT'20,CONT'40,,,,,,,
 TOTAL," 418,224 "," 67,086 "," 122,005 "," 19,589 "," 209,544 "," 86,675 "," 331,549 ",,,,,,,
" MAERSK DEL ECUADOR C.A.
 "," 105,483 "," 16,348 "," 25,919 "," 2,140 "," 61,076 "," 18,488 "," 86,995 ",,,,,,,
 MEDITERRANEAN SHIPPING COMPANY ," 102,116 "," 16,126 "," 16,316 "," 6,009 "," 63,665 "," 22,135 "," 79,981 ",,,,,,,
" HAMBURG SUD ECUADOR S. A.
 "," 61,533 "," 11,074 "," 18,569 "," 3,958 "," 27,932 "," 15,032 "," 46,501 ",,,,,,,
" TRANSOCEANICA CIA.LTDA.
 "," 51,462 "," 12,283 "," 17,885 "," 4,280 "," 17,014 "," 16,563 "," 34,899 ",,,,,,,
" CMA-CGM ECUADOR S.A.
 "," 34,827 "," 6,653 "," 9,489 "," 2,303 "," 16,382 "," 8,956 "," 25,871 ",,,,,,,
 AGENCIA MARITIMA GLOBAL-MARGLOBAL ," 21,319 ", 423 ," 10,229 ", 228 ," 10,439 ", 651 ," 20,668 ",,,,,,,
" REPRESENTACIONES MARITIMAS DEL ECUADOR S.A. - REMAR
 "," 16,226 "," 1,005 "," 14,514 ", 38 , 669 ," 1,043 "," 15,183 ",,,,,,,
" AGENCIA NAVIERA INTERNACIONAL S.A.
 "," 8,287 ", -   ," 4,284 ", -   ," 4,003 ", -   ," 8,287 ",,,,,,,
" MARITIMA ECUATORIANA MARSEC S.A.
 "," 4,045 ", -   , 654 , -   ," 3,391 ", -   ," 4,045 ",,,,,,,
" BROOM ECUADOR S.A.
 "," 3,299 "," 1,164 ", 874 , 139 ," 1,122 "," 1,303 "," 1,996 ",,,,,,,
" TERMINAVES AGENCIA MARITIMA S.A.-TAMSA
 "," 3,195 ", 818 ," 1,051 ", 190 ," 1,136 "," 1,008 "," 2,187 ",,,,,,,
" NAVESUR C. LTDA.
 "," 3,005 ", 820 , 897 , 165 ," 1,123 ", 985 ," 2,020 ",,,,,,,
" T.M.T.TRANSPORTES MARITIMOS Y TERRESTRES
 "," 1,732 ", -   , 846 , -   , 886 , -   ," 1,732 ",,,,,,,
" TRANSPORTE Y REPRESENTACIONES INTERNACIONALES, TRADINTER S ", 593 , 355 , 236 , 1 , 1 , 356 , 237 ,,,,,,,
" AGENCIA DE VAPORES INTERNACIONALES S.A
 ", 487 , -   , 18 , -   , 469 , -   , 487 ,,,,,,,
" BLUEPAC SHIPPING AGENCY S.A.
 ", 422 , -   , 199 , -   , 223 , -   , 422 ,,,,,,,
" GUSTAVO ZANDERS CIA. LTDA.
 ", 153 , 2 , 6 , 137 , 8 , 139 , 14 ,,,,,,,
" BBC CHARTERING
 ", 17 , 6 , 11 , -   , -   , 6 , 11 ,,,,,,,
" BBCECUADOR ANDINO C. LTDA
 ", 14 , 7 , 2 , -   , 5 , 7 , 7 ,,,,,,,
" TBS AGENCIA TECNICO MARITIMA TECNISEA CIA.LTDA.
 ", 8 , 2 , 6 , -   , -   , 2 , 6 ,,,,,,,
" IAN TAYLOR ECUADOR C.A.
 ", 1 , -   , -   , 1 , -   , 1 , -   ,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,,,,,,
