,,,,,,,
 CUADRO No.-54,,,,,,,
TRANSPORTE MARÍTIMO INTERNACIONAL,,,,,,,
MOVIMIENTOS DE TIPOS DE CARGA DE EXPORTACIÓN TOTAL SEGÚN LAS AGENCIAS NAVIERAS,,,,,,ÍNDICE>>,
(TONELADAS MÉTRICAS),,,,,,,
AGENCIAS NAVIERAS,TOTAL ,T I P O S   D E   C A R G A,,,,,
,,GENERAL,CONTENERIZADA,SÓLIDOS,LÍQUIDOS,,
 TOTAL," 7,193,152 "," 1,923,993 "," 5,003,543 "," 41,794 "," 223,822 ",,
"MEDITERRANEAN SHIPPING COMPANY
"," 1,583,896 ", -   ," 1,583,896 ", -   , -   ,,
"MAERSK DEL ECUADOR C.A.
"," 1,482,570 ", -   ," 1,482,570 ", -   , -   ,,
AGENCIA MARITIMA GLOBAL-MARGLOBAL," 898,452 "," 709,657 "," 188,795 ", -   , -   ,,
"HAMBURG SUD ECUADOR S. A.
"," 653,063 ", 1 ," 653,062 ", -   , -   ,,
"MARITIMA ECUATORIANA MARSEC S.A.
"," 589,177 "," 509,677 "," 79,500 ", -   , -   ,,
"TRANSOCEÁNICA CIA. LTDA.
"," 453,599 ", 5 ," 450,612 ", -   ," 2,982 ",,
"CMA-CGM ECUADOR S.A.
"," 410,446 ", -   ," 410,446 ", -   , -   ,,
"T.M.T.TRANSPORTES MARITIMOS Y TERRESTRES S.A.
"," 322,387 "," 294,670 "," 27,717 ", -   , -   ,,
"AGENCIA NAVIERA INTERNACIONAL S.A. GOLFOLINE
"," 267,464 "," 243,879 "," 23,585 ", -   , -   ,,
"REPRESENTACIONES MARITIMAS DEL ECUADOR S.A. - REMAR
"," 177,655 "," 21,859 "," 15,023 "," 40,894 "," 99,879 ",,
"DEL CAMPO SHIPPING AGENCIA NAVIERA JULIO DEL CAMPO
"," 106,046 "," 106,046 ", -   , -   , -   ,,
"ATLASMARINE S.A.
"," 36,378 ", 15 , -   , -   ," 36,363 ",,
"BROOM ECUADOR S.A.
"," 32,379 "," 4,297 "," 28,082 ", -   , -   ,,
"TRANSPORTE Y REPRESENTACIONES INTERNACIONALES, TRADINTER S"," 27,180 "," 4,326 ", 24 , -   ," 22,830 ",,
"AGENCIA DE VAPORES INTERNACIONALES S.A
"," 26,980 "," 16,087 "," 10,893 ", -   , -   ,,
"GUSTAVO ZANDERS CIA. LTDA.
"," 26,649 ", -   ," 3,330 ", -   ," 23,319 ",,
"TERMINAVES AGENCIA MARITIMA S.A.-TAMSA
"," 23,323 ", 323 ," 23,000 ", -   , -   ,,
"NAVESUR C. LTDA.
"," 22,976 ", 64 ," 22,912 ", -   , -   ,,
SOCIEPORT CIA. LTDA. ," 12,953 ", -   , -   , -   ," 12,953 ",,
"AGENCIA TECNICO MARITIMA TECNISEA
"," 11,664 ", -   , -   , -   ," 11,664 ",,
"BBC CHARTERING
"," 7,250 "," 7,250 ", -   , -   , -   ,,
"ANDITRADE S.A.
"," 4,000 ", -   , -   , -   ," 4,000 ",,
"ANDINAVE S.A.
"," 3,992 ", -   , -   , -   ," 3,992 ",,
"SNORKEL S.A.
"," 3,941 "," 3,941 ", -   , -   , -   ,,
"NAVIERA J.C.P. HNOS. CIA. LTDA.
"," 3,883 ", 372 , -   , 496 ," 3,015 ",,
"NAVIERA MARNIZAM S.A.
"," 3,060 ", 135 , -   , 404 ," 2,521 ",,
"BBCECUADOR ANDINO C. LTDA
"," 1,009 ", 921 , 88 , -   , -   ,,
"MARZAM CIA. LTDA.
", 299 , 107 , -   , -   , 192 ,,
"IAN TAYLOR ECUADOR C.A.
", 290 , 282 , 8 , -   , -   ,,
"B.O.W. S.A.
", 154 , 42 , -   , -   , 112 ,,
"INCHCAPE SHIPPING SERVICES S.A.
", 21 , 21 , -   , -   , -   ,,
"SERMARES S.A.
", 15 , 15 , -   , -   , -   ,,
"NOE SHIPPING AGENCY CIA. LTDA.
", 1 , 1 , -   , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
