,,,,,,,,
"CUADRO No .-10
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN CAPACIDAD DE CARGA",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL DE TONELADAS,TOTAL DE VEHÍCULOS,CAPACIDAD EN TONELADAS,,,,,
,,,1/4 A 3,3 1/4 A 6,6 1/4 A 10,10 1/4 A 15,15 1/4 Y MÁS,
TOTAL," 1,428,226 "," 545,561 "," 448,262 "," 55,180 "," 17,387 "," 10,637 "," 14,095 ",
CAMIÓN," 470,441 "," 88,948 ","27,188","43,172","11,125","5,706","1,757",
CAMIONETA," 457,764 "," 388,650 ","382,348","5,382",536,274,110,
FURGONETA C," 50,587 "," 39,297 ","36,536","2,761",0,0,0,
TANQUERO," 29,132 "," 2,887 ",267,742,688,782,408,
TRÁILER," 199,490 "," 8,429 ",0,0,"1,608",716,"6,105",
VOLQUETA," 162,820 "," 11,344 ",0,"2,213",2369,2357,4405,
OTRA CLASE," 57,991 "," 6,006 ","1,923",910,"1,061",802,"1,310",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
