,,,,,,,,
"CUADRO No .-11
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR PROVINCIA, SEGÚN CAPACIDAD DE PASAJEROS",,,,,,,,
,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL DE ASIENTOS,TOTAL DE VEHÍCULOS,CAPACIDAD DE ASIENTOS,,,,,
,,,1 A 10,11 A 20,21 A 30,31 A 40,41 Y MÁS,
TOTAL," 5,919,963 "," 1,385,813 "," 1,367,554 "," 1,442 "," 2,097 "," 6,577 "," 8,143 ",
AZUAY," 422,841 "," 85,769 "," 84,746 ", 59 , 84 , 492 , 388 ,
BOLÍVAR," 51,833 "," 11,321 "," 10,961 ", 7 , 25 , 127 , 201 ,
CAÑAR," 98,224 "," 21,693 "," 21,299 ", 19 , 43 , 193 , 139 ,
CARCHI," 66,721 "," 14,162 "," 13,908 ", 5 , 32 , 101 , 116 ,
COTOPAXI," 149,751 "," 32,409 "," 31,806 ", 11 , 34 , 250 , 308 ,
CHIMBORAZO," 198,107 "," 37,686 "," 36,889 ", 26 , 37 , 314 , 420 ,
EL ORO," 219,055 "," 62,685 "," 61,870 ", 53 , 64 , 352 , 346 ,
ESMERALDAS," 99,711 "," 32,534 "," 32,148 ", 40 , 44 , 136 , 166 ,
GUAYAS," 1,169,435 "," 273,053 "," 270,495 ", 473 , 322 , 635 ," 1,128 ",
IMBABURA," 166,063 "," 35,589 "," 35,064 ", 35 , 33 , 160 , 297 ,
LOJA," 199,129 "," 42,058 "," 41,318 ", 38 , 96 , 333 , 273 ,
LOS RÍOS," 191,022 "," 85,755 "," 85,062 ", 53 , 41 , 270 , 329 ,
MANABÍ," 367,125 "," 109,431 "," 107,902 ", 72 , 87 , 611 , 759 ,
MORONA SANTIAGO," 29,972 "," 7,014 "," 6,805 ", 13 , 29 , 124 , 43 ,
NAPO," 20,443 "," 4,983 "," 4,826 ", 8 , 12 , 69 , 68 ,
PASTAZA," 31,341 "," 6,727 "," 6,530 ", 4 , 34 , 70 , 89 ,
PICHINCHA," 1,842,041 "," 373,972 "," 369,917 ", 396 , 791 ," 1,199 "," 1,669 ",
TUNGURAHUA," 300,944 "," 53,715 "," 52,233 ", 38 , 82 , 568 , 794 ,
ZAMORA CHINCHIPE," 17,660 "," 3,802 "," 3,678 ", 4 , 49 , 60 , 11 ,
GALÁPAGOS," 3,398 ", 986 , 960 , 4 , 17 , 3 , 2 ,
SUCUMBÍOS," 38,263 "," 16,903 "," 16,675 ", 27 , 57 , 99 , 45 ,
ORELLANA," 27,980 "," 11,149 "," 10,999 ", 18 , 36 , 59 , 37 ,
SANTO DOMINGO DE LOS TSÁCHILAS," 138,707 "," 45,131 "," 44,612 ", 20 , 31 , 191 , 277 ,
SANTA ELENA," 70,197 "," 17,286 "," 16,851 ", 19 , 17 , 161 , 238 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
