"CUADRO No .-13
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR USO Y TIPO DE COMBUSTIBLE, SEGÚN PROVINCIAS",,,,,,,,,
,,,,,,,,,
,,,,,,,,,ÍNDICE>>
PROVINCIA,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
TOTAL ,," 1,925,368 "," 1,778,722 "," 112,234 "," 29,428 "," 4,183 ", 649 , 152 ,
TOTAL  ,DIESEL," 228,492 "," 162,237 "," 51,900 "," 12,039 "," 1,823 ", 479 , 14 ,
TOTAL ,GASOLINA," 1,690,270 "," 1,609,983 "," 60,298 "," 17,370 "," 2,355 ", 170 , 94 ,
TOTAL,HÍBRIDO," 5,459 "," 5,451 ", -   , 5 , 3 , -   , -   ,
TOTAL,ELÉCTRICO, 51 , 48 , 2 , -   , 1 , -   , -   ,
TOTAL,GAS LIQUADO DE PETRÓLEO, 421 , 393 , 23 , 4 , 1 , -   , -   ,
,NO REGISTRADO, 675 , 610 , 11 , 10 , -   , -   , 44 ,
,,,,,,,,,
AZUAY,TOTAL," 124,069 "," 114,587 "," 7,908 "," 1,179 ", 348 , 46 , 1 ,
,DIESEL," 13,643 "," 9,769 "," 3,184 ", 477 , 180 , 33 , -   ,
,GASOLINA," 110,016 "," 104,411 "," 4,723 ", 701 , 167 , 13 , 1 ,
,HÍBRIDO, 315 , 314 , -   , 1 , -   , -   , -   ,
,ELÉCTRICO, 10 , 9 , -   , -   , 1 , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 35 , 34 , 1 , -   , -   , -   , -   ,
,NO REGISTRADO, 50 , 50 , -   , -   , -   , -   , -   ,
,,,,,,,,,
BOLIVAR,TOTAL," 18,666 "," 16,369 "," 1,737 ", 517 , 28 , 14 , 1 ,
,DIESEL," 3,131 "," 1,872 ", 912 , 313 , 21 , 12 , 1 ,
,GASOLINA," 15,521 "," 14,483 ", 825 , 204 , 7 , 2 , -   ,
,HÍBRIDO, 11 , 11 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 2 , 2 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 1 , 1 , -   , -   , -   , -   , -   ,
,,,,,,,,,
CAÑAR,TOTAL," 34,968 "," 32,159 "," 2,480 ", 221 , 93 , 14 , 1 ,
,DIESEL," 4,466 "," 3,106 "," 1,191 ", 105 , 53 , 10 , 1 ,
,GASOLINA," 30,459 "," 29,011 "," 1,289 ", 116 , 39 , 4 , -   ,
