,,,,,,,,,,
"CUADRO No .-14
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE Y TIPO DE COMBUSTIBLE, SEGÚN USO DE VEHÍCULO",,,,,,,,,,
,,,,,,,,,ÍNDICE>>,
CLASE,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,,
TOTAL,," 1,925,368 "," 1,778,722 "," 112,234 "," 29,428 "," 4,183 ", 649 , 152 ,,
TOTAL  ,DIESEL," 228,492 "," 162,237 "," 51,900 "," 12,039 "," 1,823 ", 479 , 14 ,,
TOTAL,GASOLINA," 1,690,270 "," 1,609,983 "," 60,298 "," 17,370 "," 2,355 ", 170 , 94 ,,
TOTAL,HÍBRIDO," 5,459 "," 5,451 ", -   , 5 , 3 , -   , -   ,,
TOTAL,ELÉCTRICO, 51 , 48 , 2 , -   , 1 , -   , -   ,,
TOTAL,GAS LIQUADO DE PETRÓLEO, 421 , 393 , 23 , 4 , 1 , -   , -   ,,
,NO REGISTRADO, 675 , 610 , 11 , 10 , -   , -   , 44 ,,
,,,,,,,,,,
AUTOMÓVIL,TOTAL," 598,835 "," 549,935 "," 47,730 "," 1,137 ", 16 , 1 , 16 ,,
,DIESEL," 1,517 "," 1,441 ", 72 , 3 , -   , -   , 1 ,,
,GASOLINA," 594,361 "," 545,566 "," 47,639 "," 1,130 ", 16 , 1 , 9 ,,
,HÍBRIDO," 2,687 ",2686, -   , 1 , -   , -   , -   ,,
,ELÉCTRICO, 18 , 18 , -   , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 171 ,154, 17 , -   , -   , -   , -   ,,
,NO REGISTRADO, 81 , 70 , 2 , 3 , -   , -   , 6 ,,
,,,,,,,,,,
AUTOBUS,TOTAL," 17,826 "," 1,690 "," 15,233 ", 839 , 48 , 10 , 6 ,,
,DIESEL," 17,506 "," 1,545 "," 15,087 ", 810 , 48 , 10 , 6 ,,
,GASOLINA, 317 , 144 , 144 , 29 , -   , -   , -   ,,
,ELÉCTRICO, 1 , -   , 1 , -   , -   , -   , -   ,,
,NO REGISTRADO, 2 , 1 , 1 , -   , -   , -   , -   ,,
,,,,,,,,,,
CAMIÓN,TOTAL," 88,948 "," 69,819 "," 16,750 "," 2,001 ", 326 , 47 , 5 ,,
,DIESEL," 79,896 "," 61,369 "," 16,459 "," 1,710 ", 310 , 46 , 2 ,,
,GASOLINA," 9,000 "," 8,406 ", 285 , 290 , 16 , 1 , 2 ,,
,HÍBRIDO, 3 , 3 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 2 , 1 , 1 , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 4 , 3 , 1 , -   , -   , -   , -   ,,
,NO REGISTRADO, 43 , 37 , 4 , 1 , -   , -   , 1 ,,
,,,,,,,,,,
CAMIONETA,TOTAL," 388,650 "," 361,895 "," 13,792 "," 11,307 "," 1,397 ", 247 , 12 ,,
,DIESEL," 77,349 "," 66,288 "," 4,070 "," 6,333 ", 462 , 196 , -   ,,
,GASOLINA," 311,034 "," 295,364 "," 9,717 "," 4,968 ", 933 , 51 , 1 ,,
,HÍBRIDO, 137 , 137 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 8 , 7 , -   , -   , 1 , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 96 , 87 , 5 , 3 , 1 , -   , -   ,,
,NO REGISTRADO, 26 , 12 , -   , 3 , -   , -   , 11 ,,
,,,,,,,,,,
FURGONETA C,TOTAL," 39,297 "," 32,810 "," 6,023 ", 420 , 39 , 5 , -   ,,
,DIESEL," 17,513 "," 11,544 "," 5,620 ", 315 , 29 , 5 , -   ,,
,GASOLINA," 21,769 "," 21,251 ", 403 , 105 , 10 , -   , -   ,,
,HÍBRIDO, 2 , 2 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 3 , 3 , -   , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 4 , 4 , -   , -   , -   , -   , -   ,,
,NO REGISTRADO, 6 , 6 , -   , -   , -   , -   , -   ,,
,,,,,,,,,,
FURGONETA P,TOTAL," 29,703 "," 29,389 ", 197 , 113 , 1 , -   , 3 ,,
,DIESEL," 1,243 "," 1,197 ", 39 , 7 , -   , -   , -   ,,
,GASOLINA," 28,397 "," 28,132 ", 158 , 106 , 1 , -   , -   ,,
,HÍBRIDO, 42 , 42 , -   , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 13 , 13 , -   , -   , -   , -   , -   ,,
,NO REGISTRADO, 8 , 5 , -   , -   , -   , -   , 3 ,,
,,,,,,,,,,
JEEP,TOTAL," 302,228 "," 296,482 ", 66 ," 5,148 ", 480 , 51 , 1 ,,
,DIESEL," 6,230 "," 6,078 ", 5 , 140 , 6 , 1 , -   ,,
,GASOLINA," 293,257 "," 287,673 ", 60 ," 5,002 ", 471 , 50 , 1 ,,
,HÍBRIDO," 2,577 "," 2,570 ", -   , 4 , 3 , -   , -   ,,
,ELÉCTRICO, 16 , 16 , -   , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 58 , 57 , -   , 1 , -   , -   , -   ,,
,NO REGISTRADO, 90 , 88 , 1 , 1 , -   , -   , -   ,,
,,,,,,,,,,
MOTOCICLETA,TOTAL," 431,215 "," 422,886 "," 1,843 "," 5,449 ", 878 , 62 , 97 ,,
,DIESEL, 124 , 59 , 61 , 2 , 1 , 1 , -   ,,
,GASOLINA," 430,609 "," 422,363 "," 1,782 "," 5,445 ", 877 , 61 , 81 ,,
,HÍBRIDO, 4 , 4 , -   , -   , -   , -   , -   ,,
,ELÉCTRICO, 3 , 3 , -   , -   , -   , -   , -   ,,
,GAS LIQUADO DE PETRÓLEO, 75 , 75 , -   , -   , -   , -   , -   ,,
,NO REGISTRADO, 400 , 382 , -   , 2 , -   , -   , 16 ,,
,,,,,,,,,,
TANQUERO,TOTAL," 2,887 "," 1,392 ", 991 , 377 , 102 , 25 , -   ,,
,DIESEL," 2,772 "," 1,310 ", 983 , 359 , 96 , 24 , -   ,,
,GASOLINA, 115 , 82 , 8 , 18 , 6 , 1 , -   ,,
,,,,,,,,,,
TRAILER,TOTAL," 8,429 "," 2,836 "," 5,412 ", 137 , 31 , 10 , 3 ,,
,DIESEL," 8,352 "," 2,790 "," 5,384 ", 135 , 30 , 10 , 3 ,,
,GASOLINA, 77 , 46 , 28 , 2 , 1 , -   , -   ,,
,,,,,,,,,,
VOLQUETA,TOTAL," 11,344 "," 6,155 "," 3,435 "," 1,045 ", 538 , 167 , 4 ,,
,DIESEL," 11,001 "," 5,899 "," 3,382 "," 1,020 ", 534 , 164 , 2 ,,
,GASOLINA, 341 , 256 , 53 , 25 , 4 , 3 , -   ,,
,NO REGISTRADO, 2 , -   , -   , -   , -   , -   , 2 ,,
,,,,,,,,,,
OTRA CLASE,TOTAL," 6,006 "," 3,433 ", 762 ," 1,455 ", 327 , 24 , 5 ,,
,DIESEL," 4,989 "," 2,717 ", 738 ," 1,205 ", 307 , 22 , -   ,,
,GASOLINA, 993 , 700 , 21 , 250 , 20 , 2 , -   ,,
,HÍBRIDO, 7 , 7 , -   , -   , -   , -   , -   ,,
,NO REGISTRADO, 17 , 9 , 3 , -   , -   , -   , 5 ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,
