,,,,,,,,
"CUADRO No .-2
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR USO, SEGÚN CLASE",,,,,,,,
,,,,,,,,ÍNDICE>>
CLASE,TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS,
TOTAL,"1,925,368","1,778,722","112,234","29,428","4,183",649,152,
AUTOMÓVIL," 598,835 "," 549,935 "," 47,730 "," 1,137 ", 16 , 1 , 16 ,
AUTOBUS," 17,826 "," 1,690 "," 15,233 ", 839 , 48 , 10 , 6 ,
CAMIÓN," 88,948 "," 69,819 "," 16,750 "," 2,001 ", 326 , 47 , 5 ,
CAMIONETA," 388,650 "," 361,895 "," 13,792 "," 11,307 "," 1,397 ", 247 , 12 ,
FURGONETA C," 39,297 "," 32,810 "," 6,023 ", 420 , 39 , 5 , -   ,
FURGONETA P," 29,703 "," 29,389 ", 197 , 113 , 1 , -   , 3 ,
JEEP," 302,228 "," 296,482 ", 66 ," 5,148 ", 480 , 51 , 1 ,
MOTOCICLETA," 431,215 "," 422,886 "," 1,843 "," 5,449 ", 878 , 62 , 97 ,
TANQUERO," 2,887 "," 1,392 ", 991 , 377 , 102 , 25 , -   ,
TRAILER," 8,429 "," 2,836 "," 5,412 ", 137 , 31 , 10 , 3 ,
VOLQUETA," 11,344 "," 6,155 "," 3,435 "," 1,045 ", 538 , 167 , 4 ,
OTRA CLASE," 6,006 "," 3,433 ", 762 ," 1,455 ", 327 , 24 , 5 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
