,,,,,,,,
"CUADRO No .-3 
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR MODELO, SEGÚN SERVICIO",,,,,,,,
,,,,,,,,ÍNDICE>>
MODELO,TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
TOTAL,"1,925,368","1,778,722","112,234","29,428","4,183",649,152,
2003 Y ANTERIORES,"494,500"," 474,260 "," 15,678 "," 3,627 ", 734 , 91 , 110 ,
2004,"47,187"," 43,111 "," 3,425 ", 482 , 158 , 11 , -   ,
2005,"65,282"," 58,772 "," 5,576 ", 751 , 178 , 5 , -   ,
2006,"80,406"," 73,949 "," 5,111 "," 1,089 ", 247 , 8 , 2 ,
2007,"88,551"," 81,807 "," 5,307 "," 1,098 ", 314 , 24 , 1 ,
2008,"90,033"," 81,628 "," 6,046 "," 2,095 ", 247 , 17 , -   ,
2009,"115,195"," 99,665 "," 10,235 "," 4,893 ", 365 , 36 , 1 ,
2010,"113,925"," 101,051 "," 10,500 "," 2,051 ", 233 , 90 , -   ,
2011,"157,338"," 138,558 "," 15,268 "," 2,942 ", 468 , 101 , 1 ,
2012,"161,345"," 147,915 "," 9,320 "," 3,390 ", 598 , 122 , -   ,
2013,"161,434"," 149,811 "," 8,951 "," 2,313 ", 306 , 53 , -   ,
2014,"159,247"," 149,189 "," 7,262 "," 2,529 ", 227 , 34 , 6 ,
2015,"167,327"," 157,356 "," 7,895 "," 1,912 ", 108 , 27 , 29 ,
2016,"23,598"," 21,650 "," 1,660 ", 256 , -   , 30 , 2 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
