,,,,,,,,,,,,,,
"CUADRO No .-4
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR PROVINCIA, SEGÚN CLASE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TOTAL," 1,925,368 "," 598,835 "," 17,826 "," 88,948 "," 388,650 "," 39,297 "," 29,703 "," 302,228 "," 431,215 "," 2,887 "," 8,429 "," 11,344 "," 6,006 ",
AZUAY," 124,069 "," 42,403 "," 1,005 "," 5,347 "," 29,649 "," 2,103 "," 1,685 "," 29,221 "," 11,156 ", 113 , 494 , 594 , 299 ,
BOLIVAR," 18,666 "," 4,215 ", 358 ," 1,395 "," 5,563 ", 182 , 168 ," 2,002 "," 4,504 ", 21 , 39 , 145 , 74 ,
CAÑAR," 34,968 "," 9,586 ", 386 ," 1,870 "," 10,260 ", 481 , 384 ," 5,127 "," 6,124 ", 70 , 240 , 354 , 86 ,
CARCHI," 21,088 "," 6,685 ", 252 ," 1,261 "," 5,003 ", 226 , 178 ," 3,566 "," 3,405 ", 34 , 265 , 137 , 76 ,
COTOPAXI," 54,356 "," 14,883 ", 602 ," 3,848 "," 16,547 ", 695 , 433 ," 7,411 "," 8,847 ", 102 , 423 , 332 , 233 ,
CHIMBORAZO," 59,638 "," 21,830 ", 791 ," 3,498 "," 16,906 "," 1,068 ", 695 ," 9,017 "," 5,179 ", 79 , 123 , 278 , 174 ,
EL ORO," 89,556 "," 19,500 ", 808 ," 4,658 "," 19,743 "," 1,235 "," 1,145 "," 9,231 "," 31,787 ", 89 , 382 , 764 , 214 ,
ESMERALDAS," 44,379 "," 8,059 ", 379 ," 2,061 "," 8,649 ", 569 , 427 ," 4,029 "," 19,537 ", 58 , 111 , 397 , 103 ,
GUAYAS," 362,857 "," 134,002 "," 2,297 "," 16,185 "," 57,713 "," 11,680 "," 9,276 "," 49,920 "," 76,164 ", 482 ," 2,341 "," 1,403 "," 1,394 ",
IMBABURA," 50,246 "," 16,929 ", 524 ," 2,423 "," 10,862 ", 932 , 527 ," 9,049 "," 8,383 ", 38 , 172 , 230 , 177 ,
LOJA," 63,407 "," 21,104 ", 734 ," 3,475 "," 16,008 ", 889 , 854 ," 9,344 "," 9,823 ", 103 , 304 , 570 , 199 ,
LOS RIOS," 111,259 "," 12,723 ", 671 ," 4,914 "," 18,506 "," 1,154 "," 1,239 "," 4,702 "," 66,267 ", 61 , 297 , 572 , 153 ,
MANABI," 152,231 "," 34,025 "," 1,509 "," 4,788 "," 34,012 "," 2,029 "," 2,263 "," 11,521 "," 59,840 ", 405 , 486 ," 1,080 ", 273 ,
MORONA SANTIAGO," 11,305 "," 2,152 ", 208 , 688 ," 3,245 ", 101 , 68 ," 1,521 "," 2,995 ", 20 , 23 , 214 , 70 ,
NAPO," 7,558 "," 1,342 ", 157 , 368 ," 1,942 ", 92 , 42 , 909 ," 2,490 ", 12 , 32 , 129 , 43 ,
PASTAZA," 9,814 "," 2,774 ", 197 , 548 ," 2,160 ", 165 , 76 ," 1,322 "," 2,305 ", 19 , 29 , 166 , 53 ,
PICHINCHA," 492,568 "," 190,325 "," 4,020 "," 19,780 "," 81,664 "," 12,096 "," 8,405 "," 122,049 "," 47,485 ", 700 ," 1,845 "," 2,511 "," 1,688 ",
TUNGURAHUA," 87,752 "," 33,371 "," 1,474 "," 5,203 "," 26,169 "," 1,816 ", 901 ," 11,701 "," 6,008 ", 145 , 273 , 431 , 260 ,
ZAMORA CHINCHIPE," 6,593 "," 1,571 ", 123 , 536 ," 2,008 ", 71 , 46 , 754 ," 1,264 ", 8 , 11 , 157 , 44 ,
GALAPAGOS," 1,541 ", 242 , 25 , 92 , 436 , 17 , 21 , 111 , 584 , 4 , -   , 6 , 3 ,
SUCUMBIOS," 22,021 "," 2,163 ", 220 ," 1,101 "," 3,409 ", 222 , 67 ," 1,058 "," 13,314 ", 51 , 97 , 238 , 81 ,
ORELLANA," 15,329 "," 1,775 ", 149 , 827 ," 2,736 ", 159 , 56 , 982 ," 8,098 ", 62 , 195 , 201 , 89 ,
SANTO DOMINGO DE LOS TSACHILAS," 61,886 "," 10,252 ", 512 ," 3,246 "," 12,080 ", 765 , 501 ," 6,272 "," 27,431 ", 134 , 170 , 360 , 163 ,
SANTA ELENA," 22,281 "," 6,924 ", 425 , 836 ," 3,380 ", 550 , 246 ," 1,409 "," 8,225 ", 77 , 77 , 75 , 57 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
