,,,,,,,,,,,,,,,,
"CUADRO No .-5
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN MODELO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
CLASE,TOTAL,MODELO,,,,,,,,,,,,,,
,,2003 Y ANTERÍORES,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
TOTAL," 1,925,368 "," 494,500 "," 47,187 "," 65,282 "," 80,406 "," 88,551 "," 90,033 "," 115,195 "," 113,925 "," 157,338 "," 161,345 "," 161,434 "," 159,247 "," 167,327 "," 23,598 ",
AUTOMÓVIL," 598,835 "," 176,311 "," 18,654 "," 28,875 "," 32,319 "," 31,583 "," 27,864 "," 35,021 "," 32,178 "," 53,443 "," 46,566 "," 44,362 "," 33,077 "," 31,966 "," 6,616 ",
AUTOBUS," 17,826 "," 5,188 ", 988 ," 1,139 "," 1,322 ", 915 , 801 , 988 , 753 ," 1,145 ", 850 , 800 ," 1,022 "," 1,438 ", 477 ,
CAMIÓN," 88,948 "," 27,456 "," 2,394 "," 3,223 "," 3,904 "," 4,912 "," 4,884 "," 5,527 "," 3,490 "," 5,850 "," 5,385 "," 5,961 "," 4,783 "," 8,692 "," 2,487 ",
CAMIONETA," 388,650 "," 171,076 "," 10,855 "," 13,410 "," 15,295 "," 17,489 "," 18,049 "," 23,168 "," 19,316 "," 23,889 "," 18,579 "," 22,166 "," 16,492 "," 16,639 "," 2,227 ",
FURGONETA C," 39,297 "," 10,173 "," 1,665 "," 1,479 "," 1,248 "," 1,338 "," 1,112 "," 1,962 "," 1,505 "," 3,390 "," 4,717 "," 4,112 "," 2,520 "," 3,323 ", 753 ,
FURGONETA P," 29,703 "," 12,190 "," 1,202 "," 1,768 "," 1,830 "," 2,070 "," 1,113 "," 1,239 ", 660 , 458 , 338 , 626 ," 2,019 "," 3,632 ", 558 ,
JEEP," 302,228 "," 73,168 "," 6,196 "," 8,513 "," 10,311 "," 14,469 "," 13,860 "," 22,072 "," 23,488 "," 29,336 "," 24,789 "," 26,142 "," 22,042 "," 23,045 "," 4,797 ",
MOTOCICLETA," 431,215 "," 8,650 "," 4,784 "," 6,303 "," 13,422 "," 14,744 "," 21,018 "," 22,722 "," 30,999 "," 38,171 "," 58,162 "," 54,887 "," 75,347 "," 76,576 "," 5,430 ",
TANQUERO," 2,887 "," 1,232 ", 52 , 83 , 96 , 113 , 124 , 175 , 138 , 173 , 172 , 166 , 135 , 212 , 16 ,
TRAILER," 8,429 "," 2,369 ", 85 , 151 , 261 , 272 , 364 , 520 , 502 , 582 , 636 , 794 , 757 , 981 , 155 ,
VOLQUETA," 11,344 "," 4,696 ", 155 , 206 , 252 , 383 , 544 ," 1,279 ", 601 , 499 , 701 , 818 , 688 , 515 , 7 ,
OTRA CLASE," 6,006 "," 1,991 ", 157 , 132 , 146 , 263 , 300 , 522 , 295 , 402 , 450 , 600 , 365 , 308 , 75 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,,,
