,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS EN EL 2015, POR MARCA, SEGÚN MODELO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO,,,,,,,,,,,,,,
,,2003 Y ANTERÍORES,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
TOTAL," 1,925,368 "," 494,500 "," 47,187 "," 65,282 "," 80,406 "," 88,551 "," 90,033 "," 115,195 "," 113,925 "," 157,338 "," 161,345 "," 161,434 "," 159,247 "," 167,327 "," 23,598 ",
CHEVROLET," 554,042 "," 151,604 "," 18,810 "," 25,154 "," 31,170 "," 29,720 "," 27,610 "," 33,138 "," 26,338 "," 45,450 "," 43,184 "," 41,043 "," 32,221 "," 40,481 "," 8,119 ",
SUZUKI," 134,968 "," 25,186 ", 679 ," 1,359 "," 3,903 "," 4,089 "," 6,718 "," 11,872 "," 12,575 "," 11,898 "," 14,018 "," 8,559 "," 11,933 "," 18,817 "," 3,362 ",
TOYOTA," 126,696 "," 54,969 "," 3,483 "," 4,330 "," 5,270 "," 6,727 "," 7,704 "," 8,119 "," 7,082 "," 5,888 "," 5,118 "," 7,274 "," 5,023 "," 5,180 ", 529 ,
HYUNDAI," 123,133 "," 19,571 "," 3,260 "," 7,231 "," 6,499 "," 7,835 "," 5,261 "," 11,834 "," 9,553 "," 14,762 "," 10,656 "," 10,665 "," 7,599 "," 6,917 "," 1,490 ",
MAZDA," 107,488 "," 36,303 "," 2,792 "," 3,991 "," 4,969 "," 7,270 "," 7,834 "," 8,158 "," 7,485 "," 6,475 "," 4,832 "," 5,341 "," 6,469 "," 4,693 ", 876 ,
NISSAN," 91,733 "," 39,103 "," 1,614 "," 2,076 "," 2,166 "," 3,032 "," 2,373 "," 4,713 "," 5,387 "," 8,087 "," 6,867 "," 6,517 "," 4,309 "," 4,538 ", 951 ,
KIA," 77,392 "," 7,733 "," 2,489 "," 2,853 "," 2,112 "," 2,673 "," 1,689 "," 3,869 "," 6,409 "," 10,612 "," 7,526 "," 13,093 "," 8,005 "," 8,014 ", 315 ,
FORD," 62,301 "," 30,677 "," 1,400 "," 1,976 "," 2,174 "," 3,182 "," 1,869 "," 2,255 "," 4,435 "," 2,037 "," 2,912 "," 4,323 "," 3,539 "," 1,470 ", 52 ,
VOLKSWAGEN," 38,262 "," 16,686 "," 1,936 "," 3,547 "," 1,689 ", 994 , 859 ," 1,930 ", 800 ," 3,687 "," 1,929 "," 1,700 "," 1,676 ", 671 , 158 ,
HINO," 36,565 "," 8,723 "," 1,131 "," 1,415 "," 1,808 "," 1,996 "," 2,489 "," 2,955 "," 2,065 "," 2,855 "," 2,498 "," 2,085 "," 2,099 "," 3,949 ", 497 ,
SHINERAY," 36,314 ", 8 , 184 , 381 ," 1,098 "," 1,424 "," 1,598 "," 1,773 "," 3,157 "," 5,948 "," 4,639 "," 2,626 "," 6,768 "," 5,635 "," 1,075 ",
HONDA," 35,284 "," 4,381 "," 1,427 ", 863 ," 1,540 "," 1,078 "," 1,387 "," 2,131 "," 1,459 "," 2,885 "," 4,436 "," 6,147 "," 4,219 "," 3,326 ", 5 ,
MITSUBISHI," 32,606 "," 20,476 ", 934 , 795 ," 1,247 "," 1,793 "," 1,877 "," 1,646 ", 620 , 984 , 532 , 341 , 640 , 570 , 151 ,
MOTOR UNO," 32,117 ", 7 , 67 , 203 , 438 ," 1,131 "," 1,091 "," 1,761 "," 2,764 "," 2,348 "," 4,711 "," 4,893 "," 5,012 "," 6,810 ", 881 ,
RENAULT," 27,835 "," 3,030 ", 906 ," 1,056 "," 1,106 "," 1,590 "," 1,521 "," 2,175 "," 1,956 "," 4,579 "," 3,830 "," 1,913 "," 2,182 "," 1,928 ", 63 ,
YAMAHA," 20,937 "," 3,539 ", 590 , 583 ," 1,789 ", 506 , 315 ," 1,340 ", 649 ," 1,818 "," 1,489 "," 2,183 "," 2,736 "," 3,388 ", 12 ,
BAJAJ," 20,426 ", 113 , 53 , 58 , -   , -   , 84 , 1 , 327 ," 1,498 "," 2,876 "," 6,860 "," 5,081 "," 3,038 ", 437 ,
DAYTONA," 20,402 ", 3 , -   , -   , -   , 191 , 407 , 491 , 489 ," 1,592 "," 3,440 "," 2,775 "," 6,760 "," 3,518 ", 736 ,
SUKIDA," 20,071 ", 31 , 84 , 69 , 16 , -   , -   , 272 , 937 ," 1,482 "," 2,047 "," 3,351 "," 4,476 "," 7,224 ", 82 ,
RANGER," 15,306 ", 119 , 308 , 196 , 644 ," 1,165 ", 104 , 659 ," 3,034 ", 355 ," 2,167 "," 1,270 "," 2,258 "," 2,742 ", 285 ,
TUNDRA," 14,799 ", 4 , -   , -   , -   , -   , -   , -   , 819 ," 1,194 "," 4,136 "," 2,859 "," 4,798 ", 989 , -   ,
FIAT," 12,673 "," 8,790 ", 338 , 625 , 899 , 417 , 259 , 95 , 108 , 67 , 69 , 593 , 169 , 241 , 3 ,
QMC," 12,646 ", 6 , 144 , 69 , 282 , 667 ," 1,120 ", 517 , 558 ," 1,706 "," 3,623 "," 1,028 "," 1,293 "," 1,633 ", -   ,
MERCEDES BENZ," 11,260 "," 6,728 ", 516 , 722 , 776 , 437 , 253 , 219 , 272 , 363 , 238 , 233 , 210 , 265 , 28 ,
DUKARE," 10,394 ", 3 , -   , -   , -   , -   , -   , 371 , 942 , 720 ," 1,461 "," 1,819 "," 1,911 "," 2,593 ", 574 ,
GREAT WALL," 9,373 ", 140 , 26 , -   , -   , 11 , 32 , 23 , 243 , 878 ," 1,699 "," 1,861 "," 1,273 "," 2,403 ", 784 ,
DAEWOO," 9,306 "," 9,269 ", 1 , -   , 6 , -   , -   , -   , -   , -   , -   , 9 , 9 , 12 , -   ,
SKODA," 9,305 "," 3,843 ", 514 , 279 , 590 , 557 , 680 , 508 , 503 , 646 , 391 , 393 , 306 , 94 , 1 ,
DAIHATSU," 8,936 "," 6,146 ", 212 , 199 , 305 , 808 , 708 , 423 , 6 , 23 , 33 , 15 , 22 , 36 , -   ,
TRAXX," 8,854 ", -   , 53 , -   , 201 , 918 ," 1,792 "," 1,030 "," 2,551 ", 705 , 979 , 277 , 348 , -   , -   ,
LONCIN," 8,636 ", 56 , 85 , 106 , 256 , 269 , 298 , 215 , 340 , 807 ," 1,324 "," 1,519 "," 1,787 "," 1,527 ", 47 ,
THUNDER," 8,235 ", -   , -   , -   , -   , 14 , 73 , 92 , 171 , 728 ," 1,544 "," 1,274 "," 2,840 "," 1,409 ", 90 ,
PEUGEOT," 7,909 "," 1,872 ", 639 ," 1,032 "," 1,262 ", 841 , 607 , 590 , 123 , 253 , 223 , 147 , 141 , 179 , -   ,
LADA," 7,646 "," 6,326 ", 367 , 116 , 643 , 194 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
TUKO," 6,628 ", 7 , -   , -   , -   , -   , -   , -   , -   , -   , 207 , 633 ," 3,328 "," 2,380 ", 73 ,
DAYANG," 5,404 ", 15 , 13 , 31 , 85 , 123 , 264 , 176 , 459 , 885 , 227 ," 1,409 ", 572 ," 1,145 ", -   ,
PEGASSO," 5,367 ", 24 , -   , -   , -   , 57 , 939 , 771 , 608 , 349 ," 1,351 ", 176 , 673 , 419 , -   ,
