,,,,,,,,,,,,,,,,
"CUADRO No .-7
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR PROVINCIA, SEGÚN MODELO ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL,MODELO,,,,,,,,,,,,,,
,,2003 Y ANTERÍORES,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
TOTAL,"1,925,368","494,500","47,187","65,282","80,406","88,551","90,033","115,195","113,925","157,338","161,345","161,434","159,247","167,327","23,598",
AZUAY," 124,069 "," 46,125 "," 4,365 "," 5,425 "," 6,108 "," 6,516 "," 5,527 "," 6,999 "," 6,168 "," 7,998 "," 6,623 "," 6,776 "," 6,227 "," 7,889 "," 1,323 ",
BOLIVAR," 18,666 "," 5,354 ", 621 , 750 , 844 , 899 , 933 ," 1,316 "," 1,101 "," 1,640 "," 1,378 "," 1,128 "," 1,124 "," 1,361 ", 217 ,
CAÑAR," 34,968 "," 14,216 "," 1,145 "," 1,376 "," 1,520 "," 1,686 "," 1,455 "," 1,760 "," 1,572 "," 1,955 "," 1,914 "," 1,837 "," 1,930 "," 2,277 ", 325 ,
CARCHI," 21,088 "," 8,167 ", 587 , 819 , 936 ," 1,003 "," 1,070 "," 1,235 "," 1,096 "," 1,392 "," 1,424 "," 1,145 "," 1,029 "," 1,042 ", 143 ,
COTOPAXI," 54,356 "," 21,357 "," 1,765 "," 2,118 "," 2,593 "," 2,656 "," 2,434 "," 2,946 "," 2,791 "," 3,647 "," 3,076 "," 2,784 "," 2,946 "," 2,850 ", 393 ,
CHIMBORAZO," 59,638 "," 19,224 "," 1,633 "," 2,262 "," 2,550 "," 2,763 "," 2,611 "," 3,397 "," 3,064 "," 4,189 "," 4,061 "," 5,594 "," 4,224 "," 3,462 ", 604 ,
EL ORO," 89,556 "," 21,075 "," 2,280 "," 3,027 "," 4,056 "," 4,484 "," 4,519 "," 5,553 "," 5,730 "," 7,607 "," 8,847 "," 6,344 "," 7,278 "," 7,884 ", 872 ,
ESMERALDAS," 44,379 "," 9,937 ", 816 ," 1,168 "," 1,559 "," 1,766 "," 2,064 "," 2,510 "," 2,726 "," 3,866 "," 4,204 "," 3,864 "," 4,544 "," 4,904 ", 451 ,
GUAYAS," 362,857 "," 81,186 "," 7,329 "," 11,312 "," 14,682 "," 15,945 "," 15,927 "," 20,622 "," 20,595 "," 31,333 "," 33,381 "," 36,639 "," 34,826 "," 34,494 "," 4,586 ",
IMBABURA," 50,246 "," 14,084 "," 1,476 "," 2,002 "," 2,509 "," 2,632 "," 2,528 "," 3,066 "," 3,170 "," 4,164 "," 3,958 "," 3,152 "," 3,193 "," 3,848 ", 464 ,
LOJA," 63,407 "," 18,224 "," 1,845 "," 2,692 "," 2,920 "," 3,281 "," 3,051 "," 4,017 "," 3,703 "," 5,079 "," 4,677 "," 4,247 "," 3,682 "," 5,192 ", 797 ,
LOS RIOS," 111,259 "," 24,456 "," 1,821 "," 2,571 "," 4,170 "," 4,337 "," 5,629 "," 6,456 "," 6,967 "," 9,729 "," 10,561 "," 9,107 "," 11,320 "," 12,760 "," 1,375 ",
MANABI," 152,231 "," 50,573 "," 2,813 "," 4,000 "," 5,498 "," 6,294 "," 7,128 "," 8,225 "," 8,712 "," 10,646 "," 12,632 "," 10,443 "," 12,451 "," 11,564 "," 1,252 ",
MORONA SANTIAGO," 11,305 "," 3,111 ", 335 , 372 , 498 , 482 , 503 , 823 , 704 , 946 , 906 , 819 , 818 , 893 , 95 ,
NAPO," 7,558 "," 1,389 ", 139 , 200 , 210 , 292 , 313 , 417 , 444 , 716 , 730 , 660 , 892 ," 1,026 ", 130 ,
PASTAZA," 9,814 "," 2,346 ", 207 , 321 , 414 , 412 , 437 , 648 , 654 , 850 , 879 , 784 , 835 , 900 , 127 ,
PICHINCHA," 492,568 "," 95,053 "," 12,635 "," 18,026 "," 20,883 "," 23,985 "," 23,726 "," 32,455 "," 31,846 "," 44,274 "," 43,676 "," 48,625 "," 43,517 "," 45,612 "," 8,255 ",
TUNGURAHUA," 87,752 "," 31,666 "," 2,839 "," 3,585 "," 3,610 "," 4,036 "," 3,937 "," 5,074 "," 4,649 "," 6,538 "," 5,715 "," 4,750 "," 4,402 "," 6,039 ", 912 ,
ZAMORA CHINCHIPE," 6,593 "," 1,512 ", 171 , 200 , 253 , 339 , 319 , 489 , 442 , 673 , 574 , 497 , 459 , 596 , 69 ,
GALAPAGOS," 1,541 ", 180 , 53 , 73 , 86 , 91 , 77 , 138 , 98 , 102 , 124 , 124 , 132 , 227 , 36 ,
SUCUMBIOS," 22,021 "," 2,688 ", 350 , 426 , 962 , 703 , 922 ," 1,464 "," 1,496 "," 2,207 "," 2,551 "," 3,396 "," 2,772 "," 1,941 ", 143 ,
ORELLANA," 15,329 "," 1,722 ", 254 , 263 , 601 , 535 , 589 ," 1,029 "," 1,039 "," 1,495 "," 1,674 "," 2,071 "," 2,173 "," 1,755 ", 129 ,
SANTO DOMINGO DE LOS TSACHILAS," 61,886 "," 15,624 "," 1,326 "," 1,734 "," 2,313 "," 2,545 "," 3,277 "," 3,467 "," 3,853 "," 4,421 "," 5,609 "," 4,759 "," 6,226 "," 6,120 ", 612 ,
SANTA ELENA," 22,281 "," 5,231 ", 382 , 560 , 631 , 869 ," 1,057 "," 1,089 "," 1,305 "," 1,871 "," 2,171 "," 1,889 "," 2,247 "," 2,691 ", 288 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,,,
