,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TOTAL," 1,925,368 "," 598,835 "," 17,826 "," 88,948 "," 388,650 "," 39,297 "," 29,703 "," 302,228 "," 431,215 "," 2,887 "," 8,429 "," 11,344 "," 6,006 ",
CHEVROLET," 554,042 "," 263,986 "," 2,253 "," 29,082 "," 136,449 "," 8,570 "," 10,282 "," 101,006 ", -   , 359 , 317 , 933 , 805 ,
SUZUKI," 134,968 "," 22,059 ", -   , -   , -   , 456 , 498 ," 35,316 "," 76,639 ", -   , -   , -   , -   ,
TOYOTA," 126,696 "," 25,823 ", 135 ," 1,315 "," 71,271 "," 2,123 "," 1,547 "," 24,271 ", -   , 21 , 2 , 19 , 169 ,
HYUNDAI," 123,133 "," 63,563 ", 894 ," 6,198 ", -   ," 9,338 "," 6,067 "," 36,363 ", 71 , 78 , 63 , 133 , 365 ,
MAZDA," 107,488 "," 17,160 ", 2 , 52 ," 87,041 ", 498 ," 1,163 "," 1,521 ", -   , -   , -   , 1 , 50 ,
NISSAN," 91,733 "," 40,066 ", 83 ," 1,659 "," 33,314 "," 1,053 ", 697 ," 13,620 ", -   , 116 , 61 , 862 , 202 ,
KIA," 77,392 "," 36,659 ", 41 ," 2,748 ", 923 ," 7,037 "," 2,243 "," 27,604 ", -   , 5 , -   , 12 , 120 ,
FORD," 62,301 "," 6,008 ", 104 ," 3,743 "," 29,719 ", 725 ," 1,497 "," 18,784 ", -   , 339 , 122 , 789 , 471 ,
