,,,,,,,,,,
"CUADR0 No.-31
TRANSPORTE AÉREO INTERNACIONAL NO REGULAR
CARGA, EN TM; ENTRADA Y SALIDA POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL Y LATACUNGA, SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,ÍNDICE>>,
,,,,,,,,,,
"CIUDADES DE
 ORIGEN Y DESTINO",CARGA,,,,,,,,,
,E N T R A D A ,,,,S A L I D A ,,,,,
,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,,
TOTAL," 15,307.83 "," 12,831.30 "," 2,286.22 ", 190.31 ," 115,593.88 "," 108,050.43 ", 365.48 ," 7,177.96 ",,
MIAMI," 6,580.93 "," 4,363.45 "," 2,047.16 ", 170.32 ," 68,919.24 "," 62,799.80 ", 101.55 ," 6,017.89 ",,
CARACAS, 4.55 , -   , 4.55 , -   , 34.51 , -   , 34.51 , -   ,,
LUXEMBURGO, -   , -   , -   , -   , 72.45 , -   , -   , 72.45 ,,
ÁMSTERDAM, -   , -   , -   , -   ," 26,009.22 "," 25,765.17 ", -   , 244.05 ,,
LIMA, 610.91 , 581.40 , 11.74 , 17.77 , 804.67 , -   , 27.81 , 776.87 ,,
BARRANQUILLA, 378.11 , 378.11 , -   , -   , -   , -   , -   , -   ,,
BOGOTÁ," 5,106.31 "," 5,105.16 ", -   , 1.15 ," 10,423.02 "," 10,199.19 ", 157.14 , 66.70 ,,
BUENOS AIRES, 0.77 , 0.77 , -   , -   , -   , -   , -   , -   ,,
CALI, 108.05 , 108.05 , -   , -   , 133.48 , 133.48 , -   , -   ,,
CIUDAD DEL ESTE, 133.27 , -   , 133.27 , -   , -   , -   , -   , -   ,,
GUADALAJARA, 18.98 , 18.98 , -   , -   , -   , -   , -   , -   ,,
HABANA, 7.00 , 7.00 , -   , -   , 190.12 , 190.12 , -   , -   ,,
MANAOS, 248.78 , 248.78 , -   , -   , 49.15 , 49.15 , -   , -   ,,
MEDELLIN, 75.65 , 75.65 , -   , -   ," 1,043.03 "," 1,043.03 ", -   , -   ,,
MÉXICO, 365.47 , 365.47 , -   , -   ," 1,604.96 "," 1,571.92 ", 33.04 , -   ,,
PANAMÁ, 137.17 , 131.63 , 5.54 , -   , 204.28 , 200.10 , 4.18 , -   ,,
VIRU VIRU, 0.02 , 0.02 , -   , -   , -   , -   , -   , -   ,,
SANTIAGO, 320.10 , 319.66 , 0.31 , 0.14 , 45.90 , 45.90 , -   , -   ,,
VIRACOPOS, 839.49 , 820.36 , 18.19 , 0.94 , -   , -   , -   , -   ,,
AGUADILLA, 99.43 , 99.43 , -   , -   , -   , -   , -   , -   ,,
ACAPULCO, -   , -   , -   , -   , 69.86 , 69.86 , -   , -   ,,
CURACAO, -   , -   , -   , -   , 43.14 , 43.14 , -   , -   ,,
TUCUMÁN, 65.46 , -   , 65.46 , -   , -   , -   , -   , -   ,,
LOS ANGELES, -   , -   , -   , -   ," 5,911.80 "," 5,909.26 ", 2.54 , -   ,,
NEW YORK, -   , -   , -   , -   , 1.53 , -   , 1.53 , -   ,,
PUNTA ARENAS, 147.32 , 147.32 , -   , -   , -   , -   , -   , -   ,,
VALENCIA (VENEZUELA), 10.49 , 10.49 , -   , -   , -   , -   , -   , -   ,,
SAN JUAN, 43.33 , 43.33 , -   , -   , 3.19 , -   , 3.19 , -   ,,
ASUNCIÓN, 6.24 , 6.24 , -   , -   , -   , -   , -   , -   ,,
LONDON S., -   , -   , -   , -   , 29.56 , 29.56 , -   , -   ,,
TUCSON, -   , -   , -   , -   , 0.78 , 0.78 , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,
,,,,,,,,,,
