,,,,,,,,
"CUADRO No.-32
TRANSPORTE AÉREO INTERNACIONAL 
PASAJEROS EN TRÁNSITO POR LOS AEROPUERTOS
DE QUITO Y GUAYAQUIL, SEGÚN MES",,,,,,,,
,,,,ÍNDICE>>,,,,
MESES,PASAJEROS EN TRÁNSITO,,,,,,,
,TOTAL,QUITO,GUAYAQUIL,,,,,
 TOTAL," 88,316 "," 13,571 "," 74,745 ",,,,,
 ENERO," 10,067 "," 3,276 "," 6,791 ",,,,,
 FEBRERO," 5,252 ", 24 ," 5,228 ",,,,,
 MARZO," 7,297 ", 4 ," 7,293 ",,,,,
 ABRIL," 7,119 ", 31 ," 7,088 ",,,,,
 MAYO," 11,835 "," 3,298 "," 8,537 ",,,,,
 JUNIO," 7,024 ", 302 ," 6,722 ",,,,,
 JULIO," 10,407 "," 3,313 "," 7,094 ",,,,,
 AGOSTO," 10,867 "," 3,286 "," 7,581 ",,,,,
 SEPTIEMBRE," 6,477 ", 8 ," 6,469 ",,,,,
 OCTUBRE, 14 , 14 , -   ,,,,,
 NOVIEMBRE," 6,039 ", 2 ," 6,037 ",,,,,
 DICIEMBRE," 5,918 ", 13 ," 5,905 ",,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,
