,,,,,,,,,,
"CUADRO No.-34
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE PASAJEROS
ENTRADOS Y SALIDOS POR EL AEROPUERTO JOSÉ JOAQUÍN OLMEDO",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
PASAJEROS,,,,,,,,,,
E N T R A D O S,,,,S A L I D O S,,,,,,
       R  U  T  A,,,%,        R  U  T  A,,,%,,,
PANAMÁ, - , GUAYAQUIL ,22.4%, GUAYAQUIL , - ,PANAMÁ,22.0%,,,
NEW YORK, - , GUAYAQUIL ,15.4%, GUAYAQUIL , - ,NEW YORK,14.9%,,,
MIAMI, - , GUAYAQUIL ,13.8%, GUAYAQUIL , - ,MIAMI,13.6%,,,
BOGOTÁ, - , GUAYAQUIL ,11.6%, GUAYAQUIL , - ,BOGOTÁ,11.0%,,,
LIMA, - , GUAYAQUIL ,10.4%, GUAYAQUIL , - ,LIMA,10.2%,,,
MADRID, - , GUAYAQUIL ,5.8%, GUAYAQUIL , - ,MADRID,7.5%,,,
SANTIAGO, - , GUAYAQUIL ,5.3%, GUAYAQUIL , - ,ÁMSTERDAM,6.2%,,,
ÁMSTERDAM, - , GUAYAQUIL ,5.0%, GUAYAQUIL , - ,SANTIAGO,5.6%,,,
BARCELONA (VENEZUELA), - , GUAYAQUIL ,3.1%, GUAYAQUIL , - ,EL SALVADOR,2.9%,,,
EL SALVADOR, - , GUAYAQUIL ,2.7%, GUAYAQUIL , - ,FORT LAUDERDALE,2.3%,,,
FORT LAUDERDALE, - , GUAYAQUIL ,2.4%, GUAYAQUIL , - ,CALI,1.8%,,,
CALI, - , GUAYAQUIL ,1.9%, GUAYAQUIL , - ,BARCELONA (VENEZUELA),1.6%,,,
LA PAZ, - , GUAYAQUIL ,0.2%, GUAYAQUIL , - ,LA PAZ,0.1%,,,
 - , - , - , - , GUAYAQUIL , - ,CARACAS,0.0%,,,
 - , - , - , - , GUAYAQUIL , - ,ARUBA,0.0%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,
