,,,,,,,,,,,,,,,,,,,,,,,,,
"CUADRO No.-39
TRÁFICO AÉREO DOMÉSTICO NO REGULAR DE
PASAJEROS ENTRADOS Y SALIDOS SEGÚN AEROPUERTOS NACIONALES ",,,,,,,,,,,,,,,,,,,,,,,,,ÍNDICE>>
,,,,,,,,,,,,,,,,,,,,,,,,,
RUTAS,TOTAL,BAHÍA,BALTRA,COCA,CUENCA,CURACAY,ESMERALDAS,GUAYAQUIL,ISABELA,LAGO AGRIO,LATACUNGA,LOJA,MACAS,MANTA,MONTALVO,QUITO,PASTAZA,SALINAS,SAN CRISTÓBAL,SANTA ROSA,SANTO DOMINGO,SARAYACU,TAISHA,OTROS,
TOTAL," 38,190 ", 37 ," 2,583 ", 5 , 356 , 22 , 40 ," 1,779 "," 5,278 ", 3 , 68 , 126 , 265 ," 2,851 ", 857 , 240 , 124 , 82 ," 2,303 ", 740 , 13 , 824 ," 5,933 "," 13,661 ",
BAHÍA, 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 ,
BALTRA," 2,480 ", -   , -   , -   , -   , -   , -   , 12 ," 2,144 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 324 , -   , -   , -   , -   , -   ,
COCA, 104 , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 ,
CUENCA, 544 , -   , -   , -   , -   , -   , -   , 216 , -   , -   , -   , -   , 222 , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , 100 ,
CURACAY, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,
ESMERALDAS, 80 , -   , -   , -   , -   , -   , -   , 67 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 ,
