,,,,,,,,,,,,,,
"CUADRO No.-40
TRÁFICO AÉREO DOMÉSTICO REGULAR DE
CARGA ENTRADA Y SALIDA, SEGÚN AEROPUERTOS NACIONALES ",,,,,,,,,,,,,,ÍNDICE>>
,,,,,,,,,,,,,,
RUTAS, TOTAL , BALTRA , COCA , CUENCA , ESMERALDAS , GUAYAQUIL , LAGO AGRIO , LATACUNGA , LOJA , MANTA , QUITO , SAN CRISTÓBAL , SANTA ROSA ,
TOTAL," 11,319.60 "," 4,329.74 ", 51.98 , 95.61 , 16.05 ," 2,922.30 ", 31.13 , 0.24 , 65.84 , 139.36 ," 1,981.41 "," 1,665.09 ", 20.83 ,
BALTRA, 810.64 , -   , -   , -   , -   , 382.11 , -   , -   , -   , -   , 428.52 , -   , -   ,
COCA, 31.79 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.79 , -   , -   ,
CUENCA, 116.88 , -   , -   , -   , -   , 19.14 , -   , -   , -   , -   , 97.75 , -   , -   ,
ESMERALDAS, 8.59 , -   , -   , -   , -   , 1.39 , -   , -   , -   , -   , 7.20 , -   , -   ,
GUAYAQUIL," 4,313.05 "," 2,221.07 ", -   , 8.04 , 0.99 , -   , -   , 0.24 , 1.76 , -   ," 1,108.82 ", 972.13 , -   ,
LAGO AGRIO, 25.18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25.18 , -   , -   ,
LATACUNGA, 0.65 , -   , -   , -   , -   , 0.65 , -   , -   , -   , -   , -   , -   , -   ,
LOJA, 35.58 , -   , -   , -   , -   , 2.26 , -   , -   , -   , -   , 33.33 , -   , -   ,
MANTA, 63.11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 63.11 , -   , -   ,
QUITO," 5,476.41 "," 2,108.67 ", 51.98 , 87.57 , 15.06 ," 2,264.76 ", 31.13 , -   , 64.09 , 139.36 , -   , 692.96 , 20.83 ,
SAN CRISTÓBAL, 403.33 , -   , -   , -   , -   , 251.99 , -   , -   , -   , -   , 151.34 , -   , -   ,
SANTA ROSA, 34.38 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 34.38 , -   , -   ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
