,,,,,,,,,,,,,,,,,,,,,,
"CUADRO No.-41
TRÁFICO AÉREO DOMÉSTICO NO REGULAR DE
CARGA ENTRADA Y SALIDA, SEGÚN AEROPUERTOS NACIONALES ",,,,,,,,,,,,,,,,,,,,,,ÍNDICE>>
,,,,,,,,,,,,,,,,,,,,,,
RUTAS,TOTAL,BAHÍA,BALTRA,CUENCA,CURACAY,ESMERALDAS,GUAYAQUIL,ISABELA,MACAS,MANTA,MONTALVO,QUITO,PASTAZA,SALINAS,SAN CRISTÓBAL,SANTA ROSA,SANTO DOMINGO,SARAYACU,TAISHA,OTROS,VILLANO,
TOTAL, 888.31 , 0.04 , 0.10 , 6.08 , 0.58 , 0.11 , 10.56 , 3.57 , 0.72 , 67.27 , 11.40 , 2.60 , 1.62 , 0.37 , 0.10 , 1.11 , 0.04 , 13.89 , 361.60 , 406.36 , 0.17 ,
BAHÍA, 0.04 , -   , -   , -   , -   , -   , 0.04 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
BALTRA, 0.89 , -   , -   , -   , -   , -   , 0.05 , 0.74 , -   , -   , -   , -   , -   , -   , 0.10 , -   , -   , -   , -   , -   , -   ,
COCA, 1.30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.30 , -   ,
CUENCA, 19.15 , -   , -   , -   , -   , -   , 2.27 , -   , 0.55 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16.33 , -   ,
ESMERALDAS, 0.08 , -   , -   , -   , -   , -   , 0.08 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
GUAYAQUIL, 7.17 , 0.04 , -   , -   , -   , 0.11 , -   , -   , -   , 5.46 , -   , -   , -   , 0.08 , -   , 1.11 , 0.04 , -   , -   , 0.33 , -   ,
LATACUNGA, 5.54 , -   , -   , -   , -   , -   , 2.99 , -   , -   , -   , -   , 2.55 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
LOJA, 0.29 , -   , -   , -   , -   , -   , 0.29 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
MACAS, 544.67 , -   , -   , 6.08 , -   , -   , -   , -   , -   , -   , -   , -   , 1.62 , -   , -   , -   , -   , -   , 353.90 , 183.06 , -   ,
MANTA, 2.68 , -   , -   , -   , -   , -   , 2.36 , -   , -   , -   , -   , -   , -   , 0.29 , -   , -   , -   , -   , -   , 0.02 , -   ,
QUITO, 61.81 , -   , -   , -   , -   , -   , -   , -   , -   , 61.81 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
PASTAZA, 216.30 , -   , -   , -   , 0.58 , -   , -   , -   , 0.18 , -   , 11.40 , -   , -   , -   , -   , -   , -   , 13.89 , 7.70 , 182.38 , 0.17 ,
SALINAS, 1.58 , -   , -   , -   , -   , -   , 0.84 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.74 , -   ,
SAN CRISTÓBAL, 2.93 , -   , 0.10 , -   , -   , -   , -   , 2.83 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SANTA ROSA, 1.76 , -   , -   , -   , -   , -   , 1.63 , -   , -   , -   , -   , 0.04 , -   , -   , -   , -   , -   , -   , -   , 0.09 , -   ,
TENA, 22.10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22.10 , -   ,
