,,,,,,,,,,,,,,
"CUADRO No.- 15
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN PROVINCIAS",,,,,,,,,,,,,,ÍNDICE>>
PROVINCIAS,TOTAL,MESES,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
TOTAL,"30,269","3,044","2,679","2,513","2,453","2,425","2,359","2,559","2,396","2,165","2,451","2,399","2,826",
AZUAY,"1,311",123,110,102,98,127,118,94,104,93,91,129,122,
BOLÍVAR,193, 14 , 21 , 18 , 10 , 22 , 16 , 15 ,14,14,23,15,11,
CAÑAR,218, 32 , 25 , 20 , 19 , 23 , 17 , 16 ,10,16,16,11,13,
CARCHI,131, 10 , 10 , 10 , 14 , 16 , 11 , 7 ,15,9,7,13,9,
COTOPAXI,427, 33 , 37 , 48 , 35 , 18 , 15 , 29 ,41,38,49,39,45,
CHIMBORAZO,743, 65 , 71 , 44 , 74 , 54 , 70 , 65 ,58,74,51,49,68,
EL ORO,828, 88 , 68 , 63 , 49 , 64 , 68 , 71 ,83,47,67,69,91,
ESMERALDAS,293, 43 , 42 , 26 , 14 , 29 , 16 , 12 ,22,17,20,20,32,
GUAYAS,"7,899", 593 , 511 , 553 , 532 , 625 , 695 , 778 ,778, 586 ,733,703,812,
IMBABURA,"1,536", 129 , 127 , 113 , 112 , 111 , 117 , 135 ,105,123,129,146,189,
LOJA,560, 47 , 55 , 43 , 58 , 45 , 49 , 49 ,42,42,41,39,50,
LOS RÍOS,"1,036", 109 , 119 , 110 , 80 , 117 , 91 , 83 ,66,53,58,65,85,
MANABÍ,"1,062", 126 , 74 , 56 , 47 , 68 , 111 , 95 ,109,77,110,94,95,
MORONA SANTIAGO,156, 8 , 10 , 13 , 11 , 13 , 17 , 15 ,14,15,12,11,17,
NAPO,115, 14 , 16 , 11 , 8 , 12 , 8 , 7 ,10,6,7,9,7,
PASTAZA,68, 7 , 3 , 15 , 8 , 11 , 2 , 4 ,7,4,2,3,2,
PICHINCHA,"10,777"," 1,307 "," 1,063 "," 1,026 "," 1,025 ", 808 , 693 , 801 ,722,797,808,780,947,
TUNGURAHUA,"1,439", 147 , 160 , 137 , 147 , 143 , 113 , 126 ,95,71,112,81,107,
ZAMORA CHINCHIPE,101, 8 , 12 , 7 , 9 , 12 , 4 , 9 ,8,7,10,7,8,
GALÁPAGOS,4, -   , 1 , -   , -   , 1 , 1 , 1 ,0,0,0,0,0,
SUCUMBÍOS,72, 14 , 23 , 4 , 6 , 3 , 2 , 5 ,9,4,1,1,0,
ORELLANA,44, 2 , 9 , 5 , 11 , 1 , 7 , 1 ,1,2,2,3,0,
SANTO DOMINGO DE LOS TSÁCHILAS,792, 86 , 72 , 68 , 62 , 64 , 83 , 70 ,38,46,65,69,69,
SANTA ELENA,464, 39 , 40 , 21 , 24 , 38 , 35 , 71 ,45,24,37,43,47,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
