,,,,,,,,,,,,,,
"CUADRO No.- 16 
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR CLASE, SEGÚN PROVINCIA",,,,,,,,,,,,,,
,,,,,,,,,,ÍNDICE>>,,,,
PROVINCIAS,TOTAL,CLASE DE ACCIDENTES,,,,,,,,,,,,
,TOTAL,ATROPELLOS,CAÍDA PASAJEROS,CHOQUES,ESTRELLAMIENTOS,ROZAMIENTOS,VOLCAMIENTOS,PÉRDIDA DE PISTA,OTROS,,,,,
TOTAL,"30,269","5,075",834,"13,745","4,017","2,051",763,"3,273",511,,,,,
AZUAY,"1,311",191,13,591,155,47,24,272,18,,,,,
BOLÍVAR,193,29,2,73,27,3,17,39,3,,,,,
CAÑAR,218,26,0,128,28,1,9,26,0,,,,,
CARCHI,131,29,0,51,23,4,7,17,0,,,,,
COTOPAXI,427,60,7,194,101,6,21,38,0,,,,,
CHIMBORAZO,743,103,8,392,138,22,15,65,0,,,,,
EL ORO,828,92,11,462,69,36,19,126,13,,,,,
ESMERALDAS,293,36,3,170,25,6,3,43,7,,,,,
GUAYAS,"7,899","1,457",296,"3,611",879,592,124,822,118,,,,,
IMBABURA,"1,536",178,54,751,174,200,31,109,39,,,,,
LOJA,560,56,4,273,140,14,39,24,10,,,,,
LOS RÍOS,"1,036",147,27,521,85,56,32,151,17,,,,,
MANABÍ,"1,062",124,8,482,87,40,29,190,102,,,,,
MORONA SANTIAGO,156,22,0,81,20,3,8,22,0,,,,,
NAPO,115,13,0,40,19,1,9,33,0,,,,,
PASTAZA,68,7,0,40,9,1,3,7,1,,,,,
PICHINCHA,"10,777","2,005",319,"4,482","1,692",881,304,952,142,,,,,
TUNGURAHUA,"1,439",266,32,679,236,64,43,88,31,,,,,
ZAMORA CHINCHIPE,101,13,1,46,17,3,4,17,0,,,,,
GALÁPAGOS,4,0,0,3,0,0,0,0,1,,,,,
SUCUMBÍOS,72,13,2,34,5,1,1,16,0,,,,,
ORELLANA,44,13,0,21,2,0,2,6,0,,,,,
SANTO DOMINGO DE LOS TSÁCHILAS,792,121,34,371,59,45,15,139,8,,,,,
SANTA ELENA,464,74,13,249,27,25,4,71,1,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,
