,,,,,,,,,,,,,,
"CUADRO No.- 17
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN CLASE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
CLASE DE ACCIDENTES,TOTAL,MESES ,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
TOTAL,"30,269","3,044","2,679","2,513","2,453","2,425","2,359","2,559","2,396","2,165","2,451","2,399","2,826",
ATROPELLOS,"5,075", 453 , 424 , 439 , 410 , 388 , 429 , 401 , 406 , 361 , 451 , 428 , 485 ,
CAÍDA PASAJEROS,834, 56 , 61 , 78 , 59 , 70 , 74 , 75 , 78 , 71 , 53 , 58 , 101 ,
CHOQUES,"13,745"," 1,450 "," 1,240 "," 1,154 "," 1,136 "," 1,173 "," 1,038 "," 1,179 "," 1,052 ", 929 ," 1,086 "," 1,055 "," 1,253 ",
ESTRELLAMIENTOS,"4,017", 429 , 351 , 326 , 313 , 320 , 299 , 338 , 325 , 293 , 315 , 326 , 382 ,
ROZAMIENTOS,"2,051", 168 , 186 , 141 , 171 , 154 , 169 , 184 , 159 , 165 , 182 , 200 , 172 ,
VOLCAMIENTOS,763, 106 , 66 , 65 , 68 , 61 , 58 , 62 , 65 , 65 , 56 , 38 , 53 ,
PÉRDIDA DE PISTA,"3,273", 339 , 304 , 257 , 262 , 221 , 250 , 273 , 267 , 244 , 263 , 260 , 333 ,
OTROS,511, 43 , 47 , 53 , 34 , 38 , 42 , 47 , 44 , 37 , 45 , 34 , 47 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
