,,,,,,,,,,,,,
"CUADRO No.- 18
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR CAUSA, SEGÚN PROVINCIA",,,,,,,,,,,,ÍNDICE>>,
,,,,,,,,,,,,,
PROVINCIAS,TOTAL,CAUSAS DEL ACCIDENTE ,,,,,,,,,,,
,,EMBRIAGUEZ O               DROGA,MAL REBASAMIENTO E INVADIR CARRIL,EXCESO VELOCIDAD,IMPERICIA E IMPRUDENCIA DEL CONDUCTOR,IMPRUDENCIA  DEL PEATÓN,DAÑOS MECÁNICOS,NO RESPETA LAS SEÑALES DE TRÁNSITO,FACTORES CLIMÁTICOS,MAL ESTADO DE LA VÍA,OTRAS CAUSAS,,
TOTAL,"30,269","2,164","2,268","3,755","15,709","1,173",229,"4,054",174,241,502,,
AZUAY," 1,311 ", 139 , 88 , 67 , 725 , 49 , 7 , 179 , 4 , 23 , 30 ,,
BOLÍVAR, 193 , 6 , 9 , 8 , 150 , 3 , -   , 6 , 4 , 5 , 2 ,,
CAÑAR, 218 , 26 , 12 , 22 , 132 , 8 , 4 , 7 , -   , 3 , 4 ,,
CARCHI, 131 , 29 , 3 , 40 , 41 , 8 , 3 , 5 , 1 , 1 , -   ,,
COTOPAXI, 427 , 67 , 16 , 2 , 276 , 26 , 8 , 19 , 1 , 2 , 10 ,,
CHIMBORAZO, 743 , 38 , 18 , -   , 597 , 26 , 3 , 50 , 3 , 1 , 7 ,,
EL ORO, 828 , 53 , 35 , 47 , 607 , 12 , 7 , 49 , 4 , 2 , 12 ,,
ESMERALDAS, 293 , 22 , 14 , 30 , 183 , 11 , 4 , 7 , 1 , 8 , 13 ,,
GUAYAS," 7,899 ", 391 , 706 ," 1,783 "," 3,391 ", 129 , 23 ," 1,378 ", 1 , 23 , 74 ,,
IMBABURA," 1,536 ", 28 , 17 , 77 , 977 , 37 , 7 , 371 , 1 , 9 , 12 ,,
LOJA, 560 , 137 , 39 , 119 , 108 , 27 , 25 , 70 , 8 , 7 , 20 ,,
LOS RÍOS," 1,036 ", 18 , 56 , 47 , 807 , 29 , 5 , 50 , 5 , 2 , 17 ,,
MANABÍ," 1,062 ", 51 , 47 , 114 , 514 , 23 , 17 , 215 , 10 , 36 , 35 ,,
MORONA SANTIAGO, 156 , 19 , 10 , 16 , 80 , 13 , 2 , 7 , 6 , 2 , 1 ,,
NAPO, 115 , 12 , 6 , 22 , 55 , 7 , 2 , 3 , 3 , 4 , 1 ,,
PASTAZA, 68 , 12 , 2 , 4 , 32 , 1 , -   , 7 , 7 , 2 , 1 ,,
PICHINCHA," 10,777 ", 722 ," 1,051 "," 1,181 "," 5,648 ", 589 , 48 ," 1,222 ", 67 , 52 , 197 ,,
TUNGURAHUA," 1,439 ", 327 , 59 , 128 , 434 , 109 , 50 , 241 , 24 , 43 , 24 ,,
ZAMORA CHINCHIPE, 101 , 19 , 3 , 6 , 46 , 5 , 1 , 5 , 6 , 2 , 8 ,,
GALÁPAGOS, 4 , 2 , -   , -   , 1 , -   , -   , -   , -   , -   , 1 ,,
SUCUMBÍOS, 72 , 4 , 2 , 9 , 46 , 3 , 1 , 3 , -   , 3 , 1 ,,
ORELLANA, 44 , 6 , 2 , -   , 29 , 2 , -   , 1 , 2 , 1 , 1 ,,
SANTO DOMINGO DE LOS TSÁCHILAS, 792 , 32 , 51 , 30 , 544 , 35 , 10 , 40 , 16 , 8 , 26 ,,
SANTA ELENA, 464 , 4 , 22 , 3 , 286 , 21 , 2 , 119 , -   , 2 , 5 ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,
