,,,,,,,,,,,,,,,,
"CUADRO No.- 19
ACCIDENTES DE TRÁNSITO
NÚMERO DE ACCIDENTES  POR MESES, SEGÚN CAUSAS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>,,
CAUSAS DEL ACCIDENTE ,TOTAL ,MESES,,,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,
TOTAL," 30,269 "," 3,044 "," 2,679 "," 2,513 "," 2,453 "," 2,425 "," 2,359 "," 2,559 "," 2,396 "," 2,165 "," 2,451 "," 2,399 "," 2,826 ",,,
EMBRIAGUEZ O DROGA," 2,164 ", 191 , 188 , 147 , 173 , 186 , 174 , 203 , 148 , 166 , 173 , 176 , 239 ,,,
MAL REBASAMIENTO INVADIR CARRIL," 2,268 ", 263 , 221 , 193 , 193 , 180 , 132 , 157 , 150 , 162 , 198 , 192 , 227 ,,,
EXCESO VELOCIDAD," 3,755 ", 408 , 314 , 262 , 289 , 287 , 295 , 311 , 307 , 310 , 349 , 266 , 357 ,,,
IMPERICIA E IMPRUDENCIA DEL CONDUCTOR," 15,709 "," 1,528 "," 1,412 "," 1,397 "," 1,310 "," 1,240 "," 1,250 "," 1,299 "," 1,308 "," 1,133 "," 1,247 "," 1,234 "," 1,351 ",,,
IMPRUDENCIA  DEL PEATÓN," 1,173 ", 127 , 119 , 84 , 94 , 100 , 87 , 87 , 82 , 77 , 102 , 95 , 119 ,,,
DAÑOS MECÁNICOS, 229 , 30 , 17 , 21 , 18 , 16 , 14 , 21 , 20 , 11 , 17 , 22 , 22 ,,,
NO RESPETA LAS SEÑALES DE TRÁNSITO," 4,054 ", 393 , 320 , 316 , 281 , 321 , 355 , 419 , 338 , 233 , 302 , 344 , 432 ,,,
FACTORES CLIMÁTICOS, 174 , 31 , 17 , 21 , 33 , 19 , 13 , 8 , 6 , 1 , 4 , 9 , 12 ,,,
MAL ESTADO DE LA VÍA, 241 , 21 , 13 , 19 , 23 , 33 , 9 , 24 , 11 , 30 , 17 , 17 , 24 ,,,
OTRAS CAUSAS, 502 , 52 , 58 , 53 , 39 , 43 , 30 , 30 , 26 , 42 , 42 , 44 , 43 ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,,,,,,
