,,,,,,
"CUADRO No.-21
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS (NACIONAL Y EXTRANJEROS), SEGÚN FILIAL Y RUTA ",,,,,,
,,,,ÍNDICE>>,,
RUTAS, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,,
,, NACIONALES,EXTRANJEROS,,,
TOTAL ," 113,035 "," 82,052 "," 30,983 ",,,
CENTRO," 29,546 "," 24,996 "," 4,550 ",,,
AMBATO-URBINA-CEVALLOS-AMBATO," 7,852 "," 7,090 ", 762 ,,,
QUITO-BOLICHE-QUITO," 21,694 "," 17,906 "," 3,788 ",,,
LITORAL," 10,636 "," 9,475 "," 1,161 ",,,
DURÁN-ALAUSÍ-DURÁN," 2,771 "," 2,521 ", 250 ,,,
DURÁN-BUCAY-DURÁN," 7,865 "," 6,954 ", 911 ,,,
NORTE," 15,692 "," 12,743 "," 2,949 ",,,
IBARRA-SALINAS-IBARRA," 10,112 "," 8,000 "," 2,112 ",,,
OTAVALO-IBARRA-OTAVALO, 51 , 32 , 19 ,,,
OTAVALO-SALINAS-OTAVALO," 5,529 "," 4,711 ", 818 ,,,
SUR," 57,161 "," 34,838 "," 22,323 ",,,
ALAUSÍ-SIBAMBE-ALAUSÍ," 56,258 "," 34,102 "," 22,156 ",,,
RIOBAMBA - ALAUSÍ / ALAUSÍ - RIOBAMBA, 476 , 388 , 88 ,,,
RIOBAMBA-COLTA-RIOBAMBA, 427 , 348 , 79 ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,,
