"CUADRO No.-22        
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR MES, SEGÚN FILIAL Y RUTA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>,
RUTAS,MES ,,,,,,,,,,,,,,
,TOTAL,ENERO ,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
TOTAL ," 113,035 "," 7,369 "," 9,934 "," 9,440 "," 6,461 "," 7,647 "," 7,421 "," 13,318 "," 15,163 "," 8,446 "," 9,629 "," 10,736 "," 7,471 ",,
CENTRO," 29,546 "," 1,466 "," 2,089 "," 2,013 "," 1,486 "," 2,047 "," 2,222 "," 4,033 "," 3,710 "," 2,500 "," 2,660 "," 2,866 "," 2,454 ",,
AMBATO-URBINA-CEVALLOS-AMBATO," 7,852 ", 272 , 535 , 637 , 401 , 683 , 851 ," 1,132 ", 882 , 595 , 727 , 751 , 386 ,,
QUITO-BOLICHE-QUITO," 21,694 "," 1,194 "," 1,554 "," 1,376 "," 1,085 "," 1,364 "," 1,371 "," 2,901 "," 2,828 "," 1,905 "," 1,933 "," 2,115 "," 2,068 ",,
LITORAL," 10,636 ", 538 , 697 , 401 , 621 , 665 , 548 ," 1,288 "," 1,484 ", 936 ," 1,563 "," 1,202 ", 693 ,,
DURÁN-ALAUSÍ-DURÁN," 2,771 ", 178 , 236 , 230 , 2 , -   , 143 , 266 , 377 , 312 , 366 , 467 , 194 ,,
DURÁN-BUCAY-DURÁN," 7,865 ", 360 , 461 , 171 , 619 , 665 , 405 ," 1,022 "," 1,107 ", 624 ," 1,197 ", 735 , 499 ,,
NORTE," 15,692 ", 953 ," 1,310 "," 1,461 "," 1,073 "," 1,306 "," 1,212 "," 1,852 "," 1,947 "," 1,230 "," 1,026 "," 1,308 "," 1,014 ",,
IBARRA-SALINAS-IBARRA," 10,112 ", 608 , 952 , 986 , 601 , 828 , 761 ," 1,143 "," 1,187 ", 908 , 689 , 774 , 675 ,,
OTAVALO-IBARRA-OTAVALO, 51 , -   , 21 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ,,
OTAVALO-SALINAS-OTAVALO," 5,529 ", 345 , 337 , 475 , 472 , 478 , 451 , 709 , 760 , 322 , 337 , 534 , 309 ,,
SUR," 57,161 "," 4,412 "," 5,838 "," 5,565 "," 3,281 "," 3,629 "," 3,439 "," 6,145 "," 8,022 "," 3,780 "," 4,380 "," 5,360 "," 3,310 ",,
ALAUSÍ-SIBAMBE-ALAUSÍ," 56,258 "," 4,275 "," 5,623 "," 5,196 "," 3,116 "," 3,617 "," 3,438 "," 6,141 "," 8,022 "," 3,780 "," 4,380 "," 5,360 "," 3,310 ",,
RIOBAMBA - ALAUSÍ / ALAUSÍ - RIOBAMBA, 476 , 50 , 94 , 221 , 104 , 2 , 1 , 4 , -   , -   , -   , -   , -   ,,
RIOBAMBA-COLTA-RIOBAMBA, 427 , 87 , 121 , 148 , 61 , 10 , -   , -   , -   , -   , -   , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,,,,,,,,,,,
