,,,,,,,,,,,,,,
"CUADRO No.-23
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR SEXO, SEGÚN GRUPOS DE EDAD.",,,,,,,,,,,,,,
,,,,,ÍNDICE>>,,,,,,,,,
GRUPOS DE EDAD,PASAJEROS TRANSPORTADOS,,,,,,,,,,,,,
,TOTAL,HOMBRE,MUJER,NO INFORMA,,,,,,,,,,
 TOTAL ," 113,035 "," 49,402 "," 63,627 ", 6 ,,,,,,,,,,
 DE 0 A 9 AÑOS  ," 9,054 "," 4,759 "," 4,295 ", -   ,,,,,,,,,,
 DE 10 A 19 AÑOS ," 12,598 "," 5,973 "," 6,625 ", -   ,,,,,,,,,,
 DE 20 A 29 AÑOS ," 16,738 "," 6,912 "," 9,826 ", -   ,,,,,,,,,,
 DE 30 A 39 AÑOS ," 16,565 "," 7,260 "," 9,305 ", -   ,,,,,,,,,,
 DE 40 A 49 AÑOS ," 13,942 "," 6,072 "," 7,870 ", -   ,,,,,,,,,,
 DE 50 A 59 AÑOS ," 16,245 "," 6,459 "," 9,786 ", -   ,,,,,,,,,,
 DE 60 A 69 AÑOS ," 17,828 "," 7,485 "," 10,341 ", 2 ,,,,,,,,,,
 DE 70 Y MÁS ," 9,733 "," 4,341 "," 5,389 ", 3 ,,,,,,,,,,
 NO INFORMA , 332 , 141 , 190 , 1 ,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,,,,,,,,,,
