,,,,,
"CUADRO No.-24
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR SEXO, SEGÚN FILIAL Y RUTA ",,,,,
,,,,,ÍNDICE>>
RUTAS, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,
,,HOMBRE,MUJER,NO INFORMA,
TOTAL ," 113,035 "," 49,402 "," 63,627 ", 6 ,
CENTRO," 29,546 "," 12,578 "," 16,968 ", -   ,
AMBATO-URBINA-CEVALLOS-AMBATO," 7,852 "," 3,310 "," 4,542 ", -   ,
QUITO-BOLICHE-QUITO," 21,694 "," 9,268 "," 12,426 ", -   ,
LITORAL," 10,636 "," 4,292 "," 6,344 ", -   ,
DURÁN-ALAUSÍ-DURÁN," 2,771 "," 1,150 "," 1,621 ", -   ,
DURÁN-BUCAY-DURÁN," 7,865 "," 3,142 "," 4,723 ", -   ,
NORTE," 15,692 "," 6,746 "," 8,945 ", 1 ,
IBARRA-SALINAS-IBARRA," 10,112 "," 4,372 "," 5,740 ", -   ,
OTAVALO-IBARRA-OTAVALO, 51 , 34 , 17 , -   ,
OTAVALO-SALINAS-OTAVALO," 5,529 "," 2,340 "," 3,188 ", 1 ,
SUR," 57,161 "," 25,786 "," 31,370 ", 5 ,
ALAUSÍ-SIBAMBE-ALAUSÍ," 56,258 "," 25,406 "," 30,847 ", 5 ,
RIOBAMBA - ALAUSÍ / ALAUSÍ - RIOBAMBA, 476 , 194 , 282 , -   ,
RIOBAMBA-COLTA-RIOBAMBA, 427 , 186 , 241 , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
