"CUADRO No.-25
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS POR GRUPOS DE EDAD, SEGÚN FILIAL Y RUTA",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ÍNDICE>>,,,,,,,,,
RUTAS, NÚMERO DE PASAJEROS,GRUPOS DE EDAD DEL PASAJERO,,,,,,,,,,,,,,,,,,
,,DE 0 A 9 AÑOS ,DE 10 A 19 AÑOS,DE 20 A 29 AÑOS,DE 30 A 39 AÑOS,DE 40 A 49 AÑOS,DE 50 A 59 AÑOS,DE 60 A 69 AÑOS,DE 70 Y MÁS,NO INFORMA,,,,,,,,,,
TOTAL ," 113,035 "," 9,054 "," 12,598 "," 16,738 "," 16,565 "," 13,942 "," 16,245 "," 17,828 "," 9,733 ", 332 ,,,,,,,,,,
CENTRO," 29,546 "," 3,412 "," 3,571 "," 4,642 "," 4,943 "," 3,821 "," 3,617 "," 3,392 "," 2,076 ", 72 ,,,,,,,,,,
AMBATO-URBINA-CEVALLOS-AMBATO," 7,852 "," 1,196 "," 1,112 "," 1,215 "," 1,178 ", 963 , 834 , 845 , 493 , 16 ,,,,,,,,,,
QUITO-BOLICHE-QUITO," 21,694 "," 2,216 "," 2,459 "," 3,427 "," 3,765 "," 2,858 "," 2,783 "," 2,547 "," 1,583 ", 56 ,,,,,,,,,,
LITORAL," 10,636 ", 975 ," 1,256 "," 1,540 "," 1,557 "," 1,329 "," 1,376 "," 1,537 ", 998 , 68 ,,,,,,,,,,
DURÁN-ALAUSÍ-DURÁN," 2,771 ", 181 , 268 , 394 , 418 , 322 , 391 , 459 , 305 , 33 ,,,,,,,,,,
DURÁN-BUCAY-DURÁN," 7,865 ", 794 , 988 ," 1,146 "," 1,139 "," 1,007 ", 985 ," 1,078 ", 693 , 35 ,,,,,,,,,,
NORTE," 15,692 "," 1,271 "," 1,956 "," 2,121 "," 2,179 "," 1,859 "," 2,176 "," 2,501 "," 1,576 ", 53 ,,,,,,,,,,
IBARRA-SALINAS-IBARRA," 10,112 ", 829 ," 1,261 "," 1,275 "," 1,473 "," 1,217 "," 1,398 "," 1,636 ", 996 , 27 ,,,,,,,,,,
OTAVALO-IBARRA-OTAVALO, 51 , 3 , 9 , 8 , 7 , 7 , 5 , 6 , 2 , 4 ,,,,,,,,,,
OTAVALO-SALINAS-OTAVALO," 5,529 ", 439 , 686 , 838 , 699 , 635 , 773 , 859 , 578 , 22 ,,,,,,,,,,
SUR," 57,161 "," 3,396 "," 5,815 "," 8,435 "," 7,886 "," 6,933 "," 9,076 "," 10,398 "," 5,083 ", 139 ,,,,,,,,,,
ALAUSÍ-SIBAMBE-ALAUSÍ," 56,258 "," 3,333 "," 5,732 "," 8,292 "," 7,738 "," 6,814 "," 8,949 "," 10,262 "," 5,001 ", 137 ,,,,,,,,,,
RIOBAMBA - ALAUSÍ / ALAUSÍ - RIOBAMBA, 476 , 18 , 39 , 66 , 58 , 53 , 72 , 108 , 61 , 1 ,,,,,,,,,,
RIOBAMBA-COLTA-RIOBAMBA, 427 , 45 , 44 , 77 , 90 , 66 , 55 , 28 , 21 , 1 ,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,,,,,,,,,,,,,,,,
