"CUADRO No.-26
FERROCARRILES DEL ECUADOR 
NÚMERO DE  PASAJEROS TRANSPORTADOS  POR SEXO, SEGÚN PAÍS DE ORIGEN",,,,,
,,,,,ÍNDICE>>
PAÍS DE ORIGEN, NÚMERO DE PASAJEROS,PASAJEROS TRANSPORTADOS,,,
,,HOMBRES,MUJERES,NO INFORMA,
TOTAL ," 113,035 "," 49,402 "," 63,627 ", 6 ,
ECUADOR," 82,052 "," 34,935 "," 47,116 ", 1 ,
ESTADOS UNIDOS," 6,630 "," 3,076 "," 3,553 ", 1 ,
ALEMANIA," 4,033 "," 1,898 "," 2,131 ", 4 ,
FRANCIA," 3,482 "," 1,588 "," 1,894 ", -   ,
PAÍSES BAJOS," 2,126 ", 994 ," 1,132 ", -   ,
SUIZA," 1,422 ", 702 , 720 , -   ,
REINO UNIDO," 1,310 ", 661 , 649 , -   ,
ESPAÑA," 1,141 ", 598 , 543 , -   ,
CANADÁ," 1,125 ", 514 , 611 , -   ,
COLOMBIA, 975 , 400 , 575 , -   ,
ARGENTINA, 925 , 369 , 556 , -   ,
ITALIA, 878 , 434 , 444 , -   ,
BÉLGICA, 764 , 358 , 406 , -   ,
AUSTRALIA, 588 , 266 , 322 , -   ,
BRASIL, 551 , 236 , 315 , -   ,
MÉXICO, 482 , 214 , 268 , -   ,
CHILE, 456 , 211 , 245 , -   ,
VENEZUELA, 399 , 184 , 215 , -   ,
AUSTRIA, 394 , 188 , 206 , -   ,
COSTA RICA, 290 , 145 , 145 , -   ,
PERÚ, 289 , 136 , 153 , -   ,
CHINA, 227 , 103 , 124 , -   ,
POLONIA, 196 , 95 , 101 , -   ,
URUGUAY, 146 , 49 , 97 , -   ,
RUSIA, 128 , 49 , 79 , -   ,
SUECIA, 121 , 60 , 61 , -   ,
ISRAEL, 119 , 62 , 57 , -   ,
NUEVA ZELANDA, 118 , 50 , 68 , -   ,
PANAMÁ, 107 , 50 , 57 , -   ,
NORUEGA, 83 , 45 , 38 , -   ,
REPÚBLICA CHECA, 81 , 44 , 37 , -   ,
DINAMARCA, 79 , 41 , 38 , -   ,
JAPÓN, 76 , 37 , 39 , -   ,
CUBA, 75 , 40 , 35 , -   ,
PORTUGAL, 75 , 36 , 39 , -   ,
GUATEMALA, 68 , 35 , 33 , -   ,
BOLIVIA, 67 , 40 , 27 , -   ,
IRLANDA, 65 , 33 , 32 , -   ,
COREA DEL SUR, 56 , 21 , 35 , -   ,
ESLOVENIA, 50 , 22 , 28 , -   ,
OTROS, 786 , 383 , 403 , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,
Fuente: Ferrocarriles del Ecuador Empresa Pública-2016 ,,,,,
