,,,,,,,,,,
"CUADRO No.-43
TRANSPORTE MARÍTIMO INTERNACIONAL
 NÚMERO DE NAVES ARRIBADAS POR PUERTO, SEGÚN BANDERAS",,,,,,,,,ÍNDICE>>,
,,,,,,,,,,
BANDERAS,  TOTAL,    ENTIDADES    PORTUARIAS,,,,,,,,
,,APE,APG,APM,APPB,SUINBA,SUINLI,SUINSA,,
 TOTAL," 2,655 ", 177 , 983 , 425 , 329 , 364 , 289 , 88 ,,
ALEMANIA, 4 , -   , 4 , -   , -   , -   , -   , -   ,,
ANTIGUA, 146 , 32 , 110 , 1 , -   , -   , 3 , -   ,,
ANTILLAS HOLANDESAS, 9 , -   , -   , -   , 9 , -   , -   , -   ,,
BAHAMAS, 171 , 5 , 13 , 27 , 106 , 16 , 4 , -   ,,
BAHEMENA, 36 , -   , 36 , -   , -   , -   , -   , -   ,,
BARBADOS, 1 , -   , -   , -   , 1 , -   , -   , -   ,,
BÉLGICA, 1 , -   , 1 , -   , -   , -   , -   , -   ,,
BÉLICE, 10 , -   , -   , 10 , -   , -   , -   , -   ,,
BOLIVIA, 4 , -   , -   , 4 , -   , -   , -   , -   ,,
CHILE, 24 , -   , 24 , -   , -   , -   , -   , -   ,,
CHINA, 51 , -   , 49 , -   , -   , -   , 2 , -   ,,
CHIPRE, 69 , -   , 47 , 2 , -   , 5 , 9 , 6 ,,
COLOMBIA, 105 , -   , -   , 105 , -   , -   , -   , -   ,,
COREA DEL SUR, 3 , -   , 1 , 2 , -   , -   , -   , -   ,,
CROACIA, 1 , -   , -   , 1 , -   , -   , -   , -   ,,
DINAMARCA, 31 , 6 , 23 , 2 , -   , -   , -   , -   ,,
ECUADOR, 19 , -   , -   , -   , -   , 19 , -   , -   ,,
EL SALVADOR, 3 , -   , -   , 3 , -   , -   , -   , -   ,,
ESPAÑA, 13 , -   , -   , 13 , -   , -   , -   , -   ,,
ESTADOS UNIDOS, 23 , -   , -   , 23 , -   , -   , -   , -   ,,
FILIPINAS, 13 , 4 , 5 , 2 , -   , -   , 1 , 1 ,,
FRANCIA, 3 , -   , 2 , -   , -   , 1 , -   , -   ,,
GIBRALTAR, 15 , 13 , -   , -   , -   , -   , 2 , -   ,,
GRAN BRETAÑA, 6 , -   , -   , 6 , -   , -   , -   , -   ,,
GRECIA, 30 , -   , 11 , 2 , -   , 16 , 1 , -   ,,
GUATEMALA, 12 , -   , -   , 12 , -   , -   , -   , -   ,,
HOLANDA, 16 , -   , 12 , 3 , 1 , -   , -   , -   ,,
HONDURAS, 2 , -   , -   , 2 , -   , -   , -   , -   ,,
HONG KONG, 31 , 8 , -   , 2 , -   , 5 , 13 , 3 ,,
INGLATERRA, 19 , -   , 19 , -   , -   , -   , -   , -   ,,
ISLAS BERMUDAS, 25 , 1 , 21 , 2 , -   , -   , 1 , -   ,,
ISLAS CAIMÁN, 5 , -   , 1 , 1 , 2 , 1 , -   , -   ,,
ISLAS COOK, 6 , -   , -   , -   , 6 , -   , -   , -   ,,
ISLAS DEL HOMBRE, 4 , 2 , 1 , -   , -   , -   , 1 , -   ,,
ISLAS MARSHALL, 320 , 20 , 74 , 26 , 5 , 108 , 60 , 27 ,,
ITALIA, 14 , 1 , 1 , 1 , -   , 1 , 5 , 5 ,,
JAPÓN, 18 , 3 , 14 , -   , -   , 1 , -   , -   ,,
KINGSTON, 1 , -   , 1 , -   , -   , -   , -   , -   ,,
LIBERIA, 631 , 15 , 311 , 6 , 110 , 123 , 56 , 10 ,,
MALASIA, 1 , -   , -   , 1 , -   , -   , -   , -   ,,
MALTA, 86 , 18 , 17 , 7 , 2 , 12 , 21 , 9 ,,
NICARAGUA, 8 , -   , -   , 8 , -   , -   , -   , -   ,,
NORUEGA, 35 , 8 , 2 , 7 , -   , -   , 17 , 1 ,,
PAÍSES BAJOS, 1 , -   , -   , -   , 1 , -   , -   , -   ,,
PANAMÁ, 362 , 24 , 97 , 89 , 18 , 42 , 70 , 22 ,,
PERÚ, 39 , -   , 22 , 13 , 3 , -   , 1 , -   ,,
PORTUGAL, 8 , 1 , 4 , -   , -   , -   , 3 , -   ,,
REINO UNIDO, 4 , 2 , -   , -   , -   , 1 , 1 , -   ,,
SAN VICENTE Y LAS GRANADINAS, 15 , -   , 3 , -   , 12 , -   , -   , -   ,,
SANTO TOMÉ, 1 , -   , -   , 1 , -   , -   , -   , -   ,,
SINGAPUR, 159 , 13 , 51 , 11 , 52 , 13 , 15 , 4 ,,
SRI LANKA, 1 , 1 , -   , -   , -   , -   , -   , -   ,,
SUDÁN, 1 , -   , 1 , -   , -   , -   , -   , -   ,,
SUIZA, 8 , -   , 5 , 2 , -   , -   , 1 , -   ,,
TAILANDIA, 1 , -   , -   , -   , -   , -   , 1 , -   ,,
TURQUÍA, 1 , -   , -   , -   , -   , -   , 1 , -   ,,
VANUATU, 11 , -   , -   , 10 , 1 , -   , -   , -   ,,
VENEZUELA, 18 , -   , -   , 18 , -   , -   , -   , -   ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar
SUINBA: Superintendencia del Terminal Petrolero de Balao
SUINLI: Superintendencia del Terminal Petrolero de La Libertad
SUINSA: Superintendencia del Terminal Petrolero el Salitral",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
