,,,,,,,,,,,,,,
"CUADRO No.-44
TRANSPORTE MARÍTIMO INTERNACIONAL
 TONELAJE DE REGISTRO NETO DE LAS NAVES ENTRADAS Y SALIDAS POR MES, SEGÚN PUERTO",,,,,,,,,,,,,,ÍNDICE>>
,,,,,,,,,,,,,,
ENTIDADES PORTUARIAS,TOTAL,MESES,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
ENTRADAS TOTAL," 24,537,908 "," 2,231,119 "," 2,544,064 "," 2,138,229 "," 1,557,369 "," 1,881,972 "," 1,638,938 "," 2,554,840 "," 2,109,072 "," 2,086,514 "," 2,162,700 "," 1,762,877 "," 1,870,214 ",
APE," 4,470,964 "," 499,383 "," 323,385 "," 471,233 "," 213,586 "," 375,004 "," 302,484 "," 490,145 "," 404,939 "," 321,981 "," 427,580 "," 240,425 "," 400,819 ",
APG, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APM," 2,181,382 "," 243,518 "," 182,353 "," 280,455 "," 159,953 "," 112,562 "," 90,728 "," 208,133 "," 147,486 "," 162,651 "," 201,856 "," 164,014 "," 227,674 ",
APPB," 1,870,308 "," 178,608 "," 150,842 "," 158,695 "," 150,817 "," 158,583 "," 133,526 "," 137,319 "," 157,425 "," 148,023 "," 168,196 "," 158,991 "," 169,283 ",
SUINBA," 10,526,807 "," 922,468 "," 1,544,643 "," 771,193 "," 701,233 "," 820,167 "," 719,268 "," 968,694 "," 768,189 "," 1,014,111 "," 801,344 "," 791,228 "," 704,269 ",
SUINLI," 4,437,039 "," 278,122 "," 244,172 "," 379,254 "," 266,129 "," 359,034 "," 294,294 "," 699,155 "," 492,096 "," 370,720 "," 496,216 "," 250,459 "," 307,387 ",
SUINSA," 1,051,408 "," 109,020 "," 98,669 "," 77,399 "," 65,651 "," 56,622 "," 98,638 "," 51,394 "," 138,937 "," 69,028 "," 67,508 "," 157,760 "," 60,782 ",
SALIDAS TOTAL," 24,537,908 "," 1,886,787 "," 2,665,345 "," 2,077,426 "," 1,590,172 "," 1,803,640 "," 1,767,344 "," 2,514,470 "," 2,097,220 "," 1,952,355 "," 2,284,545 "," 1,772,557 "," 2,126,047 ",
APE," 4,470,964 "," 462,684 "," 344,930 "," 486,387 "," 163,983 "," 404,610 "," 306,360 "," 490,145 "," 386,857 "," 272,865 "," 503,925 "," 247,399 "," 400,819 ",
APG, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APM," 2,181,382 "," 249,948 "," 181,633 "," 280,648 "," 157,637 "," 87,765 "," 116,389 "," 184,831 "," 142,434 "," 189,874 "," 200,375 "," 156,851 "," 232,998 ",
APPB," 1,870,308 "," 164,154 "," 147,296 "," 151,913 "," 161,857 "," 139,206 "," 146,201 "," 141,092 "," 142,909 "," 164,038 "," 154,325 "," 150,355 "," 206,962 ",
SUINBA," 10,526,807 "," 679,503 "," 1,646,393 "," 734,134 "," 709,021 "," 765,338 "," 797,061 "," 961,582 "," 804,685 "," 902,251 "," 823,165 "," 827,924 "," 875,750 ",
SUINLI," 4,437,039 "," 244,040 "," 235,602 "," 357,332 "," 309,896 "," 355,941 "," 296,853 "," 685,426 "," 495,694 "," 366,476 "," 520,994 "," 249,204 "," 319,580 ",
SUINSA," 1,051,408 "," 86,458 "," 109,491 "," 67,012 "," 87,778 "," 50,780 "," 104,480 "," 51,394 "," 124,641 "," 56,851 "," 81,761 "," 140,824 "," 89,938 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar
SUINBA: Superintendencia del Terminal Petrolero de Balao
SUINLI: Superintendencia del Terminal Petrolero de La Libertad
SUINSA: Superintendencia del Terminal Petrolero el Salitral",,,,,,,,,,,,,,
