,,,,,,,,,,,,,,
"CUADRO No.-45
TRANSPORTE MARÍTIMO INTERNACIONAL
 TONELAJE DE REGISTRO BRUTO DE LAS NAVES ENTRADAS Y SALIDAS POR MESES, SEGÚN PUERTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
ENTIDADES PORTUARIAS,TOTAL,MESES,,,,,,,,,,,,
,,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,
ENTRADAS TOTAL," 72,446,916 "," 7,029,438 "," 5,562,597 "," 6,169,455 "," 5,630,608 "," 5,860,900 "," 5,442,710 "," 6,770,181 "," 6,038,776 "," 6,018,379 "," 6,361,609 "," 5,658,453 "," 5,903,808 ",
APE," 4,359,070 "," 435,590 "," 323,170 "," 407,347 "," 219,553 "," 351,676 "," 304,992 "," 483,703 "," 338,650 "," 321,825 "," 390,333 "," 309,655 "," 472,576 ",
APG," 30,203,816 "," 2,948,115 "," 2,484,498 "," 2,421,256 "," 2,689,312 "," 2,656,036 "," 2,450,003 "," 2,410,754 "," 2,408,303 "," 2,300,459 "," 2,651,064 "," 2,328,184 "," 2,455,832 ",
APM," 5,482,389 "," 704,047 "," 464,787 "," 611,300 "," 413,499 "," 268,155 "," 261,034 "," 514,939 "," 366,468 "," 420,741 "," 486,431 "," 416,336 "," 554,652 ",
APPB," 3,812,125 "," 351,840 "," 311,004 "," 317,562 "," 311,172 "," 321,558 "," 279,480 "," 279,273 "," 331,568 "," 300,279 "," 344,982 "," 320,748 "," 342,659 ",
SUINBA," 17,491,042 "," 1,694,271 "," 1,191,001 "," 1,400,164 "," 1,307,967 "," 1,434,532 "," 1,360,669 "," 1,718,066 "," 1,363,558 "," 1,814,432 "," 1,447,381 "," 1,455,463 "," 1,303,538 ",
SUINLI," 8,883,418 "," 619,606 "," 566,506 "," 803,301 "," 552,562 "," 734,466 "," 588,451 "," 1,239,057 "," 943,152 "," 715,483 "," 910,161 "," 552,004 "," 658,669 ",
SUINSA," 2,215,055 "," 275,969 "," 221,631 "," 208,525 "," 136,543 "," 94,477 "," 198,081 "," 124,389 "," 287,078 "," 145,160 "," 131,257 "," 276,063 "," 115,882 ",
SALIDAS TOTAL," 72,446,916 "," 6,118,632 "," 5,745,060 "," 6,189,082 "," 5,687,394 "," 5,716,349 "," 5,628,028 "," 6,678,373 "," 6,086,931 "," 5,867,484 "," 6,381,771 "," 5,745,014 "," 6,602,797 ",
APE," 4,359,070 "," 411,800 "," 303,150 "," 451,157 "," 179,659 "," 379,460 "," 307,894 "," 483,703 "," 279,151 "," 324,935 "," 451,178 "," 314,407 "," 472,576 ",
APG," 30,203,816 "," 2,677,432 "," 2,480,524 "," 2,539,230 "," 2,601,862 "," 2,671,729 "," 2,425,262 "," 2,400,950 "," 2,547,335 "," 2,218,563 "," 2,564,697 "," 2,389,733 "," 2,686,499 ",
APM," 5,482,389 "," 722,422 "," 470,159 "," 611,893 "," 406,709 "," 218,566 "," 313,025 "," 476,072 "," 333,705 "," 491,574 "," 482,551 "," 393,893 "," 561,820 ",
APPB," 3,812,125 "," 322,365 "," 301,680 "," 309,452 "," 330,265 "," 278,146 "," 303,471 "," 294,154 "," 293,275 "," 339,892 "," 319,726 "," 307,968 "," 411,731 ",
SUINBA," 17,491,042 "," 1,254,441 "," 1,375,089 "," 1,335,066 "," 1,319,525 "," 1,368,994 "," 1,463,177 "," 1,698,649 "," 1,420,411 "," 1,668,932 "," 1,444,620 "," 1,514,477 "," 1,627,661 ",
SUINLI," 8,883,418 "," 529,769 "," 545,315 "," 779,084 "," 639,452 "," 716,901 "," 605,194 "," 1,200,456 "," 955,510 "," 703,432 "," 961,173 "," 560,487 "," 686,645 ",
SUINSA," 2,215,055 "," 200,403 "," 269,143 "," 163,200 "," 209,922 "," 82,553 "," 210,005 "," 124,389 "," 257,544 "," 120,156 "," 157,826 "," 264,049 "," 155,865 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar
SUINBA: Superintendencia del Terminal Petrolero de Balao
SUINLI: Superintendencia del Terminal Petrolero de La Libertad
SUINSA: Superintendencia del Terminal Petrolero el Salitral",,,,,,,,,,,,,,
