,,,,,,,,,,,,,,
"CUADRO No.-47
TRÁFICO MARÍTIMO INTERNACIONAL
NÚMERO DE PASAJEROS ENTRADOS Y SALIDOS POR MESES, SEGÚN PUERTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
"ENTIDADES DE
 PUERTO",    TOTAL,MESES,,,,,,,,,,,,
,,  ENERO, FEBRERO,  MARZO,  ABRIL,  MAYO,  JUNIO,  JULIO, AGOSTO,SEPTIEMBRE, OCTUBRE,NOVIEMBRE, DICIEMBRE,
ENTRADAS TOTAL," 31,124 "," 3,937 "," 10,494 "," 6,653 "," 2,128 ", -   , -   ," 1,850 ", -   , -   ," 3,295 ", 655 ," 2,112 ",
APE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APG," 13,059 "," 1,294 "," 8,679 ", 632 , 500 , -   , -   , -   , -   , -   ," 1,299 ", 655 , -   ,
APM," 18,065 "," 2,643 "," 1,815 "," 6,021 "," 1,628 ", . , . ," 1,850 ", . , . ," 1,996 ", . ," 2,112 ",
APPB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SALIDAS TOTAL," 18,065 "," 2,643 "," 1,815 "," 6,021 "," 1,628 ", -   , -   ," 1,850 ", -   , -   ," 1,996 ", -   ," 2,112 ",
APE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APG, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
APM," 18,065 "," 2,643 "," 1,815 "," 6,021 "," 1,628 ", . , . ," 1,850 ", . , . ," 1,996 ", . ," 2,112 ",
APPB, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar",,,,,,,,,,,,,,
