,,,,,,,,,,,,,,
"         CUADRO No.-48
TRANSPORTE MARÍTIMO INTERNACIONAL
 CARGA ENTRADA Y SALIDA POR MESES, SEGÚN PUERTOS (™)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
CAPITANÍAS DE PUERTO,    TOTAL,MESES,,,,,,,,,,,,
,,  ENERO, FEBRERO,  MARZO,  ABRIL,  MAYO,  JUNIO,  JULIO, AGOSTO,SEPTIEMBRE, OCTUBRE, NOVIEMBRE, DICIEMBRE,
TOTAL," 43,844,983 "," 3,490,713 "," 3,481,651 "," 3,518,217 "," 3,260,033 "," 3,754,224 "," 3,624,024 "," 3,886,901 "," 3,629,613 "," 3,807,251 "," 3,660,086 "," 3,746,172 "," 3,986,098 ",
ENTRADAS TOTAL," 12,977,817 "," 1,221,575 "," 988,255 "," 1,100,130 "," 968,978 "," 1,034,982 "," 961,815 "," 1,063,873 "," 1,126,183 "," 1,210,721 "," 1,009,030 "," 1,101,890 "," 1,190,386 ",
APE," 371,738 "," 79,341 "," 27,415 "," 27,497 "," 5,130 "," 27,183 "," 11,433 "," 42,316 "," 22,837 "," 15,836 "," 80,107 "," 10,266 "," 22,376 ",
APG," 6,178,291 "," 535,315 "," 454,855 "," 463,928 "," 523,056 "," 539,442 "," 493,509 "," 480,074 "," 513,755 "," 547,608 "," 502,553 "," 514,033 "," 610,163 ",
APM," 571,959 "," 12,850 "," 37,364 "," 36,076 "," 50,680 "," 90,060 "," 6,614 "," 43,158 "," 42,837 "," 70,370 "," 49,847 "," 48,133 "," 83,970 ",
APPB," 92,423 "," 15,655 "," 5,759 "," 6,213 "," 11,590 "," 6,627 "," 8,877 "," 6,285 "," 4,760 "," 6,564 ", 234 ," 9,044 "," 10,815 ",
SUINBA," 1,395,690 "," 126,711 "," 108,357 "," 109,443 "," 118,776 "," 81,815 "," 74,759 "," 133,929 "," 162,433 "," 139,062 "," 61,145 "," 173,170 "," 106,088 ",
SUINLI," 3,060,812 "," 178,827 "," 159,200 "," 232,082 "," 207,945 "," 268,790 "," 298,837 "," 316,902 "," 245,134 "," 328,174 "," 257,695 "," 249,653 "," 317,574 ",
SUINSA," 1,306,904 "," 272,875 "," 195,305 "," 224,891 "," 51,801 "," 21,065 "," 67,786 "," 41,209 "," 134,428 "," 103,107 "," 57,448 "," 97,591 "," 39,400 ",
SALIDAS TOTAL," 30,867,166 "," 2,269,138 "," 2,493,396 "," 2,418,088 "," 2,291,055 "," 2,719,242 "," 2,662,209 "," 2,823,028 "," 2,503,430 "," 2,596,530 "," 2,651,056 "," 2,644,281 "," 2,795,713 ",
APE," 333,391 "," 40,213 "," 9,138 "," 21,765 "," 6,174 "," 70,534 "," 48,877 "," 26,688 "," 12,267 "," 14,317 "," 45,440 "," 13,419 "," 24,560 ",
APG," 5,917,503 "," 465,388 "," 469,046 "," 504,972 "," 489,126 "," 549,987 "," 464,916 "," 468,489 "," 517,979 "," 459,712 "," 509,906 "," 500,895 "," 517,089 ",
APM," 50,785 ", 183 , 706 ," 3,983 ", 111 ," 2,148 "," 24,638 "," 7,374 "," 2,597 ", 173 ," 8,563 ", 104 , 205 ,
APPB," 1,629,338 "," 132,688 "," 130,168 "," 143,751 "," 163,075 "," 118,829 "," 128,105 "," 118,045 "," 121,281 "," 140,746 "," 136,357 "," 131,057 "," 165,236 ",
SUINBA," 22,936,149 "," 1,630,667 "," 1,884,338 "," 1,743,617 "," 1,632,569 "," 1,977,744 "," 1,995,673 "," 2,202,432 "," 1,849,306 "," 1,981,582 "," 1,950,790 "," 1,998,807 "," 2,088,623 ",
SUINLI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SUINSA, -   , . , . , . , . , . , . , . , . , . , . , . , . ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
"Nota: descripción del significado de las siglas utilizadas para los cuadros:
APE: Autoridad Portuaria de Esmeraldas
APG: Autoridad Portuaria de Guayaquil
APM: Autoridad Portuaria de Manta
APPB: Autoridad Portuaria de Puerto Bolívar
SUINBA: Superintendencia del Terminal Petrolero de Balao
SUINLI: Superintendencia del Terminal Petrolero de La Libertad
SUINSA: Superintendencia del Terminal Petrolero el Salitral",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
