,,,,,,,
"             CUADRO No.-49
   TRANSPORTE MARÍTIMO INTERNACIONAL
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO Y 
CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,, 
,,,,,,ÍNDICE>>,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",,
TOTAL," 2,655 "," 24,537,908 "," 72,446,916 "," 12,977,817 "," 30,867,166 ",,
ALEMANIA, 4 , -   ," 31,776 ", 63 ," 17,134 ",,
ANTIGUA, 146 ," 657,523 "," 2,059,166 "," 212,242 "," 169,838 ",,
ANTILLAS HOLANDESAS, 9 ," 68,220 "," 130,545 ", 2 ," 50,670 ",,
BAHAMAS, 171 ," 1,805,919 "," 4,088,510 "," 187,605 "," 1,978,025 ",,
BAHEMENA, 36 , -   ," 599,629 "," 63,289 "," 178,536 ",,
BARBADOS, 1 ," 5,406 "," 10,519 ", -   ," 5,417 ",,
BELGICA, 1 , -   ," 23,432 "," 3,816 ", -   ,,
BÉLICE, 10 ," 10,190 "," 25,020 ", -   , 2 ,,
BOLIVIA, 4 ," 1,048 "," 3,493 ", 101 , 12 ,,
CHILE, 24 , -   ," 634,462 "," 234,749 "," 115,319 ",,
CHINA, 51 ," 30,966 "," 1,430,716 "," 523,462 "," 330,431 ",,
CHIPRE, 69 ," 287,772 "," 1,629,584 "," 550,220 "," 274,964 ",,
COLOMBIA, 105 ," 40,205 "," 110,560 "," 8,622 ", 652 ,,
COREA DEL SUR, 3 ," 5,370 "," 19,577 "," 9,541 ", 789 ,,
CROACIA, 1 , 180 , 258 , 177 , -   ,,
DINAMARCA, 31 ," 46,440 "," 608,884 "," 165,217 "," 278,673 ",,
ECUADOR, 19 ," 350,773 "," 646,978 "," 4,711 "," 742,752 ",,
EL SALVADOR, 3 ," 2,294 "," 7,131 "," 2,812 ", 124 ,,
ESPAÑA, 13 ," 11,411 "," 37,093 "," 20,782 "," 1,073 ",,
