,,,,,,,,
"CUADRO No.-50
TRANSPORTE MARÍTIMO INTERNACIONAL - AUTORIDAD PORTUARIA DE ESMERALDAS (APE)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,,,
,,,,,,ÍNDICE>>,,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",,,
TOTAL, 177 ," 4,470,964 "," 4,359,070 "," 371,738 "," 333,391 ",,,
ANTIGUA, 32 ," 631,903 "," 506,269 "," 35,849 "," 6,260 ",,,
BAHAMAS, 5 ," 121,715 "," 286,321 "," 44,613 ", . ,,,
DINAMARCA, 6 ," 41,844 "," 28,512 ", . ," 26,852 ",,,
FILIPINAS, 4 ," 81,967 "," 56,248 "," 5,000 "," 16,079 ",,,
GIBRALTAR, 13 ," 409,713 "," 308,070 "," 12,494 "," 1,527 ",,,
HONG KONG, 8 ," 223,989 "," 170,998 "," 21,554 "," 1,875 ",,,
ISLAS BERMUDAS, 1 ," 13,079 "," 8,627 ", . ," 6,518 ",,,
ISLAS DEL HOMBRE, 2 ," 66,621 "," 38,248 "," 35,215 ", . ,,,
ISLAS MARSHALL, 20 ," 444,351 "," 381,510 "," 40,033 "," 73,953 ",,,
ITALIA, 1 ," 14,002 "," 9,914 ", . ," 3,842 ",,,
JAPON, 3 ," 117,288 "," 139,287 ", 371 ," 79,136 ",,,
LIBERIA, 15 ," 426,860 "," 326,246 "," 41,842 "," 18,012 ",,,
MALTA, 18 ," 565,557 "," 422,551 "," 27,432 "," 22,012 ",,,
NORUEGA, 8 ," 200,147 "," 310,062 "," 16,424 "," 10,900 ",,,
PANAMA, 24 ," 693,086 "," 975,232 "," 64,695 "," 53,789 ",,,
PORTUGAL, 1 ," 34,186 "," 26,435 "," 1,144 ", 60 ,,,
REINO UNIDO, 2 ," 25,841 "," 19,060 ", 270 , . ,,,
SINGAPUR, 13 ," 346,465 "," 335,708 "," 22,804 "," 12,575 ",,,
SRI LANKA, 1 ," 12,350 "," 9,772 "," 1,997 ", . ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,
