,,,,,,,
"CUADRO No.-52
TRANSPORTE MARÍTIMO INTERNACIONAL - AUTORIDAD PORTUARIA DE GUAYAQUIL (APG)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,,
,,,,,,ÍNDICE>>,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",,
TOTAL, 983 , -   ," 30,203,816 "," 6,178,291 "," 5,917,503 ",,
ALEMANIA, 4 , -   ," 31,776 ", 63 ," 17,134 ",,
ANTIGUA, 110 , -   ," 1,480,875 "," 175,579 "," 163,577 ",,
BAHAMAS, 13 , -   ," 263,688 "," 65,083 "," 41,128 ",,
BAHEMENA, 36 , -   ," 599,629 "," 63,289 "," 178,536 ",,
BELGICA, 1 , -   ," 23,432 "," 3,816 ", -   ,,
CHILE, 24 , -   ," 634,462 "," 234,749 "," 115,319 ",,
CHINA, 49 , -   ," 1,378,368 "," 523,462 "," 330,431 ",,
CHIPRE, 47 , -   ," 1,038,972 "," 273,786 "," 120,133 ",,
COREA DEL SUR, 1 , -   ," 9,772 ", -   , 789 ,,
DINAMARCA, 23 , -   ," 570,868 "," 158,724 "," 251,820 ",,
FILIPINAS, 5 , -   ," 114,445 "," 54,602 ", -   ,,
FRANCIA, 2 , -   ," 13,954 ", -   , -   ,,
GRECIA, 11 , -   ," 408,243 "," 70,237 "," 65,779 ",,
HOLANDA, 12 , -   ," 469,272 "," 113,411 "," 85,179 ",,
INGLATERRA, 19 , -   ," 652,050 "," 47,198 "," 140,727 ",,
ISLAS BERMUDAS, 21 , -   ," 499,437 "," 32,781 "," 103,537 ",,
ISLAS CAIMAN, 1 , -   ," 23,456 "," 33,045 ", -   ,,
ISLAS DEL HOMBRE, 1 , -   ," 9,530 "," 3,470 ", -   ,,
ISLAS MARSHALL, 74 , -   ," 2,411,132 "," 648,175 "," 322,585 ",,
ITALIA, 1 , -   ," 22,419 "," 14,970 ", -   ,,
JAPON, 14 , -   ," 411,872 "," 139,693 "," 170,518 ",,
KINGSTON, 1 , -   ," 7,460 ", 673 , -   ,,
LIBERIA, 311 , -   ," 12,742,155 "," 1,935,144 "," 2,807,060 ",,
MALTA, 17 , -   ," 693,172 "," 214,930 "," 102,693 ",,
NORUEGA, 2 , -   ," 93,222 "," 15,341 ", -   ,,
PANAMA, 97 , -   ," 3,168,092 "," 808,935 "," 323,965 ",,
PERU, 22 , -   ," 263,714 "," 166,871 "," 12,203 ",,
PORTUGAL, 4 , -   ," 210,904 "," 29,574 "," 67,687 ",,
SAN VICENTE Y LAS GRANADINAS, 3 , -   ," 49,032 "," 1,449 "," 11,675 ",,
SINGAPUR, 51 , -   ," 1,697,118 "," 338,958 "," 484,292 ",,
SUDAN, 1 , -   ," 18,627 ", -   , -   ,,
SUIZA, 5 , -   ," 192,668 "," 10,281 ", 735 ,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,
