,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CUADRO No.-54
TRANSPORTE MARÍTIMO INTERNACIONAL - SUPERINTENDENCIA PETROLERA DE BALAO (SUINBA)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ÍNDICE>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total, 364 ," 10,526,807 "," 17,491,042 "," 1,395,690 "," 22,936,149 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAHAMAS, 16 ," 539,486 "," 950,202 ", -   ," 1,378,235 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIPRE, 5 ," 85,836 "," 171,669 "," 47,366 "," 154,832 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECUADOR, 19 ," 350,773 "," 646,978 "," 4,711 "," 742,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIA, 1 ," 9,919 "," 23,248 "," 30,163 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRECIA, 16 ," 497,946 "," 874,560 ", -   ," 1,245,957 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONG KONG, 5 ," 355,190 "," 532,931 "," 38,997 "," 713,688 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLAS CAIMAN, 1 ," 35,420 "," 61,371 ", -   ," 98,726 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISLAS MARSHALL, 108 ," 3,875,567 "," 5,351,790 "," 367,376 "," 7,125,459 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALIA, 1 ," 11,369 "," 25,864 ", -   ," 21,116 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPON, 1 ," 21,174 "," 39,894 ", -   ," 1,670 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERIA, 123 ," 2,768,010 "," 5,279,319 "," 502,448 "," 6,922,957 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALTA, 12 ," 413,733 "," 730,681 "," 31,087 "," 1,104,560 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANAMA, 42 ," 1,211,616 "," 2,165,807 "," 273,609 "," 2,594,591 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REINO UNIDO, 1 ," 9,972 "," 23,353 "," 25,720 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
